,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,0.1357821105214441,0.22511898750099427,0.22026507288989833,0.14386580687290834,0.21360101085794986,0.09150507498400495,0.2545805537646971,0.15133127480389327,0.18182703900817188,0.22559124943416667
pyridazine,0.6810240319475148,,0.41753653444676403,0.5834284898658293,0.28152450866846035,0.23450678149727783,0.17828000932541588,0.3565697985380638,0.3126842848718406,0.32914135249667426,0.3723963437449887
pyrimidine,0.41068694365868214,0.15218971470107215,,0.27582623303223786,0.13508774208632626,0.2205127264725299,0.14578328718390698,0.3186187989675834,0.25626919726768443,0.23243446448383046,0.20620297516796612
pyrazine,0.6078040864498045,0.2419342941862009,0.32815788696690157,,0.18219101289351786,0.2886656722040922,0.14764055125927208,0.3222636860245491,0.267281669059474,0.26473882496690765,0.3775755610087448
pyrrole,0.4410410620417964,0.2061145773720624,0.21757431457094953,0.3031846062570949,,0.5238620049594687,0.3171818714377725,0.3204824496094649,0.3580517652155079,0.3989498512035177,0.5085400294981134
pyrazole,0.38023656700699504,0.1187260086136741,0.23131255092294079,0.2854157976422664,0.17137546716053,,0.18384463215267924,0.27213775010623165,0.2170872616889943,0.28692257524558396,0.004330186730975491
imidazole,0.4646191197481926,0.15119964271685848,0.2975694910702296,0.3843679552814103,0.3163697523834935,0.5260877638175404,,0.374924128892255,0.41790659948647985,0.3169163501979384,0.49213075386462635
thiazole,0.41875706870051915,0.06501233492961835,0.2053149903142363,0.24108283954920412,0.13984472013647914,0.1716778025241277,0.14615728147456458,,0.2470782704521068,0.2609951454902939,0.3052301121691648
oxazole,0.35556545299335635,0.1085631004431754,0.23828258384429235,0.2729984453222051,0.2784005701643677,0.35779768841908355,0.3110292916846059,0.31623252741053065,,0.4951266767127152,0.47819533239773376
isoxazole,0.2899921846077907,0.08730036460740513,0.15854853688947268,0.2144730751427249,0.2253639705127415,0.3622519138805082,0.16624421480394472,0.23089711224678283,0.34224961131322257,,0.30402004888971057
furan,0.34028613605439034,0.09646628757108043,0.14726859526104918,0.20541005676534677,0.31570639305445936,0.38222430108803024,0.1543511749028046,0.2179321812168746,0.24421629188584493,0.3228869232541417,
