,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,2.030908245715185,12.218765179007814,8.981613777548068,0.4270628615666988,2.0388609038331564,0.19231980323490566,3.3181044772613117,2.1836928990437743,4.417213948559049,4.452014072540467
pyridazine,46.89582286992214,,23.066309419954205,42.325898201532894,0.4857394294519068,1.658206624760171,2.19954128440367,31.446854626460013,17.501892158436732,32.0692098940418,0.904458718412061
pyrimidine,27.307874767490294,2.4133707275958924,,8.601570591736836,0.08538922425209772,1.641134477923684,0.2528189916447193,6.07854455463333,6.915971546885862,6.6615551062461185,2.6351609865206895
pyrazine,39.29146764599856,7.07835567953588,13.204054983086843,,0.5413400771527577,0.8276327175263254,0.21992222637658418,12.257163093551728,7.449165603794207,7.527229377379037,6.859568319563049
pyrrole,14.031104401889149,0.1744948062364287,2.971122705215484,6.227117204348855,,20.308769764591712,7.905366011281338,9.736447477960459,4.541473348536657,4.016877736453086,13.434620008667181
pyrazole,38.021669276192284,1.995937247861607,12.887052280125296,14.006134806805463,5.582190674801917,,4.378477876857299,10.110425262050269,5.284499004305768,12.960017106969696,0.06072100461090113
imidazole,14.419696447142929,0.2351512890161097,12.303032652237432,5.502023273093158,5.889404651384227,16.84471174132998,,15.144985844933181,9.25549447244644,7.384214395508922,9.140626738158275
thiazole,20.564509697299258,0.8471525023284047,9.144384329007343,11.42563111922243,0.768959388068321,1.2351361440412292,1.3176111068426188,,11.151976329422304,14.467682275791734,7.012483099314235
oxazole,33.35138204228662,6.184692999674248,21.711242412222408,22.030959830017903,1.2555944187445938,0.7170089409924577,2.9468602666385944,28.920609317985708,,23.346512725351623,10.508421638870493
isoxazole,21.831797956137777,3.54266474568534,16.465130088552183,17.16146882638945,0.21797331909965545,7.001688506209092,0.3556781782325438,24.089212241759913,14.987863857953428,,6.843331356794964
furan,32.51324489605861,0.2382734592778761,6.355189714711641,4.707430399032953,3.3499207258684836,6.923935752508431,0.5281024915844107,7.472935576057517,2.7809906594405494,6.276876611034448,
