,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,2.427699812022936,26.716341427118884,8.78019136426269,27.598445126450223,29.191175600714054,25.897187317681237,22.04642828011883,5.581094451158652,10.86132597613893,17.521529569184462
pyridazine,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
pyrimidine,100.0,9.086947098073306,,32.86449751443214,100.0,100.0,96.93388366190683,82.52038678372413,20.890189872680196,40.65424154638911,65.58356658595076
pyrazine,100.0,27.64973690555548,100.0,,100.0,100.0,100.0,100.0,63.56461060603912,100.0,100.0
pyrrole,100.0,8.796509371813267,96.80379204230627,31.8140798296198,,100.0,93.8356751586034,79.8828636146231,20.22249596159226,39.35484744294339,63.487379411791245
pyrazole,100.0,8.316553760046414,91.5219783970104,30.0782383154446,94.54379468627886,,88.71580806443356,75.52429056532942,19.11911506236882,37.20756616555466,60.02337764278279
imidazole,100.0,9.374376383976765,100.0,33.9040346604283,100.0,100.0,,85.13058970333309,21.550967611637788,41.94017613921874,67.65804082986914
thiazole,100.0,11.01176018707848,100.0,39.82591308080751,100.0,100.0,100.0,,25.31518657011489,49.265694370700075,79.47559281058304
oxazole,100.0,43.49863334634908,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0
isoxazole,100.0,22.351781148602942,100.0,80.83903736571159,100.0,100.0,100.0,100.0,51.38501931918504,,100.0
furan,100.0,13.855524441727907,100.0,50.110872624411876,100.0,100.0,100.0,100.0,31.852781054995667,61.98845787550994,
