,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,7.745293472468541,24.91635069781281,9.412028139955861,30.882420665571026,80.53790114195492,28.683344614282486,23.70454704902146,18.497816814303082,26.732560014732403,29.944791626412115
pyridazine,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
pyrimidine,100.0,31.085184048033295,,37.774504999169324,100.0,100.0,100.0,95.13651231077861,74.23967112457943,100.0,100.0
pyrazine,100.0,82.29143981825008,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0
pyrrole,100.0,25.0799429110274,80.6813396127026,30.476976665397125,,100.0,92.87919792589264,76.75741259313993,59.897561187375445,86.56238545618592,96.96387453136336
pyrazole,100.0,9.616954704117259,30.937422436544033,11.686458184906456,38.34520173444565,,35.6147158140186,29.432784704980296,22.967840671312135,33.19252132932293,37.18099329858605
imidazole,100.0,27.002755698900877,86.86696420126003,32.8135657348316,100.0,100.0,,82.6422000913314,64.48974853892159,93.19889425106057,100.0
thiazole,100.0,32.6742943303288,100.0,39.70558104523831,100.0,100.0,100.0,,78.03488831087655,100.0,100.0
oxazole,100.0,41.871392447132685,100.0,50.88183235049766,100.0,100.0,100.0,100.0,,100.0,100.0
isoxazole,100.0,28.973257586254675,93.20600303181335,35.20810627477825,100.0,100.0,100.0,88.6729405487458,69.19583011918377,,100.0
furan,100.0,25.865244177010677,83.20762758567977,31.431269442042797,100.0,100.0,95.78742431115465,79.16083486155705,61.77306907017348,89.2728202895677,
