,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,3.222713945842501,30.132865888776205,10.671596410942465,14.958664727468632,40.2912415457432,10.58713676472214,13.836727432448868,5.354769713532741,8.31659652653046,12.10624446559649
pyridazine,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
pyrimidine,100.0,10.695013072231166,,35.415139238108075,49.642356564034586,100.0,35.134848453514024,45.91905557049164,17.770529140168073,27.599752898472897,40.17621327583642
pyrazine,100.0,30.198986372254367,100.0,,100.0,100.0,99.20855659295998,100.0,50.17777572662002,77.93207507362976,100.0
pyrrole,100.0,21.544128467059117,100.0,71.34056819487495,,100.0,70.77594797135173,92.49974970720783,35.79711031092076,55.59718516358397,80.93131764204703
pyrazole,100.0,7.998547133832323,74.78763307545624,26.48614438655819,37.126343477119846,,26.276521543031684,34.34177479177414,13.290158128915927,20.641201927442506,30.04683896834528
imidazole,100.0,30.439900961523858,100.0,100.0,100.0,100.0,,100.0,50.578072547202765,78.55378381662692,100.0
thiazole,100.0,23.29101271652451,100.0,77.12514727952382,100.0,100.0,76.51474538621014,,38.69968343074485,60.10522767852603,87.49355311578823
oxazole,100.0,60.18398770161782,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0
isoxazole,100.0,38.750394293649364,100.0,100.0,100.0,100.0,100.0,100.0,64.38655159536347,,100.0
furan,100.0,26.620261593104328,100.0,88.14952020231372,100.0,100.0,87.45186663633511,100.0,44.231468551208586,68.69675026111156,
