,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,0.2771576100319646,1.18151364812095,1.439357462633051,0.2768616832875505,0.31902470212400424,0.2562784195896332,0.6017385342966862,0.14246425673558688,0.1910790641256122,1.1436307324195307
pyridazine,6.358654945401505,,2.630747353452362,3.029809415214204,0.36398932297985925,1.3872540776862283,1.770053906187143,3.170260701641455,1.753962507039987,0.8071296451992602,0.7360672975814931
pyrimidine,1.7284667385188364,0.18854765842940727,,0.4446980142316043,0.02968643700909147,0.15230108458764005,0.2668920421689427,0.5560180213383831,0.2128700603025932,0.0892140244446427,0.08596697383882738
pyrazine,7.093658918550528,0.6146620083791189,1.2970910824988078,,0.5813279211365614,0.627785883518278,0.2837714836429834,0.9851821114487264,0.3252663704020988,0.4149488675911549,1.5082956259426847
pyrrole,0.640497523601917,0.04031922587086328,0.052304443952419004,0.3682313267956122,,1.0139974367351041,1.4324721348482459,0.7286419376176665,0.32971729794639043,0.11335910814158627,1.4138052417677365
pyrazole,2.325507243296098,0.2056180858241323,0.3666117634557144,0.6503007641033979,1.138373584367901,,1.0236686884192787,0.8171809912437303,0.3347324796769566,1.316614420062696,0.02347162029624538
imidazole,1.315339761581722,0.12794241551119756,0.3624877013101341,0.2637003861327083,0.9555876458799952,0.9045943678143998,,2.0071253987323416,1.4146937591913669,0.2019762600211298,0.7026976531766709
thiazole,2.0238441407385865,0.15347255949490043,0.4536114449656884,0.5471047412487666,0.37592886568821277,0.31214859048431504,1.2736137092787703,,1.9666188500756017,0.4459265578347357,1.0342913351318186
oxazole,1.291032826261009,0.4014586330333545,0.5337603416066187,0.5475494642077329,0.5650473101741951,0.5203121873123874,3.3386698685878193,6.770729104129145,,0.6870789140150757,1.3210702341137124
isoxazole,0.8597799974712352,0.11966195497718944,0.2293063482964034,0.7569258717262957,0.10223164193990775,1.7593700159489634,0.259170653907496,1.1463317384370015,0.5133572567783095,,0.6057886470720215
furan,3.4142293247082103,0.09609292502639916,0.14768292422853,0.7717998672632683,1.6579895029199623,0.48514536697949906,0.3299702619393561,0.6769097068987758,0.33607854053650354,0.4886722245772691,
