,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,6.1227523325165425,14.029753732192779,12.71451168910202,8.551330925834204,13.061557644247838,6.473602357242607,15.141888274405456,9.787738008173118,13.012695646055613,13.968511669918303
pyridazine,64.35581818475794,,41.60288388432033,53.371687533128544,28.86881236184039,29.001578020125162,20.217600521921533,37.82417609332555,35.038613882617476,42.415662017397395,40.47885277578463
pyrimidine,40.73643399758919,13.88470361146238,,19.215658154960174,11.50980570988337,27.511680805470544,13.422224426192708,26.773048772498143,22.523985914467783,27.294168645876837,16.449912011256146
pyrazine,63.12757893192167,24.317797227235083,31.4339676934817,,20.256522787222664,26.80952937427641,13.200130851509565,28.103919483316986,23.87188824823693,26.02416572828768,33.69622360839505
pyrrole,33.17054113388379,14.76689783024584,15.333596484164087,17.285441536709264,,48.85225067376264,25.437027355588626,20.48573986674827,25.959282375285337,35.92167831360752,48.84082421896513
pyrazole,30.79390449426567,7.623545808112156,16.41420649925012,14.683862332237767,15.475144729745669,,18.227934887854975,19.21870165268485,18.011481684169866,26.89431270851931,0.23905413862593017
imidazole,40.465002127534476,12.921492446903022,23.084843337817627,21.483465336456657,28.53903287600082,52.25503318202366,,28.871737780235495,36.82895683741422,31.9584032842166,40.72430319279996
thiazole,43.143116759610706,6.565931462355684,20.07302909554765,18.15476347094844,14.393027884533424,18.725571604556873,13.938329459814328,,25.924049517727905,25.361904761904764,28.25476829572388
oxazole,35.83167733345657,8.637134982058381,22.669318804240458,21.565675391225557,28.122961801272982,38.55515920157579,30.0713413095358,33.34998948169812,,48.941194195771416,47.99096671705796
isoxazole,27.15329890858589,8.555267385643301,17.373182357175327,17.78740845631347,21.5817467811168,34.913502703719566,16.893777941494857,22.52316508275177,33.778793640748034,,29.07362836063372
furan,31.712131567242707,10.44849886998858,12.96000914218946,14.768326877797602,32.39836386497229,34.36677225544281,14.435858407027899,17.712223104012146,22.912831313373157,32.09727757631191,
