,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,0.35652484381006483,1.5669843442330504,2.596844324549126,0.5813120668765691,0.8221728571953916,0.6193624940563324,1.4851154455310422,0.3490091773827113,0.5002164790968329,2.275573088060889
pyridazine,16.51533962574604,,6.749734173992482,8.886299521648473,2.466810462678859,6.4655172413793105,7.448776571608084,13.671425081149,4.704896862238665,3.031609195402299,3.1473099006592333
pyrimidine,4.884148873926448,0.46689291032441405,,1.3744677554260092,0.22692601937996876,0.7842969708436839,1.1393924658470984,2.2636177163260656,0.6454318376574836,0.627437576674947,0.5695860805025132
pyrazine,16.53125617944684,1.0470146977319694,2.465925416198858,,1.9243906525914183,1.9870692211874965,1.1110287303058388,2.9445892292464477,1.1421644405396087,1.460982391102873,4.339355613081216
pyrrole,3.054239336959752,0.22705373605086537,0.40430568851421,1.8018109779076992,,2.765347065834407,4.686620034443637,3.8130575941941998,1.380499489815406,0.6767504644564342,3.800937564599268
pyrazole,7.078367641747923,0.38022570095104474,1.1928064207572389,2.6738546241069674,1.6853503792396127,,1.9939475374250253,2.6573927144997356,0.8323620331424517,3.3013011364356206,0.013118351381004626
imidazole,5.715128015100582,0.4091143416847098,1.2418367555837615,1.3182103239042948,1.9863166761212248,2.1239489611833964,,4.860792662954471,2.329247222017507,0.8393830329979896,2.4280084002186357
thiazole,6.09276991303653,0.39227993095873215,1.5234341187985645,1.6591709198713092,1.0654280827660216,1.3845933610096646,2.960612829877121,,2.740204874508538,1.9092927793110566,2.2767592148551077
oxazole,5.355973062914341,0.9800955099785563,1.9611953203809724,2.108816521048451,2.19376026272578,2.1849047706373947,7.924656816514723,12.841873624646338,,2.1940740352623718,4.402747440722124
isoxazole,3.792880348956123,0.3323488497988776,1.1145875409925854,3.382239596714277,0.411861050005825,4.02281144954028,0.921494930408648,4.7363124131367975,1.045410667707285,,2.4457099000198728
furan,9.932531831786132,0.3867435689232289,0.7794189323783085,2.522505586341555,2.949978444397008,1.9571565906658686,1.0617618627327365,1.8285411073693278,0.9472298910659358,2.956540666037873,
