,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,0.35156883538144845,1.5295365229867133,1.051712307404404,0.3510698022581249,0.3660407959578317,0.23878734951032374,0.5606637140540203,0.1327428108040671,0.21932505770070487,1.4501902563782672
pyridazine,12.288587536187718,,5.073899131494743,2.834069785159226,0.34283102239829344,1.257047082127076,1.6760627761694347,3.0016760627761694,1.6608258418406217,0.7313728477830261,0.6932805119609934
pyrimidine,3.305770480184277,0.36087649873014,,0.8286574921741184,0.056700726478057996,0.14116118362766522,0.24806567834150375,0.5168034965447995,0.19786191010572324,0.08268855944716792,0.1641958537593763
pyrazine,13.695408734602463,1.187010078387458,4.568868980963046,,1.1226203807390818,1.312989921612542,0.593505039193729,2.0604703247480405,0.6802911534154534,0.8678611422172453,2.715565509518477
pyrrole,1.1417730054688526,0.03600185152379265,0.0931476475933048,0.32573103759621924,,0.9223331485619259,0.9863364401597796,0.40916389985770696,0.18515237926521935,0.08629015206496335,1.2623506351755234
pyrazole,1.8905257700781959,0.16589622845293125,0.29809478550136087,0.5184257139154101,1.1733701991618783,,1.0601805849570138,0.6644489566682508,0.27217349980559036,1.070549099235322,0.024193199982719144
imidazole,0.9559797663495122,0.09258701674093701,0.26345899072624357,0.18969047332289532,0.9763037456341082,0.9251174274358666,,1.4588100686498855,1.0282428038058533,0.14678429483319283,0.5096049620619053
thiazole,2.04697854986079,0.15489588643582605,0.45880553703776317,0.5489980785067252,0.3784165326849927,0.315673895141367,1.288184777067566,,1.9891376808752599,0.45096270734481003,1.0411356417395397
oxazole,1.3006654567453115,0.4033071183706392,0.5377428244941856,0.5478255024534516,0.5679908583719836,0.5242992538818311,3.364253545741749,6.82261208576998,,0.6923438865362641,1.327552597970021
isoxazole,0.8327822274475224,0.11756925563965023,0.22534107330932962,0.7348078477478139,0.10042373919220125,1.7292478016998556,0.25473338721924216,1.1267053665466482,0.5045680554534989,,0.5951943566757293
furan,6.717323955455077,0.0952440760277987,0.28991878087582684,0.754626140835636,1.6432219710290545,0.4312149376203634,0.5086661642803316,1.043498283513355,0.5180859080633007,0.4343548522146864,
