,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,5.774546762091168,13.620919584496189,7.002033445678429,8.038302374439388,8.01553453869487,4.796052270406424,11.208141279389555,7.248171538096187,7.990552529887604,13.143343739670302
pyridazine,120.74657201795898,,72.24681827590884,46.08792479496349,28.890536556814205,28.729255444442064,20.04073963039894,37.47867548912539,34.69815556364519,41.98107382741957,40.459039094341776
pyrimidine,64.73835660473071,21.184352013410628,,24.200578061455573,17.53582513821249,20.525419643716443,11.801123783420826,23.529758294205603,19.791690415113138,20.36915278578638,25.039651931674367
pyrazine,125.33313401265853,48.40540767955344,96.9222724260356,,40.301348189968074,61.65111823450832,30.38598654262381,64.6575074117481,54.91501435358499,59.83905247102079,60.963050734111455
pyrrole,46.13858621101706,11.47051544324736,20.792988922788012,10.364718692700121,,48.78540480762905,29.508540744815065,17.319042591613794,21.937851966987214,25.630630408873582,37.90331394414715
pyrazole,19.775398112095075,4.411270083523942,10.564248459310786,7.150305735268569,14.368118652560286,,18.777581657184708,12.365619529371099,11.59055086166001,17.29175436419422,0.22195322164327244
imidazole,27.989249550655178,8.30725476561381,15.984817226122516,12.041477583498438,26.746132473518397,52.72161466059377,,19.978029193186735,25.473675050148188,22.113682590265412,25.605053690327946
thiazole,43.25341253695907,6.043287953340762,20.16338080070061,15.287582511065127,13.71463488726136,18.79474517994278,14.000150430914601,,26.01033891851834,25.448811799847586,26.86949185253339
oxazole,35.976111874029264,7.303284860156342,22.794268457710746,17.590007675839146,27.971316734801288,38.729095330664435,30.227234875522218,33.48686256930428,,49.12516130806222,46.91068208868004
isoxazole,21.405796636879344,7.88041915957141,17.502755723943675,13.633414264413005,20.888718386727852,35.13872717609128,17.02484701337431,22.676293949402222,33.997438676094376,,26.725191763229027
furan,57.34341268650006,10.442540542007551,21.346174474315966,11.198625881786471,32.39802441428552,31.031443468461354,18.68771138274199,22.90294103908874,29.616292609563626,28.960559550507448,
