,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,0.38921650487189974,1.8021265878271309,1.7340090296236659,0.6342280144977077,0.7517214626969199,0.5369083221101251,1.2873844912384258,0.3025440724960104,0.45752085711065743,2.482617258399038
pyridazine,28.31751731213132,,11.559374198512439,7.432675044883304,2.082585278276481,4.616568350859194,5.473198255963068,10.046165683508592,3.4572967427545525,2.1646576045139776,2.657091561938959
pyrimidine,7.509607832626777,0.7175868200812442,,2.0259766894986218,0.34772313594063536,0.5989600934098075,0.8737359494915831,1.7360520372800219,0.4950160460709849,0.47916807472784606,0.8728037158831631
pyrazine,27.27105110130909,1.7281972002779866,7.2425432935736875,,3.1762803693250317,3.8010410313869545,2.1253208901243847,5.632774050803467,2.1848894436013446,2.7947579672940277,6.870948983788844
pyrrole,4.127072222071816,0.15363998159027534,0.5459746776042089,1.1973089314237757,,1.9420454648004257,2.5908980155399735,1.5765582839248808,0.5707917084044003,0.377218868162908,2.5719468283834637
pyrazole,4.765967612579561,0.2531866969267785,0.8032865211678583,1.7403119294234084,1.5071754005767621,,1.794703342832278,1.7895841509820316,0.5605515076019999,2.223222360630002,0.011731481323481733
imidazole,3.3559257647485943,0.23850683182623625,0.7292250210977566,0.7631256897343486,1.6669030897694515,1.7861565056825697,,2.8543882131462466,1.3678078288905826,0.49288206173768573,1.4204620589006085
thiazole,5.1683819293033135,0.3318496593951581,1.2923779075678667,1.3909443170392797,0.8972649939560997,1.1746065816378404,2.5116076774477794,,2.3246421672183373,1.61970876309041,1.9173849681989177
oxazole,4.560718469347911,0.8311485468845876,1.6701065432029898,1.7772075640095943,1.8631115077815583,1.860880236514754,6.7495955820828915,10.93769174987449,,1.8686896859485693,3.7329168293635298
isoxazole,3.1254657815384266,0.2780357490913677,0.9332828856097869,2.79239615221454,0.3445350210389938,3.368532085898715,0.7716208624267649,3.9658789942558386,0.8753826574484918,,2.045999151561013
furan,16.699122969112025,0.3283535415274836,1.3070176685477108,2.098051200409376,2.5045841565862603,1.5337379710309733,1.4363690636949014,2.473667751702179,1.281431678298816,2.316953561427698,
