,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,400775,400775,400775,400775,400775,400775,400775,400775,400775,400775,400775
pyridazine,13126,13126,13126,13126,13126,13126,13126,13126,13126,13126,13126
pyrimidine,169310,169310,169310,169310,169310,169310,169310,169310,169310,169310,169310
pyrazine,35720,35720,35720,35720,35720,35720,35720,35720,35720,35720,35720
pyrrole,174991,174991,174991,174991,174991,174991,174991,174991,174991,174991,174991
pyrazole,115735,115735,115735,115735,115735,115735,115735,115735,115735,115735,115735
imidazole,132848,132848,132848,132848,132848,132848,132848,132848,132848,132848,132848
thiazole,102004,102004,102004,102004,102004,102004,102004,102004,102004,102004,102004
oxazole,29754,29754,29754,29754,29754,29754,29754,29754,29754,29754,29754
isoxazole,40827,40827,40827,40827,40827,40827,40827,40827,40827,40827,40827
furan,95544,95544,95544,95544,95544,95544,95544,95544,95544,95544,95544
