,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,72352068,72352068,72352068,72352068,72352068,72352068,72352068,72352068,72352068,72352068,72352068
pyridazine,5603880,5603880,5603880,5603880,5603880,5603880,5603880,5603880,5603880,5603880,5603880
pyrimidine,18027495,18027495,18027495,18027495,18027495,18027495,18027495,18027495,18027495,18027495,18027495
pyrazine,6809797,6809797,6809797,6809797,6809797,6809797,6809797,6809797,6809797,6809797,6809797
pyrrole,22344070,22344070,22344070,22344070,22344070,22344070,22344070,22344070,22344070,22344070,22344070
pyrazole,58270837,58270837,58270837,58270837,58270837,58270837,58270837,58270837,58270837,58270837,58270837
imidazole,20752993,20752993,20752993,20752993,20752993,20752993,20752993,20752993,20752993,20752993,20752993
thiazole,17150730,17150730,17150730,17150730,17150730,17150730,17150730,17150730,17150730,17150730,17150730
oxazole,13383553,13383553,13383553,13383553,13383553,13383553,13383553,13383553,13383553,13383553,13383553
isoxazole,19341560,19341560,19341560,19341560,19341560,19341560,19341560,19341560,19341560,19341560,19341560
furan,21665676,21665676,21665676,21665676,21665676,21665676,21665676,21665676,21665676,21665676,21665676
