,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,9949130,9949130,9949130,9949130,9949130,9949130,9949130,9949130,9949130,9949130,9949130
pyridazine,320632,320632,320632,320632,320632,320632,320632,320632,320632,320632,320632
pyrimidine,2997958,2997958,2997958,2997958,2997958,2997958,2997958,2997958,2997958,2997958,2997958
pyrazine,1061731,1061731,1061731,1061731,1061731,1061731,1061731,1061731,1061731,1061731,1061731
pyrrole,1488257,1488257,1488257,1488257,1488257,1488257,1488257,1488257,1488257,1488257,1488257
pyrazole,4008628,4008628,4008628,4008628,4008628,4008628,4008628,4008628,4008628,4008628,4008628
imidazole,1053328,1053328,1053328,1053328,1053328,1053328,1053328,1053328,1053328,1053328,1053328
thiazole,1376634,1376634,1376634,1376634,1376634,1376634,1376634,1376634,1376634,1376634,1376634
oxazole,532753,532753,532753,532753,532753,532753,532753,532753,532753,532753,532753
isoxazole,827429,827429,827429,827429,827429,827429,827429,827429,827429,827429,827429
furan,1204466,1204466,1204466,1204466,1204466,1204466,1204466,1204466,1204466,1204466,1204466
