,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,1606047,1606047,1606047,1606047,1606047,1606047,1606047,1606047,1606047,1606047,1606047
pyridazine,38990,38990,38990,38990,38990,38990,38990,38990,38990,38990,38990
pyrimidine,429077,429077,429077,429077,429077,429077,429077,429077,429077,429077,429077
pyrazine,141014,141014,141014,141014,141014,141014,141014,141014,141014,141014,141014
pyrrole,443244,443244,443244,443244,443244,443244,443244,443244,443244,443244,443244
pyrazole,468824,468824,468824,468824,468824,468824,468824,468824,468824,468824,468824
imidazole,415921,415921,415921,415921,415921,415921,415921,415921,415921,415921,415921
thiazole,354076,354076,354076,354076,354076,354076,354076,354076,354076,354076,354076
oxazole,89635,89635,89635,89635,89635,89635,89635,89635,89635,89635,89635
isoxazole,174438,174438,174438,174438,174438,174438,174438,174438,174438,174438,174438
furan,281404,281404,281404,281404,281404,281404,281404,281404,281404,281404,281404
