,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,126.84798203480756,129.45567962073483,73.06818040047408,126.8033185702701,114.7374461979914,93.17497348886532,93.17397542261867,93.17622107167364,114.78235917909052,126.80581373588673
pyridazine,193.25765655950022,,192.8691147341155,93.53953984458327,94.18710955355782,90.61404845345116,94.68992838640865,94.68230991924425,94.68992838640865,90.61404845345116,94.18710955355782
pyrimidine,191.25450357332704,191.3980272872246,,186.3416218770303,190.9987596716083,92.68560628433052,92.9460752465891,92.94725651172405,92.94961904199398,92.68560628433052,190.9987596716083
pyrazine,193.06550951847706,193.11590145576707,352.23964165733486,,193.11310190369542,209.14613661814107,209.14893617021275,209.14613661814107,209.14893617021275,209.14893617021275,180.041993281075
pyrrole,178.26345354903967,89.29202073249482,178.08744449714558,88.45826356784063,,90.96010651976387,68.85554114211588,56.15431650770611,56.15488796566681,76.12105765439365,89.28744906880925
pyrazole,81.295200241932,80.68172981379877,81.31075301334945,79.72091415734221,103.07426448351838,,103.56676891173802,81.30988897049293,81.31075301334945,81.31075301334945,103.07426448351838
imidazole,72.67930266168855,72.36616283271107,72.68080814163555,71.93409008792003,102.16789112369023,102.2687582801397,,72.68156088160906,72.68306636155606,72.67403348187402,72.5212272672528
thiazole,101.14309242774793,100.92741461119172,101.14505313517117,100.34606486020157,100.66173875534292,101.12936747578527,101.14407278145956,,101.14505313517117,101.12936747578527,100.66173875534292
oxazole,100.74611816898569,100.46044229347315,100.74611816898569,100.05041338979632,100.52093836122876,100.76628352490422,100.76628352490422,100.76628352490422,,100.76628352490422,100.49069032735093
isoxazole,96.85992113062434,98.2511573223602,98.27075219830014,97.07791412545619,98.23156244642026,98.2878977147476,98.2878977147476,98.2878977147476,98.2878977147476,,98.2511573223602
furan,196.74495520388513,99.11663736079713,196.31164698986854,97.77484719082308,99.10931089341037,88.88365569789835,154.1551536464875,154.1562002846856,154.1562002846856,88.88470233609645,
