,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,109.16953239849146,115.00603656057389,66.77369964888948,109.10284692789189,91.43107268965353,86.68725136935595,86.68581928175203,86.68656645789319,91.4645710866494,109.09855066508017
pyridazine,171.4619133111054,,171.25673249551167,83.64195947678891,84.42421133624006,71.40292382662221,73.47781482431392,73.48294434470377,73.48294434470377,71.40292382662221,84.42421133624006
pyrimidine,153.75468738711234,153.69409220256506,,147.40081617052417,153.23193739119085,76.3690433185652,76.68437133661324,76.69369367269744,76.69532508151218,76.3690433185652,153.2347340920161
pyrazine,164.96659906108613,165.05949763853235,293.70488036648845,,165.0538244429631,191.2888082034408,191.2930631001177,191.29235395067155,191.2937722495639,191.2930631001177,158.34030663622053
pyrrole,135.1260253945908,67.66679300791438,135.04006822427377,66.45030727996318,,70.22791058649412,55.28286902924799,41.34630135997329,41.346752578715105,55.73972800534243,67.66611617980165
pyrazole,67.33145060833064,66.58852789106359,67.34424858795624,65.08625838267665,89.4280156305991,,90.00755080797911,67.34360868897497,67.3446751872771,67.3438219886354,89.4280156305991
imidazole,58.72004539323573,58.29833069260749,58.72148797487985,57.891041808420354,83.91930198282847,84.09601823423199,,58.72269012624993,58.72317098679798,58.7195645326877,58.50317728607115
thiazole,84.8281159976954,84.5951151730137,84.8331996520521,83.83369672047809,84.21638292344016,84.83404692777822,84.83404692777822,,84.83461177826229,84.83291722681007,84.21553564771405
oxazole,85.15200535505105,84.80281140179618,85.15758353321804,84.27511574719696,84.92776259273721,85.16985552518548,85.17208679645228,85.17208679645228,,85.16985552518548,84.78607686729515
isoxazole,82.40349006523809,83.65780391887088,83.73347550419061,82.56056593173506,83.65321776218485,83.73576858253362,83.73576858253362,83.73347550419061,83.73576858253362,,83.65665737969937
furan,168.1255419254879,84.90213358729798,167.69129081320807,83.17330244061918,84.9017782263223,78.3656238006567,135.28165910932327,135.2809483873719,135.28201447029892,78.36704524455942,
