,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,0.9431292413093154,0.9708594922262623,0.5507119437138963,0.9400059995520792,0.6136737100589854,0.7408629702194552,0.7402076330423617,0.7405359166789814,0.6140582049430847,0.9409265675723325
pyridazine,1.8762339664660914,,1.7365819753456533,0.8635275915972505,1.0007525143293574,0.9906100773035825,0.9912521324510875,0.9908656145384983,0.9902833394005582,0.9897540632561725,0.9995105177127276
pyrimidine,1.5892003853003427,1.5257331093421465,,1.2594196808818974,1.5235552693261043,0.7460620014039665,0.879222654062586,0.8788598748744626,0.8786939616402611,0.7462822205747388,1.522175432582286
pyrazine,1.985394278272906,1.9905342259101115,3.083361075227353,,1.9895491745201803,2.2995971832934226,2.301945858297979,2.3006580078671948,2.300405136893214,2.299364870935213,1.8091953401841494
pyrrole,1.3909506638674154,0.776772181612392,1.3560412225704628,0.5996212865426934,,0.998631672743596,1.160062468475976,0.8454194334335687,0.8450869962365853,0.7135142791801136,0.7760580323996479
pyrazole,0.6421854726404564,0.5786375781765414,0.6436039695122279,0.48694993003103765,0.9284642504791891,,1.030154088914151,0.6434159680939541,0.6435090163540984,0.6429520825314385,0.9284642504791891
imidazole,0.691690302213276,0.6429021105534031,0.6924377606642088,0.5604997794775914,0.937177254384464,1.008928928950152,,0.6919579744473484,0.6916751718655714,0.6919520475914004,0.628741357933287
thiazole,1.0025565092564572,0.9204007059757806,1.0045011495137526,0.842070045998042,0.9528665543682397,1.0036940701649435,1.0044353214119748,,1.0033285463650818,1.0034266762989097,0.9509719411360332
oxazole,1.0040309176494464,0.8455679893074731,1.0055118397932148,0.8156483558588665,0.9946077846443317,1.004511358082566,1.0051841241260822,1.004104141852317,,1.0037589420387845,0.9774898339775694
isoxazole,0.7883313445244334,0.9211189790275448,1.0074582401833152,0.7664643389674877,0.9678882158419486,1.0064509274329474,1.0077584227952658,1.0067987277137935,1.0064728491393662,,0.9192245092950103
furan,1.8082484479136491,0.9994297431568717,1.6470802018824615,0.7582867019704347,0.999989522597864,0.9029490240692236,1.2945341285450775,1.2930585226142954,1.292563638448207,0.9022746393881271,
