,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,111.764114048163,93.07670117889705,72.65415166954297,111.75823413705518,58.996123279120894,89.85506270397512,89.84876064540317,89.85335401185833,59.0375741396484,111.74667533744156
pyridazine,190.6412959405175,,190.5514733401532,90.66219217046334,99.5867536615185,54.13090396466978,54.392574665036555,54.3922627810075,54.393822201152716,54.13028019661169,99.5867536615185
pyrimidine,152.0864201566533,154.18681649309295,,146.75799327408856,154.1446544614701,72.39150781965591,72.40671817283632,72.40651803661025,72.40691830906238,72.39074063078935,154.13851695053765
pyrazine,200.65647513353193,201.60313676439702,360.9968061589989,,201.5980507303639,189.93464446267464,189.9371874796912,189.89442711948695,189.93021772934952,189.9324781889198,149.40375669543414
pyrrole,137.049380584133,68.69646841909697,137.055226348675,65.02257338618263,,77.96247556705596,76.52387994815412,49.55716653776868,49.55851039168638,57.08960213188986,68.68753179054424
pyrazole,53.32699866388201,48.07792092456571,53.66090343129869,45.2014005789512,101.18816213427637,,103.45898896081154,53.67400018160827,53.678340818853734,53.66349783516954,101.18816213427637
imidazole,71.02004313945893,68.18968070724408,71.02792292619203,65.29276730515092,99.70540990080963,102.36934743973387,,71.0264988683487,71.02830267495025,71.02725836586514,68.27426974313794
thiazole,100.19002872223118,97.64890304903119,100.21312854397029,91.90336719854369,96.97937142334128,100.2158162590783,100.21676059141356,,100.21567097718058,100.21538041338512,96.97602993969349
oxazole,99.83876205295887,89.89006162330386,99.84758415250595,89.75416374942985,99.8173637689511,99.8458948142948,99.85039971619119,99.84720874401458,,99.83819894022183,99.76255412921185
isoxazole,86.88757585242963,100.07493090041561,100.13560075849408,89.98234289588594,100.07904001430938,100.13463390816615,100.13644675253104,100.13439219558416,100.13149164460032,,100.07468918783364
furan,192.56533600782421,100.49050782670494,192.69825798320582,92.30962102707755,100.48909641285017,79.7168205661264,168.97205898713622,168.96649635606153,168.97197596279182,79.71789988260358,
