,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,508375.0,518826.0,292839.0,508196.0,459839.0,373422.0,373418.0,373427.0,460019.0,508206.0
pyridazine,25367.0,,25316.0,12278.0,12363.0,11894.0,12429.0,12428.0,12429.0,11894.0,12363.0
pyrimidine,323813.0,324056.0,,315495.0,323380.0,156926.0,157367.0,157369.0,157373.0,156926.0,323380.0
pyrazine,68963.0,68981.0,125820.0,,68980.0,74707.0,74708.0,74707.0,74708.0,74708.0,64311.0
pyrrole,311945.0,156253.0,311637.0,154794.0,,159172.0,120491.0,98265.0,98266.0,133205.0,156245.0
pyrazole,94087.0,93377.0,94105.0,92265.0,119293.0,,119863.0,94104.0,94105.0,94105.0,119293.0
imidazole,96553.0,96137.0,96555.0,95563.0,135728.0,135862.0,,96556.0,96558.0,96546.0,96343.0
thiazole,103170.0,102950.0,103172.0,102357.0,102679.0,103156.0,103171.0,,103172.0,103156.0,102679.0
oxazole,29976.0,29891.0,29976.0,29769.0,29909.0,29982.0,29982.0,29982.0,,29982.0,29900.0
isoxazole,39545.0,40113.0,40121.0,39634.0,40105.0,40128.0,40128.0,40128.0,40128.0,,40113.0
furan,187978.0,94700.0,187564.0,93418.0,94693.0,84923.0,147286.0,147287.0,147287.0,84924.0,
