,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,68237351.0,70243692.0,39845148.0,68011378.0,44400562.0,53602968.0,53555553.0,53579305.0,44428381.0,68077983.0
pyridazine,10514190.0,,9731597.0,4839105.0,5608097.0,5551260.0,5554858.0,5552692.0,5549429.0,5546463.0,5601137.0
pyrimidine,28649302.0,27505146.0,,22704182.0,27465885.0,13449629.0,15850182.0,15843642.0,15840651.0,13453599.0,27441010.0
pyrazine,13520132.0,13555134.0,20997063.0,,13548426.0,15659790.0,15675784.0,15667014.0,15665292.0,15658208.0,12320253.0
pyrrole,31079499.0,17356252.0,30299480.0,13397980.0,,22313496.0,25920517.0,18890111.0,18882683.0,15942813.0,17340295.0
pyrazole,37420685.0,33717696.0,37503342.0,28374980.0,54102389.0,,60027941.0,37492387.0,37497809.0,37465356.0,54102389.0
imidazole,14354644.0,13342143.0,14370156.0,11632048.0,19449233.0,20938295.0,,14360199.0,14354330.0,14360076.0,13048265.0
thiazole,17194576.0,15785544.0,17227928.0,14442116.0,16342357.0,17214086.0,17226799.0,,17207817.0,17209500.0,16309863.0
oxazole,13437501.0,11316704.0,13457321.0,10916273.0,13311386.0,13443931.0,13452935.0,13438481.0,,13433861.0,13082287.0
isoxazole,15247558.0,17815878.0,19485814.0,14824616.0,18720468.0,19466331.0,19491620.0,19473058.0,19466755.0,,17779236.0
furan,39176925.0,21653321.0,35685106.0,16428794.0,21665449.0,19563001.0,28046957.0,28014987.0,28004265.0,19548390.0,
