,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,11119557.0,9260322.0,7228456.0,11118972.0,5869601.0,8939797.0,8939170.0,8939627.0,5873725.0,11117822.0
pyridazine,611257.0,,610969.0,290692.0,319307.0,173561.0,174400.0,174399.0,174404.0,173559.0,319307.0
pyrimidine,4559487.0,4622456.0,,4399743.0,4621192.0,2170267.0,2170723.0,2170717.0,2170729.0,2170244.0,4621008.0
pyrazine,2130432.0,2140483.0,3832815.0,,2140429.0,2016595.0,2016622.0,2016168.0,2016548.0,2016572.0,1586266.0
pyrrole,2039647.0,1022380.0,2039734.0,967703.0,,1160282.0,1138872.0,737538.0,737558.0,849640.0,1022247.0
pyrazole,2137681.0,1927265.0,2151066.0,1811956.0,4056257.0,,4147286.0,2151591.0,2151765.0,2151170.0,4056257.0
imidazole,748074.0,718261.0,748157.0,687747.0,1050225.0,1078285.0,,748142.0,748161.0,748150.0,719152.0
thiazole,1379250.0,1344268.0,1379568.0,1265173.0,1335051.0,1379605.0,1379618.0,,1379603.0,1379599.0,1335005.0
oxazole,531894.0,478892.0,531941.0,478168.0,531780.0,531932.0,531956.0,531939.0,,531891.0,531488.0
isoxazole,718933.0,828049.0,828551.0,744540.0,828083.0,828543.0,828558.0,828541.0,828517.0,,828047.0
furan,2319384.0,1210374.0,2320985.0,1111838.0,1210357.0,960162.0,2035211.0,2035144.0,2035210.0,960175.0,
