,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,1753314.0,1847051.0,1072417.0,1752243.0,1468426.0,1392238.0,1392215.0,1392227.0,1468964.0,1752174.0
pyridazine,66853.0,,66773.0,32612.0,32917.0,27840.0,28649.0,28651.0,28651.0,27840.0,32917.0
pyrimidine,659726.0,659466.0,,632463.0,657483.0,327682.0,329035.0,329075.0,329082.0,327682.0,657495.0
pyrazine,232626.0,232757.0,414165.0,,232749.0,269744.0,269750.0,269749.0,269751.0,269750.0,223282.0
pyrrole,598938.0,299929.0,598557.0,294537.0,,311281.0,245038.0,183265.0,183267.0,247063.0,299926.0
pyrazole,315666.0,312183.0,315726.0,305140.0,419260.0,,421977.0,315723.0,315728.0,315724.0,419260.0
imidazole,244229.0,242475.0,244235.0,240781.0,349038.0,349773.0,,244240.0,244242.0,244227.0,243327.0
thiazole,300356.0,299531.0,300374.0,296835.0,298190.0,300377.0,300377.0,,300379.0,300373.0,298187.0
oxazole,76326.0,76013.0,76331.0,75540.0,76125.0,76342.0,76344.0,76344.0,,76342.0,75998.0
isoxazole,143743.0,145931.0,146063.0,144017.0,145923.0,146067.0,146067.0,146063.0,146067.0,,145929.0
furan,473112.0,238918.0,471890.0,234053.0,238917.0,220524.0,380688.0,380686.0,380689.0,220528.0,
