,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,,14.02975373,12.71451169,8.551330926,,,,,,
pyridazine,,,,,,,,,,,
pyrimidine,40.736434,,,19.21565815,11.50980571,27.51168081,13.42222443,,,,
pyrazine,63.12757893,,31.43396769,,20.25652279,,13.20013085,,,,
pyrrole,33.17054113,,15.33359648,17.28544154,,48.85225067,25.43702736,20.48573987,25.95928238,35.92167831,48.84082422
pyrazole,,,16.4142065,,15.47514473,,18.22793489,19.21870165,18.01148168,26.89431271,
imidazole,,,23.08484334,21.48346534,28.53903288,52.25503318,,28.87173778,36.82895684,,
thiazole,,,,,14.39302788,,13.93832946,,25.92404952,,
oxazole,,,,,28.1229618,,30.07134131,33.34998948,,48.9411942,47.99096672
isoxazole,,,,,21.58174678,34.9135027,,,33.77879364,,29.07362836
furan,,,,,,,,,22.91283131,32.09727758,
