,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,,2.7967700211281077,16.149453729950306,0.6340854158461007,,,,,,
pyridazine,,,,,,,,,,,
pyrimidine,,,,2.1078337276131016,0.029686437000000003,0.22280292652481964,0.3401443125302601,,,,
pyrazine,,,1.297091082,,0.581327921,,0.283771484,,,,
pyrrole,,,0.05405945874433879,1.803952075673488,,1.5331613211048258,1.886891269539511,1.250007660214874,1.9391530447777776,0.485875123521885,2.5894163223522355
pyrazole,,,0.366611763,,1.138373584,,1.023668688,0.9271836593994843,1.302018672205418,3.7322940676194682,
imidazole,,,0.362487701,0.9807410100595745,0.9555876459999999,1.038350996673988,,2.6140405769023967,6.316435991652618,,
thiazole,,,,1.562342441236394,0.375928866,,1.273613709,,6.74205112507226,,
oxazole,,,,,0.56504731,,3.3386698690000003,6.770729104000001,,0.687078914,1.321070234
isoxazole,,,,,0.102231642,1.7593700159999999,,,0.7044040038831417,,0.605788647
furan,,,,,,,,,1.0791923143545068,1.1435985760746565,
