,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,,56.307417968842245,135.0879056132914,27.689963227310642,,,,,,
pyridazine,,,,,,,,,,,
pyrimidine,40.736434,,,50.86938439146338,11.50980571,27.51168081,13.422224429999998,,,,
pyrazine,63.12757892999999,,31.433967689999996,,20.25652279,,13.200130849999999,,,,
pyrrole,33.17054113,,19.005133719403258,56.716391949814046,,48.85225067,27.387216866683044,26.688940100921116,43.33946468837435,41.498022634995394,50.37012439535121
pyrazole,,,53.05615402727003,,40.35744768581727,,51.180907872989835,65.2969192097818,78.42043985657367,81.02521782893616,
imidazole,,,26.574939681920124,65.4712917017589,28.539032879999997,52.25503318,,34.93582908985073,57.10823452470522,,
thiazole,,,,,14.39302788,,13.938329460000002,,33.221101588206785,,
oxazole,,,,,28.122961800000002,,30.07134131,33.34998948,,48.9411942,47.99096672
isoxazole,,,,,21.58174678,34.9135027,,,48.81622719435403,,29.073628360000004
furan,,,,,,,,,37.091942580951084,35.954143126528784,
