,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,,37.742256551296414,61.1484453189108,3.1906451658320374,,,,,,
pyridazine,,,,,,,,,,,
pyrimidine,41.53156915,,,35.64433928983859,0.26514237862623863,1.188041994,0.5210152969414371,,,,
pyrazine,78.84087401,,47.66621677,,1.091331043,,0.42104643525238195,,,,
pyrrole,19.22954167,,4.072078949,5.6756372376227855,,15.833219670000002,8.547385050142568,5.2163465385290815,6.287341412341249,4.124704355540024,11.40214833745118
pyrazole,,,9.246593847973324,,15.214307744798669,,17.239454375959056,15.801948812790673,21.34384977578429,33.69376708026671,
imidazole,,,8.73858855,3.592423253,5.872055048,17.24382149,,10.7569532,12.997768196612661,,
thiazole,,,,,0.745731981,,1.7257682311231752,,28.878861321953963,,
oxazole,,,,,1.253301248,,2.942451755,28.87642116,,23.30873782,10.48346983
isoxazole,,,,,0.218145605,7.0111151529999995,,,23.308550121327986,,6.848442585
furan,,,,,,,,,10.62387260228465,7.283887802524758,
