,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,,1.529536523,1.051712307,0.351069802,,,,,,
pyridazine,,,,,,,,,,,
pyrimidine,3.30577048,,,0.828657492,0.056700726,0.141161184,0.248065678,,,,
pyrazine,13.69540873,,4.568868981,,1.122620381,,0.593505039,,,,
pyrrole,1.141773005,,0.093147648,0.325731038,,0.922333149,0.98633644,0.4091639,0.185152379,0.086290152,1.262350635
pyrazole,,,0.298094786,,1.173370199,,1.060180585,0.664448957,0.2721735,1.070549099,
imidazole,,,0.263458991,0.189690473,0.976303746,0.925117427,,1.458810069,1.028242804,,
thiazole,,,,,0.378416533,,1.288184777,,1.989137681,,
oxazole,,,,,0.567990858,,3.364253546,6.822612086,,0.692343887,1.327552598
isoxazole,,,,,0.100423739,1.729247802,,,0.504568055,,0.595194357
furan,,,,,,,,,0.518085908,0.434354852,
