,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,,13.62091958,7.002033446,8.038302374,,,,,,
pyridazine,,,,,,,,,,,
pyrimidine,64.7383566,,,24.20057806,17.53582514,20.52541964,11.80112378,,,,
pyrazine,125.333134,,96.92227243,,40.30134819,,30.38598654,,,,
pyrrole,46.13858621,,20.79298892,10.36471869,,48.78540481,29.50854074,17.31904259,21.93785197,25.63063041,37.90331394
pyrazole,,,10.56424846,,14.36811865,,18.77758166,12.36561953,11.59055086,17.29175436,
imidazole,,,15.98481723,12.04147758,26.74613247,52.72161466,,19.97802919,25.47367505,,
thiazole,,,,,13.71463489,,14.00015043,,26.01033892,,
oxazole,,,,,27.97131673,,30.22723488,33.48686257,,49.12516131,46.91068209
isoxazole,,,,,20.88871839,35.13872718,,,33.99743868,,26.72519176
furan,,,,,,,,,29.61629261,28.96055955,
