,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,,11.37282355,6.525515296,0.477277913,,,,,,
pyridazine,,,,,,,,,,,
pyrimidine,41.53156915,,,12.62349239,0.131622925,1.188041994,0.183057935,,,,
pyrazine,78.84087401,,47.66621677,,1.091331043,,0.417714091,,,,
pyrrole,19.22954167,,4.072078949,4.049031854,,15.83321967,6.049492796,4.825107492,2.250686541,2.293219518,9.227908889
pyrazole,,,6.915308679,,5.648516151,,4.529928943,5.426669674,2.836631386,6.9547985,
imidazole,,,8.73858855,3.592423253,5.872055048,17.24382149,,10.7569532,6.574020628,,
thiazole,,,,,0.745731981,,1.320467168,,11.17602791,,
oxazole,,,,,1.253301248,,2.942451755,28.87642116,,23.30873782,10.48346983
isoxazole,,,,,0.218145605,7.011115153,,,15.00757165,,6.848442585
furan,,,,,,,,,4.699094869,5.003794213,

