,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,74.55555793485942,54.66659122634619,74.39452306728089,26.028731560543804,,,,,,
pyridazine,120.74657201795898,,,,28.890536556814205,28.729255444442064,,,,,
pyrimidine,64.73835660473071,,,64.06590387349284,17.53582513821249,20.525419643716443,11.801123783420826,,,,
pyrazine,125.3331340126585,,96.9222724260356,,40.301348189968074,,30.38598654262381,,,,
pyrrole,46.13858621101706,45.735811616237335,25.77174477097345,34.00835590253277,,48.78540480762905,31.770882397541406,22.563348615481672,36.62561802534798,29.609431710782378,39.090139629153505
pyrazole,,45.86971883766247,34.14715133744316,,37.4704474162496,,52.72422151349445,42.01308049278369,50.46426012584251,52.09533253780978,
imidazole,,,18.40149172139557,36.696644554896416,26.746132473518397,52.72161466059377,,24.174125532849036,39.500347927041496,,
thiazole,,,,,13.71463488726136,,14.000150430914598,,33.33167956222089,,
oxazole,,,,,27.971316734801288,,30.227234875522218,33.48686256930428,,49.12516130806222,46.91068208868004
isoxazole,,,,,20.888718386727852,35.13872717609128,,,49.13220726962414,,26.725191763229027
furan,,,,,,,,,47.94369626660425,32.440511520270334,
