,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,70.43214651064147,37.74225656263363,61.148445321837656,3.190645164108081,,,,,,
pyridazine,89.40280446118916,,,,0.4837321290451358,0.8976022355847203,,,,,
pyrimidine,41.531569154737994,,,35.64433929121407,0.2651423779629457,1.188041993917193,0.521015296279981,,,,
pyrazine,78.84087400669284,,47.666216772421635,,1.0913310433622077,,0.4210464356781553,,,,
pyrrole,19.229541671902098,0.5564011078120711,4.072078948729958,5.67563723768073,,15.83321966568946,8.547385050050886,5.216346538005018,6.28734141337543,4.124704355298158,11.402148337935651
pyrazole,,11.997242945183263,9.246593848212685,,15.214307743891013,,17.239454376984188,15.801948811376151,21.343849776538093,33.69376707850462,
imidazole,,,8.738588549815441,3.5924232527759634,5.872055048379992,17.243821487703737,,10.756953199763036,12.99776819651884,,
thiazole,,,,,0.7457319810494293,,1.7257682317378822,,28.878861310963988,,
oxazole,,,,,1.253301248420938,,2.9424517553162532,28.87642115577012,,23.30873782034076,10.483469825603986
isoxazole,,,,,0.2181456052422624,7.0111151530826215,,,23.308550116095077,,6.8484425854061195
furan,,,,,,,,,10.62387260137437,7.2838878018536946,
