,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,10.734420234648788,3.620577638650995,11.800111982082866,0.8040413506980358,,,,,,
pyridazine,12.288587536187718,,,,0.3428310223982934,1.257047082127076,,,,,
pyrimidine,3.305770480184277,,,3.927771556550951,0.0567007264780579,0.2065062427096383,0.3161507888714921,,,,
pyrazine,13.695408734602466,,4.568868980963046,,1.1226203807390818,,0.593505039193729,,,,
pyrrole,1.1417730054688526,0.4799634313576101,0.0962731084992026,1.5957446808510634,,1.3945651704324535,1.2992291942671323,0.7019332575193129,1.0889292196007256,0.3698532833663995,2.312023779619861
pyrazole,,1.4627456955660514,0.2980947855013608,,1.1733701991618783,,1.0601805849570138,0.753892004235128,1.058681185722928,3.0347564111984715,
imidazole,,,0.2634589907262435,0.7054871220604702,0.9763037456341082,1.0619086706700651,,1.8999254931179173,4.59097936411911,,
thiazole,,,,,0.3784165326849927,,1.288184777067566,,6.819251193116893,,
oxazole,,,,,0.5679908583719836,,3.364253545741749,6.82261208576998,,0.6923438865362641,1.327552597970021
isoxazole,,,,,0.1004237391922012,1.7292478016998556,,,0.6923438865362641,,0.5951943566757293
furan,,,,,,,,,1.6636418632788867,1.016484189384476,
