,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,16.032315978456012,6.745409332124537,19.749102925950616,2.298057052097716,,,,,,
pyridazine,28.31751731213132,,,,2.082585278276481,4.616568350859194,,,,,
pyrimidine,7.509607832626777,,,6.16463613541918,0.3477231359406353,0.5989600934098075,0.9013730972949188,,,,
pyrazine,27.27105110130909,,7.242543293573689,,3.1762803693250317,,2.1253208901243847,,,,
pyrrole,4.127072222071816,1.7466016927417287,0.5640013330940599,3.763456110740778,,1.9420454648004255,2.7611012668271138,1.9735875913645653,2.8225581525073915,0.9585067473830244,4.051115122741681
pyrazole,,3.0443703513721463,0.8776979423273678,,1.5941558148559254,,2.022980325590677,2.369547780702448,2.9318904445808003,5.975188892328507,
imidazole,,,0.7292250210977566,2.2508403420936927,1.6669030897694517,1.7861565056825697,,3.35295247348027,6.346851118424722,,
thiazole,,,,,0.8972649939560997,,2.5116076774477794,,9.18279689853294,,
oxazole,,,,,1.8631115077815583,,6.7495955820828915,10.93769174987449,,1.868689685948569,3.7329168293635298
isoxazole,,,,,0.3445350210389938,3.368532085898715,,,1.7035756122050538,,2.045999151561013
furan,,,,,,,,,4.022982094048084,3.7377176991251906,
