,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,74.55555793485942,54.66659122634619,74.39452306728089,26.028731560543804,9.95249991003218,16.720686987173362,47.28266376999697,39.18392970835174,29.890712021160653,43.89191918128933
pyridazine,120.74657201795898,,72.24681827590884,46.08792479496349,28.890536556814205,28.729255444442064,20.04073963039894,37.47867548912539,34.69815556364519,41.98107382741957,40.459039094341776
pyrimidine,64.73835660473071,68.14935366210555,,64.06590387349284,17.53582513821249,20.525419643716443,11.801123783420826,24.73262654126093,26.65918385050666,20.36915278578638,25.039651931674367
pyrazine,125.3331340126585,58.821923381656994,96.9222724260356,,40.301348189968074,61.65111823450832,30.38598654262381,64.6575074117481,54.91501435358499,59.83905247102079,60.963050734111455
pyrrole,46.13858621101706,45.735811616237335,25.77174477097345,34.00835590253277,,48.78540480762905,31.770882397541406,22.563348615481672,36.62561802534798,29.609431710782374,39.090139629153505
pyrazole,19.775398112095075,45.86971883766247,34.14715133744316,61.184540449590486,37.4704474162496,,52.72422151349445,42.01308049278369,50.46426012584251,52.09533253780978,0.5969534483945942
imidazole,27.989249550655178,30.764470331270484,18.40149172139557,36.696644554896416,26.746132473518397,52.72161466059377,,24.174125532849036,39.500347927041496,23.727408750897027,25.605053690327946
thiazole,43.25341253695907,18.495542374212153,20.16338080070061,38.50235183222055,13.71463488726136,18.79474517994278,14.000150430914598,,33.33167956222089,25.448811799847583,26.86949185253339
oxazole,35.976111874029264,17.442182916122402,22.794268457710743,34.57031097990146,27.971316734801288,38.729095330664435,30.227234875522218,33.48686256930428,,49.12516130806222,46.91068208868004
isoxazole,21.405796636879344,27.198940733920075,18.778571287913266,38.722373075144525,20.888718386727852,35.13872717609128,17.02484701337431,25.57295811898387,49.13220726962414,,26.725191763229027
furan,57.34341268650006,40.372866656673594,25.65410779478791,35.62893284484104,32.39802441428552,31.03144346846135,19.509566644194408,28.932162071235457,47.94369626660425,32.440511520270334,
