,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,16.032315978456012,6.745409332124537,19.749102925950616,2.298057052097716,2.5751668003344537,2.0732302528605198,5.839424304386628,5.420873542700954,4.2123849161306595,14.16895282227687
pyridazine,28.31751731213132,,11.55937419851244,7.432675044883304,2.082585278276481,4.616568350859194,5.473198255963068,10.046165683508592,3.4572967427545525,2.1646576045139776,2.657091561938959
pyrimidine,7.509607832626777,7.896896640164145,,6.16463613541918,0.3477231359406353,0.5989600934098075,0.9013730972949189,2.1037856279442835,2.369610085346126,1.1786422683130968,1.3308268539182102
pyrazine,27.27105110130909,6.250320595024365,7.242543293573689,,3.1762803693250317,3.8010410313869545,2.1253208901243847,5.632774050803467,3.4372733865119653,2.7947579672940277,6.870948983788844
pyrrole,4.127072222071816,1.7466016927417287,0.5640013330940599,3.763456110740778,,1.9420454648004255,2.7611012668271138,1.9735875913645653,2.8225581525073915,0.9585067473830243,4.051115122741681
pyrazole,4.765967612579561,3.0443703513721463,0.8776979423273678,5.785950331172791,1.5941558148559254,,2.022980325590677,2.369547780702448,2.9318904445808003,5.975188892328507,0.019544853662350162
imidazole,3.3559257647485943,2.5442421133624,0.7292250210977566,2.2508403420936927,1.6669030897694517,1.7861565056825697,,3.3529524734802694,6.346851118424722,1.1752026507985645,2.099472644312092
thiazole,5.1683819293033135,3.0135932290330856,1.2923779075678667,3.492561022309842,0.8972649939560997,1.1746065816378404,2.5116076774477794,,9.18279689853294,3.2877010743072033,2.412545663885375
oxazole,4.560718469347911,1.9107463452167226,1.6701065432029898,1.7772075640095943,1.8631115077815583,1.860880236514754,6.7495955820828915,10.93769174987449,,1.8686896859485693,3.7329168293635298
isoxazole,3.1254657815384266,1.2439086945370608,0.9332828856097868,3.4542669522175107,0.3445350210389938,3.368532085898715,0.7716208624267649,3.9658789942558386,1.7035756122050538,,2.045999151561013
furan,16.699122969112025,2.3698384201077194,1.3070176685477108,4.186818330094885,2.5045841565862603,1.533737971030973,1.4363690636949014,2.473667751702179,4.022982094048084,3.7377176991251906,
