,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,0.4618100662531767,0.6308196852994498,0.5296258865421842,0.2998924940071586,0.4983168220975243,0.502682816035615,0.43278594434336193,0.43217630228634857,0.2551086978199601,0.3886886898055467
pyridazine,0.4727728641049098,,0.4694676684629684,0.04912576761058012,0.24511649940083566,0.21864200912295928,0.16509735316893553,0.0738808260550921,0.1441959982636919,0.11953260446421327,0.23432318122687656
pyrimidine,0.6451787004596422,0.4841468742636385,,0.5517226473086451,0.07169980939690185,0.42740347584225535,0.5626762776264641,0.4681939864223377,0.49117713025561177,0.02860070045482308,0.021222049983222725
pyrazine,0.5159922828602368,0.03567722027148218,0.5217212340181419,,0.10882787137442383,0.21232159344641915,0.25682423156774387,0.1678663950725493,0.185293354888728,0.028030337674039594,0.05639973235532005
pyrrole,0.2954471503570616,0.23378340064267839,0.06786964948629691,0.11307180685568342,,0.3907448127764759,0.45107911427223113,0.008782955796833093,0.024317690971997753,0.011737478676644915,0.34796067259116853
pyrazole,0.4930669961733611,0.243109083366434,0.4275501070080005,0.23766762343800762,0.39894489212588014,,0.5752719463431083,0.3085211628257913,0.34170219198532,0.2865487479072401,0.18190365146832238
imidazole,0.4954983290145192,0.18218634168635442,0.5389054200170745,0.2893713239643148,0.4598601022246341,0.5643799011822885,,0.14332063296954106,0.1396732350389603,0.013047203483950822,0.023090032962980022
thiazole,0.43278828896554616,0.07434108140573122,0.4570635305534826,0.17153852013634158,0.009608915635488963,0.2987052824448117,0.14467660263197185,,0.06354059537606394,0.009559437615117718,0.011472225612251969
oxazole,0.42239072809773026,0.14121994612798194,0.46960564105130986,0.1863819510747262,0.029995077479164266,0.3179914211047338,0.1389474362349704,0.06259382435875356,,0.06741728721276986,0.6082197149919709
isoxazole,0.2515573747855412,0.11596131058258786,0.02952201349268129,0.028368968098708633,0.01338134595542392,0.27486253489362794,0.013189481344788855,0.00951434077120026,0.06996283941541293,,0.14915656833009752
furan,0.386593823484632,0.234265095026174,0.020163658381138098,0.05730598297205692,0.35078340308277256,0.18081187444163,0.02202074937292905,0.011252237968557077,0.6140422167668461,0.13983263234761992,
