,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,0.3003515567152738,0.4924307595956678,0.49419381976753657,0.057758307915161136,0.33776608807743563,0.32911960583623107,0.30442399284100713,0.3502511111633483,0.3054126843884404,0.11396148614627026
pyridazine,0.658025342345979,,0.4895156338912751,0.2189789747359132,0.10961745321915757,0.2521368064220356,0.059311622746935216,0.050237131235397914,0.09071797191510841,0.31005738026407326,0.07826486558369258
pyrimidine,0.7651732896630511,0.5744869340930746,,0.7426382057852772,0.048475180843494996,0.11350814939916554,0.15065174775041495,0.15147839961928003,0.20282601385132884,0.08071389304910694,0.1632748579430622
pyrazine,0.593407168827887,0.43195416097136685,0.8101750905458082,,0.04169018458979653,0.38993747153711245,0.5128874950654607,0.5089939069494028,0.529212412579818,0.4386978960912925,0.06667914690752767
pyrrole,0.38377945396945523,0.08626372718014942,0.3789284222065674,0.046512944814296006,,0.4926633923907556,0.6376780443240329,0.21369606470808133,0.3522298540832574,0.3164685307727817,0.5682619499724106
pyrazole,0.045665418310292534,0.05121309819064596,0.09147940831350539,0.05747076053506492,0.890252776973186,,0.9060802060422564,0.02791841330115486,0.05558663898228977,0.038812702216442195,0.8902547075354961
imidazole,0.1411559799388596,0.06457004645769036,0.350980531608342,0.19257717997570845,0.6835496931021715,0.8300806478888917,,0.07516397785439703,0.10894270105036262,0.0346962335162023,0.04845338625053856
thiazole,0.10853226439585176,0.00323827878698262,0.7575668983822945,0.5355658489949571,0.009157897808375812,0.005903074258631616,0.35455039606112626,,0.7094832485466286,0.008519685834895619,0.014656951435402164
oxazole,0.07158059232725597,0.009546579529339502,0.18793254561786846,0.16828870228529116,0.015442556424923018,0.023959743571719413,0.40640157502276697,0.7254175090225775,,0.8695697939232059,0.8172743501306713
isoxazole,0.01662511602084158,0.007412444961342506,0.027692427119000485,0.01462762384749902,0.00960004776923941,0.028187745825486894,0.014590528387154475,0.01623587886343584,0.36502330264054283,,0.041687925640943785
furan,0.24497434351210087,0.02193203214074789,0.22090322209320717,0.018302691086355915,0.019289601790883872,0.16976675511469927,0.014125909318826974,0.010494379725905872,0.6328641733588901,0.3798522512528266,
