SMILES,ID
COCC(O)CSc1ccccc1Br,Z3231619245
Brc1ccccc1CSCC1CNC1,Z3234550582
Brc1cccc(CSCC2CNC2)c1,Z3234548386
Brc1ccc(CSCC2CNC2)cc1,Z3234548122
Brc1cccc(SCc2nnn[nH]2)c1,Z1346696329
Brc1ccccc1SCc1nnn[nH]1,Z327712880
CN(CCN)Cc1cc(Cl)ccc1Br,Z2354944816
O=C(O)CNCc1cc(Cl)ccc1Br,Z2041736504
Brc1ccc(SCc2nnn[nH]2)cc1,Z327274222
O=S(=O)(c1ccccc1Br)N1CCC1,Z223268780
COC(=O)c1cc(Cl)c(OC)c(Br)c1,Z3222257117
CCNS(=O)(=O)Cc1ccc(Br)cc1,Z274591734
CNS(=O)(=O)c1cc(Br)c(F)cc1C,Z1840519018
Cc1ccc(S(=O)(=O)N(C)C)cc1Br,Z1270783129
CN(C)S(=O)(=O)c1ccc(Br)c(F)c1,Z1270783132
CNS(=O)(=O)c1c(F)cc(Br)cc1F,Z1269175649
CN(C)S(=O)(=O)Cc1cccc(Br)c1,Z2034751678
Clc1ccc(OCC2CNC2)c(Br)c1,Z2438100451
CN(C)S(=O)(=O)c1ccc(Br)c(Cl)c1,Z1498360948
CNS(=O)(=O)c1cc(C)c(Br)cc1F,Z2358418157
O=S(=O)(CCO)Cc1ccc(Br)cc1,Z2904284340
COC(=O)c1cc(Cl)c(Br)cc1OC,Z3144676530
O=S(=O)(c1ccc(Br)cc1)N1CCC1,Z223268540
CN(C)S(=O)(=O)Cc1ccccc1Br,Z2095745847
CNS(=O)(=O)Cc1ccc(Br)cc1F,Z1080542392
O=S(=O)(CC1CC1)c1cccc(Br)c1,Z1436864060
Brc1nc(Br)n(Cc2ccccc2)n1,Z1313276917
Cc1cc(Br)cc(S(=O)(=O)N(C)C)c1,Z1765590037
CCNS(=O)(=O)c1ccc(C)c(Br)c1,Z1270844476
COC(=O)c1cc(Br)c(Cl)cc1OC,Z1864707118
CN(C)S(=O)(=O)Cc1ccc(Br)cc1,Z274591700
Clc1cc(Br)ccc1OCC1CNC1,Z2438098147
Clc1cc(CNC2COC2)ccc1Br,Z1949250403
Clc1ccc(Br)cc1CNC1COC1,Z2898798429
O=C(O)CNCc1cc(Br)ccc1Cl,Z2041736923
CC(O)CNCc1ccc(Br)c(Cl)c1,Z1856080959
CN(CCN)Cc1ccc(Br)c(Br)c1,Z2354945121
NCCNC(=O)c1cc(Cl)ccc1Br,Z3006069834
O=C(NCCO)c1cc(Cl)ccc1Br,Z352339172
O=C(NC1CC1)c1cc(Cl)ccc1Br,Z321063162
C[C@H](CN)NCc1ccc(Cl)cc1Br,Z2354611717
C[C@@H](CN)NCc1ccc(Cl)cc1Br,Z2354646631
CN(CCO)Cc1ccc(Cl)cc1Br,Z1199312636
CC(CN)NCc1ccc(Cl)cc1Br,Z1947359563
O=C(NC1CC1)c1ccc(Cl)cc1Br,Z1418965104
NCCNC(=O)c1ccc(Cl)cc1Br,Z3300702671
O=C(NCCO)c1ccc(Cl)cc1Br,Z1451236491
C[C@H](CN)NCc1cc(Cl)ccc1Br,Z2354611438
C[C@@H](CN)NCc1cc(Cl)ccc1Br,Z2354646347
CC(CN)NCc1cc(Cl)ccc1Br,Z1947420319
O=C(NC1CC1)c1ccc(Cl)c(Br)c1,Z1505719480
O=C(NCCO)c1cc(Br)cc(Br)c1,Z1583254870
O=C(NCCO)c1ccc(Cl)c(Br)c1,Z1506634429
C[C@H](CN)NCc1cc(Br)cc(Br)c1,Z1947328370
C[C@@H](CN)NCc1cc(Br)cc(Br)c1,Z1947328368
C[C@H](CN)NCc1ccc(Cl)c(Br)c1,Z2354611774
C[C@@H](CN)NCc1ccc(Cl)c(Br)c1,Z2354646683
CN(CCN)Cc1cc(Br)cc(Br)c1,Z1947328318
CN(CCO)Cc1cc(Br)cc(Br)c1,Z2161063152
CC(CN)NCc1cc(Br)cc(Br)c1,Z1947328288
CC(CO)NCc1cc(Br)cc(Br)c1,Z2146530830
CC(CN)NCc1ccc(Cl)c(Br)c1,Z1947387855
C[C@H](CN)NCc1cc(Cl)cc(Br)c1,Z1947241924
C[C@H](CN)NCc1ccc(Br)cc1Br,Z3635133724
C[C@@H](CN)NCc1cc(Cl)cc(Br)c1,Z1947241921
C[C@@H](CN)NCc1ccc(Br)cc1Br,Z3635134022
O=C(NC1CC1)c1cc(Cl)cc(Br)c1,Z1481271908
CN(CCN)Cc1cc(Cl)cc(Br)c1,Z3498317711
CN(CCN)Cc1ccc(Br)cc1Br,Z3363850879
CN(CCO)Cc1cc(Cl)cc(Br)c1,Z2311635828
CN(CCO)Cc1ccc(Br)cc1Br,Z3308146903
NCCNC(=O)c1cc(Cl)cc(Br)c1,Z3909576173
CC(CN)NCc1cc(Cl)cc(Br)c1,Z1947241801
