SMILES,ID
C=C(Br)CNc1ccc(C(=O)NC)nn1,Z1316687793
C=C(Br)CNc1ccc(C(=O)OC)nn1,Z873034532
C=C(Br)CNc1ccc(C(F)(F)F)nn1,Z1558716701
C=C(Br)CNC(=O)c1cc(C)nnc1C,Z1559122795
N#Cc1ccc(NCc2[nH]ncc2Br)nn1,Z1558806907
N#Cc1ccc(NCc2csc(Br)c2)nn1,Z1558671020
N#Cc1ccc(NCc2ccc(Br)s2)nn1,Z1558647571
N#Cc1ccc(NCc2ccc(Br)o2)nn1,Z1778955041
N#Cc1ccc(NCc2cc(Br)cs2)nn1,Z1558683283
N#Cc1ccc(NCc2sccc2Br)nn1,Z1558738623
N#Cc1ccc(NCc2cc(Br)c[nH]2)nn1,Z1558877770
C=C(Br)CNc1ccc(-n2ccnc2)nn1,Z926905084
N#Cc1ccc(NCc2ccsc2Br)nn1,Z2010697250
Cn1nnc(Br)c1C(=O)Nc1cccnn1,Z2190598614
