SMILES,ID
CCCC1CN(C(=O)COC(C)C)CCN1C(=O)c1cccnn1,PV-003880724913
Cc1ccc(CC(=O)NC2(CNC(=O)C3(O)CC(C)(C)C3)CCC2)nn1,PV-003343688571
Cc1ncccc1CC(=O)NCC1(C)CCN(C(=O)c2ccnnc2)C1,PV-001693247051
CC(=O)c1cc(C(=O)Nc2nc3c(s2)CCC3=O)nnc1C,PV-008991316328
CC(C(=O)N[C@H]1C[C@H]1NC(=O)c1cnnc(C#N)c1)C1CC1,"""""""|&1:5"""
Cc1nnccc1C(=O)NC1CC(C)(CNC(=O)C2CC2(F)F)C1,PV-003480965510
Cc1nnc(CO)cc1C(=O)NC[C@H](C)NC(=O)C1CCCC1(C)C,PV-002950062004
Cc1ccc(CC(=O)N2C[C@@H](O)C[C@H](NC(=O)[C@@H]3C[C@H]3C3CC3)C2)nn1,"""""""|&1:17"""
CC(C)(C(=O)NCC[C@@H]1CCN(C(=O)c2cccnn2)C1)C1CC1,PV-003341575914
CCc1nnc2ccccc2c1CC(=O)N[C@H]1CC[C@@H](C(=O)NC)CC1,Z6094173210
CCN(CC)CC(=O)N1CC2CCC(NC(=O)c3ccnnc3C)(C2)C1,PV-003389970300
COC(=O)N(C)CCCN(C)C(=O)[C@@H]1C[C@H]1c1ccc(C)nn1,"""""""|&1:13"""
CC(C)(O)CC(=O)NC[C@H]1CC[C@H]1NC(=O)c1cc2nnccc2[nH]1,"""""""|&1:9"""
CC[C@@H]1C[C@H]1C(=O)N1C[C@H]2[C@@H](NC(=O)c3c(C)cnnc3C)CO[C@H]2C1,"""""""|&1:2"""
CC(CC(=O)N1C[C@H](CNC(=O)c2cccnn2)[C@H](O)C1)C(C)(C)C,"""""""|&1:7"""
CCc1nc(C(=O)NCC(C)NC(=O)c2c(C)cnnc2C)cs1,PV-002998389529
CCC(C)(C)OCC(=O)N1CCCC2(C1)CN(C(=O)c1cccnn1)C2,PV-002907085190
O=C(Cc1cccnn1)N1C[C@@H]2CN(C(=O)CC3OCCO3)C[C@@H]2C1,PV-002755770079
CC(C)C(O)C(C)(C)C(=O)NCC(CO)Cc1cccnn1,Z5621110958
Cc1cc(C(=O)N2CC(NC(=O)[C@@H](C)N(C)C)CC3(CC3)C2)cnn1,PV-002764951122
C[C@H]1C(C(=O)NCC2(O)CCN(C(=O)c3cc4nnccc4[nH]3)C2)[C@@H]1C,"""""""|&1:1"""
CCN(C(=O)COC)C1CCN(C(=O)Cc2cnnc3ccccc23)C1,PV-001516878327
CC1CN(C(=O)CCF)CC1NC(=O)c1nncc2c1CCOC2,PV-002828585923
O=C(NC12CCC(O)(CC1)CC2)c1cnnc(C(F)(F)F)c1,Z4492756263
Cc1nnc(C)c(C(=O)NCC2CN(C(=O)C3(F)CCC3)C2)c1C,PV-002816952369
Cc1ccc(C(=O)NC[C@H](C)NC(=O)C2(c3ccccc3O)CC2)nn1,PV-009828752248
Cc1ccc(C2CN(C(=O)C3(CO)COC3)CCO2)nn1,Z6001158318
