SMILES,ID
C[C@@H](NC(=O)c1cc[nH]c1)C1CCN(C(=O)c2ccns2)CC1,PV-000267465353
C[C@@H](NC(=O)c1ccc[nH]1)C1CCN(C(=O)c2ccns2)CC1,PV-000267465353
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2[nH]ccc2O)C1,PV-007072107110
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2cc[nH]c2O)C1,PV-007072107110
Nc1c[nH]c(C(=O)NCC2(NC(=O)CC3CCCOCC3)CC2)c1,PV-009018982551
Nc1cc(C(=O)NCC2(NC(=O)CC3CCCOCC3)CC2)c[nH]1,PV-009018982551
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1cc[nH]c1O,"""""""|&1:2"""
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1[nH]ccc1O,"""""""|&1:2"""
Cc1c[nH]c(NC(=O)c2cnc3n(c2=O)CCS3)c1,Z4033144818
Cc1cc(NC(=O)c2cnc3n(c2=O)CCS3)c[nH]1,Z4033144818
O=C(NCC12CCC(F)(CO1)C2)Nc1cc[nH]c1O,Z7697665403
O=C(NCC12CCC(F)(CO1)C2)Nc1[nH]ccc1O,Z7697665403
CC(C)(CNc1c[nH]cc1-n1cncn1)CN1CCCC1,Z1840496316
CC(C)(CNc1ccc(-n2cncn2)[nH]1)CN1CCCC1,Z1840496316
CC1CC(CN)CC(C)N1C(=O)c1cccc2[nH]ccc12,Z3134078277
CC1CC(CN)CC(C)N1C(=O)c1cccc2cc[nH]c12,Z3134078277
COCCN1CCCC12CN(C(=O)Nc1ncc3[nH]ccc3n1)C2,Z7764874621
COCCN1CCCC12CN(C(=O)Nc1ncc3cc[nH]c3n1)C2,Z7764874621
CCCCC(=O)NC1CCN(C(=O)c2cc(OC(C)C)c[nH]2)CC1,Z1651227911
CCCCC(=O)NC1CCN(C(=O)c2c[nH]c(OC(C)C)c2)CC1,Z1651227911
