SMILES,ID
CC1(C)CCCCN1C(=O)Cc1cccnc1C(F)(F)F,Z4173182054
O=C(NC1CC(CF)C1)c1ccnc(C(=O)NC2CC(CF)C2)c1,Z5581354107
Cc1ccc(C(=O)NC[C@H](CO)NC(=O)c2cc(O)ccn2)c(C)c1,PV-003744232587
Cc1ccnc(C)c1,Z1142087097
Cc1ncccc1-c1noc(CCNC(=O)CC(C)C)n1,Z2879457051
Cc1cccnc1,Z5388830667
COC(c1ccc(Cl)cc1)C(C)NC(=O)c1cc(C(=O)O)ccn1,PV-002756737639
COc1ncc(C)cc1NC(=O)Nc1cccnc1C,PV-009431587561
CC1=C(C(=O)N(C)C[C@H](C)NC(=O)c2ccnc(C3CC3)c2)CCO1,PV-005390903140
O=C(NC[C@@H]1CCO[C@H]1c1ccncc1)N1CC(CO)C1,"""""""|&1:6"""
Cc1nc(S(=O)(=O)NCCC(=O)OCc2ccncc2)cn1C,Z1482025416
O=C(N[C@@H](CO)c1ccccc1)c1cnccc1C1CCC1,Z5623015698
Clc1cccnc1N1CCC(NCc2ccncc2)C1,Z1949729604
CO[C@@H]1C[C@H]1C(=O)N[C@H]1CN(C(=O)c2ccnc(C)c2Cl)C[C@H]1C,"""""""|&1:2"""
O=C(Cc1cccnc1)NCC1(NC(=O)C2COCCO2)CC1,PV-002780658542
Cc1cccc(CC(NC(=O)c2c(C)ccnc2C)C2CCCO2)c1,Z4353160384
CO[C@@H]1C[C@H](CS(C)(=O)=O)N(C(=O)C(C)Cc2cccnc2)C1,Z5052995201
COC(=O)CC[C@@H](C)NC(=O)c1ccc2ccnc(C)c2c1,Z5496081385
CC(C)(C(=O)N1CCCC2(CC1)CNC(=O)O2)c1ccccn1,Z6120998947
COc1ccnc(C(=O)N[C@H]2C[C@H]2NC(=O)C(C)(O)C(C)C)c1,"""""""|&1:8"""
N#CC1CS(=O)(=NC(=O)c2ccc3ccncc3c2)C1,Z5441239788
CN(C(=O)c1ccc[nH]1)[C@H]1CCCN(C(=O)c2ccncc2)C1,PV-003691274578
O=C(N[C@H]1C[C@H](NC(=O)C(F)(F)c2cccnc2)C1)c1cccnc1,PV-002835619698
Cc1cccc(C)c1C1(C(=O)Nc2cccnc2)CC1,Z6431429212
CCCC(C)C(=O)N[C@H]1CCN(C(=O)c2cccnc2O)[C@@H]1CC,"""""""|&1:8"""
CCn1cnnc1CNS(=O)(=O)c1cccnc1C,Z2095992679
COC(COc1ccccc1)C(=O)N1CC(Oc2cccnc2)C1,Z5457916493
CCC(F)(F)C(C)(C)C(=O)N1C[C@@H](C)[C@@H](NC(=O)c2ccccn2)C1,"""""""|&1:12"""
Cc1ccnc(C(=O)N2CC(CNC(=O)c3csc(C)c3)C2)c1,PV-003005027140
CCC(CN(C)C(=O)c1c(C)ccn1C)NC(=O)c1cnccc1N,PV-008659978185
Cc1cccnc1C(=O)N1CCN(C(=O)C2COCCO2)[C@@H](C)C1,PV-002746321431
Cc1ccnc(C)c1CC(=O)N1CCC2CC1CN(C(=O)[C@@H]1C[C@@H]1F)C2,PV-003174902726
N#CC1(CNC(=O)CNC[C@@H]2CCO[C@H]2c2cccnc2)CC1,"""""""|&1:4"""
O=C(O)c1cccnc1NC(=O)C(F)(F)c1c(F)cccc1F,PV-008161552001
C[C@@H](NC(=O)[C@H]1CC1(C)C)[C@@H](CO)NC(=O)c1ccc2ccncc2n1,PV-003902851124
NC(=O)N1CC(C(=O)N2C3CCC2c2cnccc2C3)C1,Z4100543671
CC(C)c1ncccc1CN1CCC(N2CCNCC2)C1,Z2445109810
Cc1ccnc(C)c1S(=O)(=O)N1C[C@H](O)C[C@@H]1C(=O)O,Z1739123843
CN1C(=O)C[C@H](Nc2ccc(C#N)cc2F)[C@H]1c1ccncc1,"""""""|&1:5"""
O=C(NCc1ccccn1)[C@@H]1COC[C@H]1C(F)F,"""""""|&1:13"""
CCc1ccncc1C(=O)NC[C@@H](C)NC(=O)C12CCC(CC1)OC2,PV-003869700002
O=C(NC[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H]2C[C@@H]2C1)c1ccnc(F)c1,PV-003677567089
CCC(C)C(=O)N[C@]12CO[C@H](C1)[C@H](NC(=O)Cc1ccccn1)C2,"""""""|&1:7"""
c1ccc(C2CC2)nc1,PV-005079367035
CSCC(=O)N1CCCC(CCNC(=O)c2ccccn2)C1,PV-001535046421
CCC(=O)NC1CCN(C(=O)c2ccnc(C)c2)C(C)C1,PV-002848184300
Cc1ccc(C(O)CCN(C)C(=O)c2cc(N)ccn2)s1,Z3799567538
CC(C)=C(F)CNc1nc(N)c2cnccc2n1,Z4234252660
CC(C)(C(=O)N1CC(NC(=O)C2CCc3cnccc3C2)C1)C1CCC1,PV-000491737892
CC(C)C(=O)NC(C)(C)C(C)NC(=O)c1ccc2ccncc2c1F,PV-010098592694
Cc1ncccc1CC(=O)N1C[C@@H]2[C@H](C1)[C@H]2NC(=O)[C@@H](O)CC1CC1,PV-008958964725
O=C1CC(C(=O)N[C@@H]2CC[C@H]2NC(=O)c2ccncc2Cl)CCN1,"""""""|&1:7"""
Cc1ccnc(C)c1C(=O)NC1CC(NC(=O)C(C)C#N)C1,PV-010064147741
CC(O)C(=O)N[C@@H]1CN(C(=O)c2cccnc2C(C)(C)C)C[C@@H]1O,"""""""|&1:6"""
Cn1ccnc1C1(F)CN(C(=O)C2CCc3cccnc3C2)C1,Z4129835806
Cc1ncccc1C(=O)N[C@@H]1CCC[C@@H]1n1cnnc1,"""""""|&1:13"""
CC(C)NC(=O)CNC(=O)Nc1ccnc(Cc2ccccc2)c1,Z3844790322
CC1CCC(NC(=O)c2cc(F)ccn2)CN1C(=O)c1cocn1,PV-002728277591
C[C@@H](CN(C)C(=O)c1cc(-c2ccncc2)ccn1)NC(=O)C1(C)CC1,PV-004899341289
Cc1conc1C1CN(Cc2ccncc2C2CCC2)C1,Z3653332319
C[C@@H]1CC[C@H](C(=O)N[C@@H](C)CCNC(=O)c2ccc3ccncc3c2)O1,"""""""|&1:1"""
COC[C@@H]1C[C@H](OC)CN1C(=O)Nc1nccc2cnccc12,PV-009476577742
Cc1ccnc(C(=O)N2CCC3(CNC(=O)OC3)C2)c1,Z6095825069
O=C(NC1CN(C(=O)CCc2cncs2)C1)c1ncccc1F,PV-000495438100
Cc1cc(C(=O)N2CC(NC(=O)c3ccncc3)C3CC32)ccn1,PV-003234697357
Cc1nccc(C(F)F)c1C(=O)N[C@@H](CC1CC1)C(=O)O,Z4578681113
Cc1ccnc(C)c1NC(=O)C(C)CNC(=O)C1CC12CCCCC2,Z5869751322
CC(C)(C)OCC(=O)N1C[C@H](F)[C@H](NC(=O)c2cccnc2)C1,PV-006437373548
O=C(Nc1ccncc1)c1cnn2c1CNCC2,Z3019695422
[CH2]CNCc1ccncc1C(=O)Nc1ccnn1CCC,Z3019695422
C[C@@H]1C[C@H]1C(=O)N1CCN(C(=O)[C@@H]2CNC(=O)C2)CC1c1cccnc1,PV-003123641861
CC(=O)N1CCC([C@@H]2C[C@H]2NC(=O)c2ccnc(C)c2Cl)CC1,"""""""|&1:7"""
CCOC(=O)c1ncccc1CNC(=O)C1COCCOC1,PV-006869762970
C[C@@H]1C[C@@]1(F)C(=O)N[C@@H]1CCCN(C(=O)c2ccncc2)C1,"""""""|&1:18"""
CC(=O)N1CC[C@H](NC(=O)c2c(C)ccnc2C)C1,PV-000505099549
O=C(N[C@@H]1CCC[C@@H](O)[C@H]1O)c1cc(-c2ccc(F)cc2)ccn1,"""""""|&1:3"""
Cc1ncccc1C(=O)N(C)CCN(C)C(=O)C1(F)CCOC1,PV-001589535198
Cc1noc(CCC(=O)N2C[C@@H]3C[C@H]2CN3C(=O)c2ccnc(F)c2)n1,PV-003656937501
COC1(C(=O)N[C@H](C)CN(C)C(=O)c2c(Cl)ccnc2C)CCC1,PV-006214233238
CC(C)(F)C(=O)NCC1CCCN1C(=O)C(F)(F)c1cccnc1,PV-002992264243
CCN1OCC(N2CCC(c3cccnc3C)CC2)C1=O,Z2600701757
CN(Cc1ccccn1)C(=O)NC1CCN(c2ncccc2Cl)C1,Z1408552075
CC1CCCN1CC(=O)NC1(CNC(=O)c2cnccc2F)CCC1,PV-003453467015
CCC(C)C(C)NC(=O)N1CCC(NC(=O)c2cccnc2)CC1,Z819986880
OCCc1ccc(CNC2CCOC(c3cccnc3)C2)cc1,Z3360806303
CCCC(=O)N1CCN(C)C(CNC(=O)c2c(C(C)C)ccnc2C)C1,PV-003527403608
CCC1(C#N)CCN(C(=O)c2c(C(F)(F)F)ccnc2C)CC1,Z5705377681
N#CC1(CC(=O)N2CCN(C(=O)c3cccnc3)CC2)CCC1,PV-003420012175
Cc1nccc(N)c1C(=O)N1CCCN(C(=O)c2ccn(C)c2)[C@H](C)C1,PV-009018097225
CC1(C(=O)N2CCN(C(=O)c3ccccn3)C(C3CCCC3)C2)CC1,PV-007422090674
CSCCC(=O)NC1CN(C(=O)c2nccc3ccncc23)C1,PV-003845693143
O=C(NC1(CNC(=O)c2ccccn2)CCOC1)c1ccncc1,PV-003245345575
CC(C)c1ncccc1S(=O)(=O)N1CCN(C2CCCCC2)CC1,Z3468497322
Cc1ccncc1NC(=O)C[C@@H]1CCNC[C@@H]1C1CC1,PV-007520569039
COC(=O)C(CNC(=O)c1ccnc2c1CCC2(C)C)CC(C)C,PV-006762902726
N#Cc1cccnc1,Z2438522882
O=C(Nc1ccc(Oc2cccnc2)cc1)NC(CO)CO,PV-003024131080
COCc1ccncc1C(=O)N(C)CC1(NC(C)=O)CC1,PV-010086496899
CC[C@@H]1[C@@H](NC(=O)c2c(C)ccnc2C)CCN1C(=O)c1conc1C,"""""""|&1:2"""
CCC(O)C(=O)NCC12CCC(CC1)N2C(=O)c1nccc(C)c1C,PV-009290126061
Cc1ccnc(C(=O)N[C@@H](C)CNC(=O)C2(c3ccnn3C)CC2)c1,PV-003237717540
Cc1cc(C(=O)N[C@@H](C)CNC(=O)C2(c3ccncc3)CC2)nn1C,PV-003237717540
O=C(N[C@H]1C[C@H]2CC[C@@H]1N2C(=O)Cc1ccccn1)c1cocn1,"""""""|&1:10"""
Cc1ccncc1C(=O)N1CCC(N(C)C(=O)[C@H]2[C@@H]3CCCC[C@@H]32)CC1,PV-002939843993
c1ccncc1,"""""""|&1:11"""
C[C@]1(CNC(=O)CSc2cn[nH]c2)CCCN1C(=O)c1ccccn1,PV-009290054291
C[C@]1(CNC(=O)CSc2cccnc2)CCCN1C(=O)c1cc[nH]n1,PV-009290054291
CN(C(=O)Cc1ccc2cnccc2c1)C1CCC(F)(F)C1,Z3633606290
COCC1(C(=O)NC(C)Cc2c(C)ccnc2C)CCOC1,Z3049185665
CN1CC(C)(C(=O)N(C)CCN(C)C(=O)c2ccccn2)CCC1=O,PV-003058928693
CC(C)(O)CN1CC[C@@H](NC(=O)Nc2ccnc(C3CC3)c2)C1,PV-009875610534
CCc1[nH]nnc1C(=O)N[C@]1(C)CCN(C(=O)c2ccncc2)C1,PV-009379544194
Cc1cccnc1C(=O)N1CCCN(C(=O)[C@@H]2C[C@H]3CC[C@@H]2O3)[C@H](C)C1,"""""""|&1:15"""
CCNC(=O)c1ccc(CN2CCC[C@@H]2Cc2ccncc2)cc1,Z6043882775
