SMILES,ID
CC(C)(O)c1cn[nH]c1NC(=O)COCC1CCC1,Z3944024883
CCN(CC(C)(C)O)C(=O)C1CCCN(c2ccn[nH]2)C1,Z1325537399
COCC(=O)N1C[C@H](C)C[C@@H](NC(=O)c2n[nH]c(Cl)c2C)C1,"""""""|&1:7"""
Cc1cc2c(s1)CCN(C(=O)NCc1[nH]ncc1C(N)=O)C2,Z5428128454
CNc1cnncc1C(=O)NCCc1cc(C)n[nH]1,Z7585392882
CCn1cccc1C(=O)N1CC[C@@H](NC(=O)CCc2cc[nH]n2)C1,PV-001513269379
CC(=O)c1cc(C(=O)Nc2[nH]nc3c2CCC3=O)oc1C,PV-008991316328
Cc1cc(C(=O)N2CC(F)(CNC(=O)Cc3cnoc3)C2)n[nH]1,PV-003311014607
CCOCc1cc(C(=O)NC(C(=O)NC)C(C)C)n[nH]1,Z3193478917
CCc1cc(CC(=O)N2CC(NC(=O)CSC)CC2C)n[nH]1,PV-001125695277
CCN(Cc1cc(CC(=O)OC(C)C)[nH]n1)C1CNC1,Z7489408994
CC(C)(O)c1cc(NC(=O)CC2CNCC23CC3)[nH]n1,PV-007577862902
CCC1CCCN1C(=O)Nc1[nH]nc2c1C(=O)NCCC2,PV-009314620039
CCOC(=O)c1ccc2n[nH]c(NC(=O)C3OCC3(C)C)c2c1,PV-009882210984
Cc1[nH]nc(C(=O)N2CC3CC2CN(C(=O)CC(F)F)C3)c1C,PV-003760156411
CCc1cc(C(=O)NCC(C)NC(=O)c2c(C)coc2C)n[nH]1,PV-002998389529
CN1C[C@@H](CC(=O)N[C@@H]2CC[C@H]2NC(=O)c2cn[nH]c2)[C@H](O)C1,"""""""|&1:3"""
CCc1cc(C(=O)N(C)[C@@H]2CCCN(C(=O)C(O)CC)C2)n[nH]1,PV-009747628958
COCC(=O)N1CC(NC(=O)c2cn[nH]c2-c2cccs2)C1,PV-003483000061
CC(C)(C(=O)N1CC(NC(=O)[C@H]2CC2(C)C)C1)c1cn[nH]c1,PV-009951235512
O=C(NC1CN(C(=O)CCc2cn[nH]c2)C1)c1n[nH]cc1F,PV-000495438100
CCOC(=O)c1c(C)n[nH]c1CNC(=O)[C@@H]1C[C@H]1COC,"""""""|&1:14"""
C[C@@H](CCNC(=O)c1cn[nH]c1Cl)NC(=O)C12CC(C1)C2,PV-002953230661
Cc1[nH]nc2ccc(C(=O)NCC3(N)CC(F)(F)C3)cc12,Z7306652619
