SMILES,ID
CCCC1CN(C(=O)COC(C)C)CCN1C(=O)c1cnco1,furan2oxazole_0000000001
CCCC1CN(C(=O)COC(C)C)CCN1C(=O)c1ncco1,furan2oxazole_0000000002
Cc1cnc(CC(=O)NC2(CNC(=O)C3(O)CC(C)(C)C3)CCC2)o1,furan2oxazole_0000000003
Cc1ncc(CC(=O)NC2(CNC(=O)C3(O)CC(C)(C)C3)CCC2)o1,furan2oxazole_0000000004
Cc1ncccc1CC(=O)NCC1(C)CCN(C(=O)c2cocn2)C1,furan2oxazole_0000000005
c1cocn1,furan2oxazole_0000000006
CC(=O)c1nc(C(=O)Nc2nc3c(s2)CCC3=O)oc1C,furan2oxazole_0000000007
Cc1ncc(C(=O)Nc2nc3c(s2)CCC3=O)o1,furan2oxazole_0000000008
CC(C(=O)N[C@H]1C[C@H]1NC(=O)c1coc(C#N)n1)C1CC1,furan2oxazole_0000000009
N#Cc1cnco1,furan2oxazole_0000000010
Cc1ocnc1C(=O)NC1CC(C)(CNC(=O)C2CC2(F)F)C1,furan2oxazole_0000000011
Cc1ncco1,furan2oxazole_0000000012
Cc1oc(CO)nc1C(=O)NC[C@H](C)NC(=O)C1CCCC1(C)C,furan2oxazole_0000000013
Cc1ncc(CO)o1,furan2oxazole_0000000014
Cc1ncc(CC(=O)N2C[C@@H](O)C[C@H](NC(=O)[C@@H]3C[C@H]3C3CC3)C2)o1,furan2oxazole_0000000015
Cc1cnc(CC(=O)N2C[C@@H](O)C[C@H](NC(=O)[C@@H]3C[C@H]3C3CC3)C2)o1,furan2oxazole_0000000016
CC(C)(C(=O)NCC[C@@H]1CCN(C(=O)c2cnco2)C1)C1CC1,furan2oxazole_0000000017
CC(C)(C(=O)NCC[C@@H]1CCN(C(=O)c2ncco2)C1)C1CC1,furan2oxazole_0000000018
CCc1nc2ccccc2o1,furan2oxazole_0000000019
CCN(CC)CC(=O)N1CC2CCC(NC(=O)c3ncoc3C)(C2)C1,furan2oxazole_0000000020
COC(=O)N(C)CCCN(C)C(=O)[C@@H]1C[C@H]1c1cnc(C)o1,furan2oxazole_0000000021
COC(=O)N(C)CCCN(C)C(=O)[C@@H]1C[C@H]1c1ncc(C)o1,furan2oxazole_0000000022
CC(C)(O)CC(=O)NC[C@H]1CC[C@H]1NC(=O)c1cc2ocnc2[nH]1,furan2oxazole_0000000023
Cc1coc(C)n1,furan2oxazole_0000000024
CC[C@@H]1C[C@H]1C(=O)N1C[C@H]2[C@@H](NC(=O)c3ncoc3C)CO[C@H]2C1,furan2oxazole_0000000025
CC(CC(=O)N1C[C@H](CNC(=O)c2cnco2)[C@H](O)C1)C(C)(C)C,furan2oxazole_0000000026
CC(CC(=O)N1C[C@H](CNC(=O)c2ncco2)[C@H](O)C1)C(C)(C)C,furan2oxazole_0000000027
CCc1nc(C(=O)NCC(C)NC(=O)c2ncoc2C)cs1,furan2oxazole_0000000028
CCC(C)(C)OCC(=O)N1CCCC2(C1)CN(C(=O)c1cnco1)C2,furan2oxazole_0000000029
CCC(C)(C)OCC(=O)N1CCCC2(C1)CN(C(=O)c1ncco1)C2,furan2oxazole_0000000030
O=C(Cc1cnco1)N1C[C@@H]2CN(C(=O)CC3OCCO3)C[C@@H]2C1,furan2oxazole_0000000031
O=C(Cc1ncco1)N1C[C@@H]2CN(C(=O)CC3OCCO3)C[C@@H]2C1,furan2oxazole_0000000032
CC(C)C(O)C(C)(C)C(=O)NCC(CO)Cc1cnco1,furan2oxazole_0000000033
CC(C)C(O)C(C)(C)C(=O)NCC(CO)Cc1ncco1,furan2oxazole_0000000034
Cc1nc(C(=O)N2CC(NC(=O)[C@@H](C)N(C)C)CC3(CC3)C2)co1,furan2oxazole_0000000035
Cc1cnco1,furan2oxazole_0000000036
C[C@H]1C(C(=O)NCC2(O)CCN(C(=O)c3cc4ocnc4[nH]3)C2)[C@@H]1C,furan2oxazole_0000000037
c1ccc2ocnc2c1,furan2oxazole_0000000038
[CH2]OCCc1ncoc1C(=O)NC1CN(C(=O)CCF)CC1C,furan2oxazole_0000000039
[CH2]COCc1coc(C(=O)NC2CN(C(=O)CCF)CC2C)n1,furan2oxazole_0000000040
FC(F)(F)c1cnco1,furan2oxazole_0000000041
O=C(NC12CCC(O)(CC1)CC2)c1coc(C(F)(F)F)n1,furan2oxazole_0000000042
Cc1nc(C)c(C)o1,furan2oxazole_0000000043
Cc1nc(C(=O)NCC2CN(C(=O)C3(F)CCC3)C2)c(C)o1,furan2oxazole_0000000044
Cc1ncc(C(=O)NC[C@H](C)NC(=O)C2(c3ccccc3O)CC2)o1,furan2oxazole_0000000045
Cc1cnc(C(=O)NC[C@H](C)NC(=O)C2(c3ccccc3O)CC2)o1,furan2oxazole_0000000046
Cc1ncc(C2CN(C(=O)C3(CO)COC3)CCO2)o1,furan2oxazole_0000000047
Cc1cnc(C2CN(C(=O)C3(CO)COC3)CCO2)o1,furan2oxazole_0000000048
O=C(NCC1(F)CN(C(=O)C2OCCO2)C1)c1ncco1,furan2oxazole_0000000049
Cc1ncoc1C(=O)NCC1(F)CN(C(=O)C2OCCO2)C1,furan2oxazole_0000000050
CC(CNC(=O)C[C@H](C)O)NC(=O)c1ncoc1C(C)(C)C,furan2oxazole_0000000051
Cc1coc(C(C)(C)C)n1,furan2oxazole_0000000052
CC(Cc1cocn1)NC(=O)NCc1ccc(C#N)cc1,furan2oxazole_0000000053
O=C(N[C@H]1C[C@@H](C(=O)O)[C@@H]2C[C@@H]21)c1nc2cc(Cl)ccc2o1,furan2oxazole_0000000054
CSc1ncc(C(=O)NC2(CNC(=O)[C@H]3C[C@@H](F)C3)CC2)o1,furan2oxazole_0000000055
CSc1cnc(C(=O)NC2(CNC(=O)[C@H]3C[C@@H](F)C3)CC2)o1,furan2oxazole_0000000056
Cc1cc(C(=O)N2CC(C)C(NC(=O)c3cnco3)C2)cc(=O)n1C,furan2oxazole_0000000057
Cc1cc(C(=O)N2CC(C)C(NC(=O)c3ncco3)C2)cc(=O)n1C,furan2oxazole_0000000058
Cc1ocnc1C(=O)N1CCN(C(=O)[C@H]2CCN(C)C2)CC12CCC2,furan2oxazole_0000000059
CCc1cnc(C)o1,furan2oxazole_0000000060
CCc1nc(C(=O)N2[C@H](C)[C@H]3C[C@@H]2[C@H]3NC(=O)CN(C)C)c(C)o1,furan2oxazole_0000000061
CN(Cc1cnco1)S(=O)(=O)c1ccc(CC(=O)O)cc1,furan2oxazole_0000000062
CN(Cc1ncco1)S(=O)(=O)c1ccc(CC(=O)O)cc1,furan2oxazole_0000000063
[CH2]OCc1nc(C(=O)Nc2ccc(S(C)(=O)=O)c(F)c2)co1,furan2oxazole_0000000064
c1nc2c(o1)COC2,furan2oxazole_0000000065
COC(=O)c1ncco1,furan2oxazole_0000000066
COC(=O)c1ocnc1-c1ccc2c(c1)C(=O)CCO2,furan2oxazole_0000000067
O=C(N[C@H]1CCC[C@H]1NC(=O)c1cnc2n1CCCN2)c1ncco1,furan2oxazole_0000000068
O=C(N[C@H]1CCC[C@H]1NC(=O)c1cnc2n1CCCN2)c1cnco1,furan2oxazole_0000000069
CN(C(=O)c1cocn1)[C@@H]1C[C@H]2C[C@@H]1N(C(=O)C[C@H]1CCOC1)C2,furan2oxazole_0000000070
Cc1cocn1,furan2oxazole_0000000071
Cc1ncc(Br)o1,furan2oxazole_0000000072
CO[C@@H]1C[C@@H]2[C@H]1CCN2C(=O)c1nc(Br)oc1C,furan2oxazole_0000000073
Cc1nc(CO)oc1C(=O)N1CCC[C@H]1CNC(=O)C1(F)CC1,furan2oxazole_0000000074
O=C(c1ncc(CO)o1)N1CCC[C@H]1CNC(=O)C1(F)CC1,furan2oxazole_0000000075
C[C@@H](C(=O)N[C@H]1CCCN(C(=O)c2coc(C(N)=O)n2)C1)C(C)(C)C,furan2oxazole_0000000076
NC(=O)c1cnco1,furan2oxazole_0000000077
Cc1nc(C(=O)NC[C@@H]2C[C@H]2NC(=O)CC(C)(C)C#N)c(C)o1,furan2oxazole_0000000078
Cc1cnc(C)o1,furan2oxazole_0000000079
CCCOC1CCCN(C(=O)c2ccc3ocnc3n2)C1,furan2oxazole_0000000080
Cc1oc(-c2cnco2)nc1CC(=O)N(C)C(C)CC#N,furan2oxazole_0000000081
Cc1oc(-c2ncco2)nc1CC(=O)N(C)C(C)CC#N,furan2oxazole_0000000082
Cc1ccc2ocnc2c1,furan2oxazole_0000000083
CC1(C)C(NC(=O)c2cocn2)CCN1C(=O)[C@@H]1C[C@@H]1C(F)F,furan2oxazole_0000000084
Cc1nc(C)c(C(=O)N2CC(N(C)C(=O)C3CC34CCOC4)C2)o1,furan2oxazole_0000000085
Cc1cnc(C(=O)N2CC(N(C)C(=O)C3CC34CCOC4)C2)o1,furan2oxazole_0000000086
CC1CN(C)CC(C(=O)NC2CN(C(=O)c3cocn3)C2)O1,furan2oxazole_0000000087
CCOC(=O)[C@]1(C(C)C)C[C@@H]1C(=O)N1CCOCC1c1cnc(C)o1,furan2oxazole_0000000088
CCOC(=O)[C@]1(C(C)C)C[C@@H]1C(=O)N1CCOCC1c1ncc(C)o1,furan2oxazole_0000000089
CC(Cc1ncco1)C(=O)NCCC1(C(=O)O)CCC1,furan2oxazole_0000000090
CC(Cc1cnco1)C(=O)NCCC1(C(=O)O)CCC1,furan2oxazole_0000000091
O=C(NCC1CCCCN1C(=O)C1OCCO1)c1ncoc1C1CC1,furan2oxazole_0000000092
c1coc(C2CC2)n1,furan2oxazole_0000000093
C[C@@H](CNC(=O)C1CC1)NC(=O)c1c(F)ccc2ocnc12,furan2oxazole_0000000094
Cn1cncc1[C@@H]1C[C@H]1NC(=O)C1CCCCN1C(=O)c1cnco1,furan2oxazole_0000000095
Cn1cncc1[C@@H]1C[C@H]1NC(=O)C1CCCCN1C(=O)c1ncco1,furan2oxazole_0000000096
Cc1oc(C#N)nc1C(=O)O[C@H]1C[C@@H](N2CCCC2)C1,furan2oxazole_0000000097
Cc1ncc(C#N)o1,furan2oxazole_0000000098
COc1cccc(CCNC(=O)CNC(C)Cc2cnco2)c1,furan2oxazole_0000000099
COc1cccc(CCNC(=O)CNC(C)Cc2ncco2)c1,furan2oxazole_0000000100
Cc1nc(C(=O)CN2CCOC(c3cnn(C)c3)C2)co1,furan2oxazole_0000000101
CCc1ncoc1C(=O)N[C@H]1C[C@@H](NC(=O)[C@@H]2C[C@@H]3CC[C@H]2C3)C1,furan2oxazole_0000000102
