SMILES,ID
CCCC1CN(C(=O)COC(C)C)CCN1C(=O)c1cnccn1,furan2pyrazine_0000000001
Cc1cncc(CC(=O)NC2(CNC(=O)C3(O)CC(C)(C)C3)CCC2)n1,furan2pyrazine_0000000002
Cc1ncccc1CC(=O)NCC1(C)CCN(C(=O)c2cnccn2)C1,furan2pyrazine_0000000003
CC(=O)c1ncc(C(=O)Nc2nc3c(s2)CCC3=O)nc1C,furan2pyrazine_0000000004
CC(C(=O)N[C@H]1C[C@H]1NC(=O)c1cnc(C#N)cn1)C1CC1,furan2pyrazine_0000000005
Cc1nccnc1C(=O)NC1CC(C)(CNC(=O)C2CC2(F)F)C1,furan2pyrazine_0000000006
Cc1nc(CO)cnc1C(=O)NC[C@H](C)NC(=O)C1CCCC1(C)C,furan2pyrazine_0000000007
Cc1cncc(CC(=O)N2C[C@@H](O)C[C@H](NC(=O)[C@@H]3C[C@H]3C3CC3)C2)n1,furan2pyrazine_0000000008
CC(C)(C(=O)NCC[C@@H]1CCN(C(=O)c2cnccn2)C1)C1CC1,furan2pyrazine_0000000009
CCc1nc2ccccc2nc1CC(=O)N[C@H]1CC[C@@H](C(=O)NC)CC1,furan2pyrazine_0000000010
CCN(CC)CC(=O)N1CC2CCC(NC(=O)c3nccnc3C)(C2)C1,furan2pyrazine_0000000011
COC(=O)N(C)CCCN(C)C(=O)[C@@H]1C[C@H]1c1cncc(C)n1,furan2pyrazine_0000000012
CC(C)(O)CC(=O)NC[C@H]1CC[C@H]1NC(=O)c1cc2nccnc2[nH]1,furan2pyrazine_0000000013
CC[C@@H]1C[C@H]1C(=O)N1C[C@H]2[C@@H](NC(=O)c3nc(C)cnc3C)CO[C@H]2C1,furan2pyrazine_0000000014
CC(CC(=O)N1C[C@H](CNC(=O)c2cnccn2)[C@H](O)C1)C(C)(C)C,furan2pyrazine_0000000015
CCc1nc(C(=O)NCC(C)NC(=O)c2nc(C)cnc2C)cs1,furan2pyrazine_0000000016
CCC(C)(C)OCC(=O)N1CCCC2(C1)CN(C(=O)c1cnccn1)C2,furan2pyrazine_0000000017
O=C(Cc1cnccn1)N1C[C@@H]2CN(C(=O)CC3OCCO3)C[C@@H]2C1,furan2pyrazine_0000000018
CC(C)C(O)C(C)(C)C(=O)NCC(CO)Cc1cnccn1,furan2pyrazine_0000000019
Cc1cnc(C(=O)N2CC(NC(=O)[C@@H](C)N(C)C)CC3(CC3)C2)cn1,furan2pyrazine_0000000020
C[C@H]1C(C(=O)NCC2(O)CCN(C(=O)c3cc4nccnc4[nH]3)C2)[C@@H]1C,furan2pyrazine_0000000021
CCN(C(=O)COC)C1CCN(C(=O)Cc2cnc3ccccc3n2)C1,furan2pyrazine_0000000022
CC1CN(C(=O)CCF)CC1NC(=O)c1ncc2nc1CCOC2,furan2pyrazine_0000000023
O=C(NC12CCC(O)(CC1)CC2)c1cnc(C(F)(F)F)cn1,furan2pyrazine_0000000024
Cc1nc(C)c(C(=O)NCC2CN(C(=O)C3(F)CCC3)C2)nc1C,furan2pyrazine_0000000025
Cc1cncc(C(=O)NC[C@H](C)NC(=O)C2(c3ccccc3O)CC2)n1,furan2pyrazine_0000000026
Cc1cncc(C2CN(C(=O)C3(CO)COC3)CCO2)n1,furan2pyrazine_0000000027
Cc1nccnc1C(=O)NCC1(F)CN(C(=O)C2OCCO2)C1,furan2pyrazine_0000000028
Cc1cnc(C(C)(C)C)c(C(=O)NC(C)CNC(=O)C[C@H](C)O)n1,furan2pyrazine_0000000029
CC(Cc1cnccn1)NC(=O)NCc1ccc(C#N)cc1,furan2pyrazine_0000000030
O=C(N[C@H]1C[C@@H](C(=O)O)[C@@H]2C[C@@H]21)c1cnc2cc(Cl)ccc2n1,furan2pyrazine_0000000031
CSc1cncc(C(=O)NC2(CNC(=O)[C@H]3C[C@@H](F)C3)CC2)n1,furan2pyrazine_0000000032
Cc1cc(C(=O)N2CC(C)C(NC(=O)c3cnccn3)C2)cc(=O)n1C,furan2pyrazine_0000000033
Cc1nccnc1C(=O)N1CCN(C(=O)[C@H]2CCN(C)C2)CC12CCC2,furan2pyrazine_0000000034
CCc1cnc(C(=O)N2[C@H](C)[C@H]3C[C@@H]2[C@H]3NC(=O)CN(C)C)c(C)n1,furan2pyrazine_0000000035
CN(Cc1cnccn1)S(=O)(=O)c1ccc(CC(=O)O)cc1,furan2pyrazine_0000000036
CS(=O)(=O)c1ccc(NC(=O)c2cnc3c(n2)COC3)cc1F,furan2pyrazine_0000000037
COC(=O)c1nccnc1-c1ccc2c(c1)C(=O)CCO2,furan2pyrazine_0000000038
O=C(N[C@H]1CCC[C@H]1NC(=O)c1cnc2n1CCCN2)c1cnccn1,furan2pyrazine_0000000039
Cc1cncc(C(=O)N(C)[C@@H]2C[C@H]3C[C@@H]2N(C(=O)C[C@H]2CCOC2)C3)n1,furan2pyrazine_0000000040
