SMILES,ID
CCCC1CN(C(=O)COC(C)C)CCN1C(=O)c1ccc[nH]1,furan2pyrrole_0000000001
Cc1ccc(CC(=O)NC2(CNC(=O)C3(O)CC(C)(C)C3)CCC2)[nH]1,furan2pyrrole_0000000002
Cc1ncccc1CC(=O)NCC1(C)CCN(C(=O)c2cc[nH]c2)C1,furan2pyrrole_0000000003
CC(=O)c1cc(C(=O)Nc2nc3c(s2)CCC3=O)[nH]c1C,furan2pyrrole_0000000004
CC(C(=O)N[C@H]1C[C@H]1NC(=O)c1c[nH]c(C#N)c1)C1CC1,furan2pyrrole_0000000005
Cc1[nH]ccc1C(=O)NC1CC(C)(CNC(=O)C2CC2(F)F)C1,furan2pyrrole_0000000006
Cc1[nH]c(CO)cc1C(=O)NC[C@H](C)NC(=O)C1CCCC1(C)C,furan2pyrrole_0000000007
Cc1ccc(CC(=O)N2C[C@@H](O)C[C@H](NC(=O)[C@@H]3C[C@H]3C3CC3)C2)[nH]1,furan2pyrrole_0000000008
CC(C)(C(=O)NCC[C@@H]1CCN(C(=O)c2ccc[nH]2)C1)C1CC1,furan2pyrrole_0000000009
CCc1[nH]c2ccccc2c1CC(=O)N[C@H]1CC[C@@H](C(=O)NC)CC1,furan2pyrrole_0000000010
CCN(CC)CC(=O)N1CC2CCC(NC(=O)c3cc[nH]c3C)(C2)C1,furan2pyrrole_0000000011
COC(=O)N(C)CCCN(C)C(=O)[C@@H]1C[C@H]1c1ccc(C)[nH]1,furan2pyrrole_0000000012
CC(C)(O)CC(=O)NC[C@H]1CC[C@H]1NC(=O)c1cc2[nH]ccc2[nH]1,furan2pyrrole_0000000013
CC[C@@H]1C[C@H]1C(=O)N1C[C@H]2[C@@H](NC(=O)c3c(C)c[nH]c3C)CO[C@H]2C1,furan2pyrrole_0000000014
CC(CC(=O)N1C[C@H](CNC(=O)c2ccc[nH]2)[C@H](O)C1)C(C)(C)C,furan2pyrrole_0000000015
CCc1nc(C(=O)NCC(C)NC(=O)c2c(C)c[nH]c2C)cs1,furan2pyrrole_0000000016
CCC(C)(C)OCC(=O)N1CCCC2(C1)CN(C(=O)c1ccc[nH]1)C2,furan2pyrrole_0000000017
O=C(Cc1ccc[nH]1)N1C[C@@H]2CN(C(=O)CC3OCCO3)C[C@@H]2C1,furan2pyrrole_0000000018
CC(C)C(O)C(C)(C)C(=O)NCC(CO)Cc1ccc[nH]1,furan2pyrrole_0000000019
Cc1cc(C(=O)N2CC(NC(=O)[C@@H](C)N(C)C)CC3(CC3)C2)c[nH]1,furan2pyrrole_0000000020
C[C@H]1C(C(=O)NCC2(O)CCN(C(=O)c3cc4[nH]ccc4[nH]3)C2)[C@@H]1C,furan2pyrrole_0000000021
CCN(C(=O)COC)C1CCN(C(=O)Cc2c[nH]c3ccccc23)C1,furan2pyrrole_0000000022
CC1CN(C(=O)CCF)CC1NC(=O)c1[nH]cc2c1CCOC2,furan2pyrrole_0000000023
O=C(NC12CCC(O)(CC1)CC2)c1c[nH]c(C(F)(F)F)c1,furan2pyrrole_0000000024
Cc1[nH]c(C)c(C(=O)NCC2CN(C(=O)C3(F)CCC3)C2)c1C,furan2pyrrole_0000000025
