SMILES,ID
CC(CC(=O)NC1(C)CCN(C(=O)c2ncccn2)C1)C(F)(F)F,imidazole2pyrimidine_0000000001
CC(Cc1ncccn1)NC(C)c1ccc2c(c1)CNC(=O)CC2,imidazole2pyrimidine_0000000002
CN(Cc1cnc(Cl)nc1)C(CO)CC(C)(C)C,imidazole2pyrimidine_0000000003
COC(C)(C)C1(C(=O)NCC2CCN2C(=O)c2cncnc2)CC1,imidazole2pyrimidine_0000000004
Cc1nccc(S(=O)(=O)NCCC(=O)OCc2ccnn2C)n1,imidazole2pyrimidine_0000000005
CC(CNC(=O)c1cccc2c1CCC(=O)N2)NC(=O)c1cncnc1,imidazole2pyrimidine_0000000006
Cc1ncc(C(=O)NC2CN(C(=O)CCc3ccncn3)CC2(C)C)o1,imidazole2pyrimidine_0000000007
CCc1ncoc1C(=O)N[C@@H]1CCC[C@@H]1NC(=O)Cc1ncccn1,imidazole2pyrimidine_0000000008
CO[C@@H](C)C(=O)N1CC[C@H](N2CCN(C(=O)Cc3cncnc3)CC2)C1,imidazole2pyrimidine_0000000009
Cc1cncnc1C(=O)N1CCC[C@@H]1CCNC(=O)c1ocnc1C,imidazole2pyrimidine_0000000010
CC1CN(Cc2ncc3ccc(Br)cc3n2)CCN1,imidazole2pyrimidine_0000000011
CCC(CNS(=O)(=O)c1ccnc(C(C)C)n1)C(=O)O,imidazole2pyrimidine_0000000012
NC(=O)c1cccc(OCC(=O)N2CC(c3cncnc3)C2)c1,imidazole2pyrimidine_0000000013
Cc1cncnc1,imidazole2pyrimidine_0000000014
CNC(=O)c1cc([C@H](C)NC(=O)Cc2ncncc2C)ccc1OC,imidazole2pyrimidine_0000000015
Cc1cncnc1CC(=O)NC[C@@H](C)NC(=O)[C@@H]1C[C@@H]2CCC[C@@H](C2)C1,imidazole2pyrimidine_0000000016
Cc1cnc(NC(=O)CNC(=O)c2cccc(F)c2)nc1C,imidazole2pyrimidine_0000000017
O=C(Cc1cncnc1)NCC[C@H]1CCCN(C(=O)C2OCCO2)C1,imidazole2pyrimidine_0000000018
CCC(C)(O)C(=O)N[C@H]1CN(C(=O)c2cccc3cncnc23)C[C@H]1C,imidazole2pyrimidine_0000000019
Cn1cc2c(n1)CC(C(=O)N1CC(F)(c3ncccn3)C1)CC2,imidazole2pyrimidine_0000000020
Cc1ccnc(CC(=O)N2CC(CCNC(=O)C3CC3(C)C)C2)n1,imidazole2pyrimidine_0000000021
N#CC1(C(=O)N2CCCCC(NC(=O)Cc3ncccn3)CC2)CC1,imidazole2pyrimidine_0000000022
O=S(=O)(c1cnsc1)N1CC(c2ncccn2)C1,imidazole2pyrimidine_0000000023
Cc1ccnc(CC(=O)NCCc2cnn3c2CCCC3)n1,imidazole2pyrimidine_0000000024
O=C(Cc1cncnc1)N[C@@H]1CCN(C(=O)C2CC3CC3C2)C[C@H]1CO,imidazole2pyrimidine_0000000025
CC(=O)NC(C)C(=O)N1CC[C@H](NC(=O)c2ccncn2)C[C@H]1C,imidazole2pyrimidine_0000000026
c1cc(CN2CCC(OCC3CC3)CC2)ncn1,imidazole2pyrimidine_0000000027
Cc1nccc(CC(=O)N2CCN(C(=O)Cc3cscn3)CC2C)n1,imidazole2pyrimidine_0000000028
O=C(c1c(F)ccc2cncnc12)N1CCC(O)C2(CCOCC2)C1,imidazole2pyrimidine_0000000029
CC(Cc1cncnc1)C(=O)N1CCC1CNC(=O)c1ccccc1F,imidazole2pyrimidine_0000000030
Cc1nc(C(=O)NC[C@]2(C)CN(C(=O)c3cncnc3)C[C@H]2C)n[nH]1,imidazole2pyrimidine_0000000031
Cc1cncnc1C(=O)N[C@H]1CCN(C(=O)C[C@@H]2C[C@H]2C2CC2)[C@@H]1C,imidazole2pyrimidine_0000000032
Cc1ccc(CCNC(=O)NCc2cncnc2)cc1O,imidazole2pyrimidine_0000000033
CC(=O)CC1COCCN1Cc1ncc2ccc(F)c(F)c2n1,imidazole2pyrimidine_0000000034
Cc1ccc(CC(=O)NC(Cc2ncccn2)C(F)F)cc1Cl,imidazole2pyrimidine_0000000035
Cc1ccnc(CCC(=O)N[C@H]2CC[C@@H](NC(=O)C3CCC3C)CC2)n1,imidazole2pyrimidine_0000000036
O=C(NCC1CCCCN1C(=O)[C@@H]1C[C@H]1c1ccncn1)c1ccon1,imidazole2pyrimidine_0000000037
CCc1ncccn1,imidazole2pyrimidine_0000000038
c1cncnc1,imidazole2pyrimidine_0000000039
Cc1nccc(C(=O)N[C@H]2CC[C@H]2CNC(=O)CC(C)C)n1,imidazole2pyrimidine_0000000040
CCc1cnc(C)nc1C(=O)N[C@H]1CCCN(S(C)(=O)=O)C1,imidazole2pyrimidine_0000000041
Cc1ncccn1,imidazole2pyrimidine_0000000042
Cn1cc(C(=O)Nc2ncccn2)c(C(F)F)n1,imidazole2pyrimidine_0000000043
CSc1ncc2cnc(NCC34CCC(C)(CO3)C4)nc2n1,imidazole2pyrimidine_0000000044
CC1CCC(NC(=O)CC2(C3CC3)CC2)CN1C(=O)Cc1cncnc1,imidazole2pyrimidine_0000000045
Cc1c(C(=O)NC(C)C(C)NC(=O)Cc2cncnc2)nnn1C,imidazole2pyrimidine_0000000046
COCC(=O)N1CCC[C@H](N(C)C(=O)Cc2ccnc(C)n2)C1,imidazole2pyrimidine_0000000047
CCN1CCCCC1C(=O)N[C@H]1C[C@H](NC(=O)c2cncnc2C#N)C1,imidazole2pyrimidine_0000000048
O=C(N[C@@H]1C[C@H]1c1cncnc1)C1CCCCN1C(=O)c1ccco1,imidazole2pyrimidine_0000000049
Cc1cncnc1C(=O)N1C[C@H](CNC(=O)C2(C)CC2(C)C)[C@H](O)C1,imidazole2pyrimidine_0000000050
C[C@@H]1C[C@@H]1C(=O)N(C)C[C@H]1CCN(C(=O)c2cnc(Cl)nc2)C1,imidazole2pyrimidine_0000000051
O=C(c1cnco1)N1CCC2C(CCCN2C(=O)c2cncnc2)C1,imidazole2pyrimidine_0000000052
O=C(NC1CC2CC(C1)N(C(=O)C1(CO)COC1)C2)c1cncnc1,imidazole2pyrimidine_0000000053
CCN(CCNC(=O)c1ccncn1)C(=O)C1CCOCC1(C)C,imidazole2pyrimidine_0000000054
C[C@@H]1CN(C(=O)CCc2ccncn2)C[C@@H]1NC(=O)C1(C)CC1,imidazole2pyrimidine_0000000055
O=C(NC1CCN(Cc2cccnc2)C1)c1ccncn1,imidazole2pyrimidine_0000000056
N#CC1(CC(=O)NCC2(NC(=O)c3ncccn3)CCCC2)CCC1,imidazole2pyrimidine_0000000057
Cc1ncc(C(=O)N2CC[C@H](NC(=O)Cc3conc3C)C2)cn1,imidazole2pyrimidine_0000000058
O=C(N[C@H]1C[C@@H](c2ncccn2)C1)C1(n2cnnn2)CCCCC1,imidazole2pyrimidine_0000000059
N#Cc1ncncc1C(=O)N[C@H]1CC[C@@H](NC(=O)[C@@H]2C[C@@H]3C[C@@H]3C2)CC1,imidazole2pyrimidine_0000000060
COCC(=O)N(C)CC1CCCN(C(=O)Cc2ncncc2C)C1,imidazole2pyrimidine_0000000061
CCC(C#N)C(=O)N(C)CCCc1ncccn1,imidazole2pyrimidine_0000000062
CCn1ncnc1C(=O)N1CCC1CNC(=O)Cc1ncncc1C,imidazole2pyrimidine_0000000063
O=C(NC1CN(C(=O)c2ccc(-c3ccncn3)cc2)C1)[C@@H]1C[C@H]1F,imidazole2pyrimidine_0000000064
O=C(NC[C@@H]1CCCN1C(=O)[C@@H]1C[C@H]2CC[C@@H]1O2)c1ccncn1,imidazole2pyrimidine_0000000065
CC(NCC1(CCO)CC1)c1ncc(Br)cn1,imidazole2pyrimidine_0000000066
O=C(CCc1ccncn1)N[C@H]1C[C@H](NC(=O)c2ccccn2)C1,imidazole2pyrimidine_0000000067
CCC(C(=O)NC1(C)CN(C(=O)c2ncccn2)C1)c1cccnc1,imidazole2pyrimidine_0000000068
CC1(C)CC(=O)NCC1C(=O)NCC(NC(=O)c1cncnc1)C1CC1,imidazole2pyrimidine_0000000069
CCc1n[nH]c(Cl)c1C(=O)N1[C@@H]2CC[C@H]1C[C@@H](c1ncccn1)C2,imidazole2pyrimidine_0000000070
OC[C@@H]1CN(CC(O)C2CCCCC2)C[C@H]1c1cncnc1,imidazole2pyrimidine_0000000071
Cc1cccc(CC(C)(O)C(C)NC(=O)c2cncnc2N)c1,imidazole2pyrimidine_0000000072
CN(C)C[C@@H]1COC[C@H]1NC(=O)c1ncc(Br)cn1,imidazole2pyrimidine_0000000073
CN(C(=O)[C@@H](N)Cc1ccncn1)C(c1ccc(Cl)cc1)C1CC1,imidazole2pyrimidine_0000000074
C[C@H](CNC(=O)c1ncccn1)CNC(=O)c1cccc(=O)o1,imidazole2pyrimidine_0000000075
NC(=O)C1(N2CCN(Cc3nccc(Br)n3)CC2)CC1,imidazole2pyrimidine_0000000076
Cc1cncc(C(=O)NC23CCC(C2)N(C(=O)c2cncnc2)C3)c1,imidazole2pyrimidine_0000000077
Cc1ccnc(C(NC(=O)c2cnn(C)c2C(F)(F)F)C2CC2)n1,imidazole2pyrimidine_0000000078
O=C(NC[C@]1(CO)C[C@H]1c1ccccc1)c1ncncc1C(F)(F)F,imidazole2pyrimidine_0000000079
CN(C)C1(CNC(=O)CN2CCCC2c2ncccn2)CCCCC1,imidazole2pyrimidine_0000000080
COC(=O)CC1(NC(=O)CSc2ncc3ccccc3n2)CCC1,imidazole2pyrimidine_0000000081
CO[C@@H](C)C(=O)N[C@H]1CCCN(C(=O)c2cncnc2)C1,imidazole2pyrimidine_0000000082
CCCCC(=O)NC1CCC2CC1CN2C(=O)c1nc(C)ncc1C,imidazole2pyrimidine_0000000083
c1cncc(-c2ccncn2)c1,imidazole2pyrimidine_0000000084
Cc1ccc(C(C)CC(=O)N[C@@H]2C[C@H]2NC(=O)c2ncccn2)cc1,imidazole2pyrimidine_0000000085
CCc1nc(C)ncc1C(=O)Nc1cncnc1OC,imidazole2pyrimidine_0000000086
CC(C)C(C)(C)C(=O)N1CCC(CNC(=O)[C@@H]2C[C@H]2c2ccncn2)C1,imidazole2pyrimidine_0000000087
C[C@H]1CN(C(=O)C2(C)CC3(CCC3)C2)CCN1C(=O)Cc1cncnc1,imidazole2pyrimidine_0000000088
COc1cc(Cl)c(C)cc1NC(=O)Cc1cncnc1,imidazole2pyrimidine_0000000089
CNC(C)C(=O)NC1CCc2cnc(C)nc2C1,imidazole2pyrimidine_0000000090
Cn1nccc1C1c2ncncc2CCN1C(=O)C1CNC(=O)C1,imidazole2pyrimidine_0000000091
CC(C)c1ccoc1C(=O)NC1CCN(C(=O)CCc2ncccn2)C1,imidazole2pyrimidine_0000000092
COC1(CCNC(=O)c2cncnc2)CN(C(=O)C2CC(C)C2(C)C)C1,imidazole2pyrimidine_0000000093
