SMILES,ID
C[C@]1(NC(=O)c2ccnnc2)C[C@@H](NC(=O)C2C3CCCC32)C1,oxazole2pyridazine_0000000001
CC1(CCC(=O)OCc2ccnnc2)CN(C(=O)OC(C)(C)C)C1,oxazole2pyridazine_0000000002
CC(C)(O)C(=O)NC1CC(NC(=O)c2cnnc(C(C)(C)C)c2)C1,oxazole2pyridazine_0000000003
CN(CCNC(=O)[C@H]1CCOC1)C(=O)c1cnncc1C(C)(C)C,oxazole2pyridazine_0000000004
Cc1cc(C(=O)N2CC3CC2CCC3NC(=O)COCC2CC2)cnn1,oxazole2pyridazine_0000000005
O=C1OCCN1C1CCN(Cc2cnncc2C(F)(F)F)CC1,oxazole2pyridazine_0000000006
Cc1nnccc1C(=O)NC1CN(C(=O)CCc2c[nH]cn2)CC1(C)C,oxazole2pyridazine_0000000007
CCc1cnncc1C(=O)N[C@@H]1CCC[C@@H]1NC(=O)Cc1nccn1C,oxazole2pyridazine_0000000008
Cc1cnncc1C(=O)NCC[C@H]1CCCN1C(=O)c1nc[nH]c1C,oxazole2pyridazine_0000000009
Cc1cc(NC(=O)c2c(C)cnnc2COC(C)(C)C)ccc1C(N)=O,oxazole2pyridazine_0000000010
CC(CF)C(=O)NCC1CN(C(=O)c2cnnc(C3CCCC3)c2)C1,oxazole2pyridazine_0000000011
C[C@]1(C(=O)OCc2cnncc2C(F)(F)F)C[C@H]2CC[C@@H]1O2,oxazole2pyridazine_0000000012
Cc1cc(-c2cccnn2)ccc1NC(=O)C(N)C1CC2CC2C1,oxazole2pyridazine_0000000013
COc1cc(CNC(=O)c2cnnc(CS(C)(=O)=O)c2)ccn1,oxazole2pyridazine_0000000014
Cn1cccc(C(=O)N[C@]2(C)C[C@H](NC(=O)c3ccnnc3)C2)c1=O,oxazole2pyridazine_0000000015
O=C(NC[C@@H]1COC[C@H]1NC(=O)c1ccncc1)c1ccnnc1,oxazole2pyridazine_0000000016
CC1CC(C(=O)N2CCN(C(=O)c3cnnc(C(F)F)c3)CC2)C1,oxazole2pyridazine_0000000017
Cc1ccc(CC(=O)N[C@@H]2CCC[C@@H]2NC(=O)c2ccnnc2)s1,oxazole2pyridazine_0000000018
Cc1cc(C(=O)N(C)CC2CCN(C(=O)Cn3cccc3)C2)cnn1,oxazole2pyridazine_0000000019
CC1CCC(NC(=O)c2cc(F)n(C)n2)CN1C(=O)c1ccnnc1,oxazole2pyridazine_0000000020
Cc1cnncc1C(=O)N1CC(CO)(NC(=O)C2CCCOC2)C1,oxazole2pyridazine_0000000021
CSCC(=O)N[C@H]1CCC[C@@H]1NC(=O)C1(c2cccnn2)CC1,oxazole2pyridazine_0000000022
COC(=O)c1cnncc1CCC(=O)OCC1CCC(C)(C)C1,oxazole2pyridazine_0000000023
CNc1nnccc1C(=O)N(C)C1CN(C(=O)CCC(F)(F)F)C1,oxazole2pyridazine_0000000024
CCOc1ccc(OC)cc1NC(=O)NCCc1cnncc1C,oxazole2pyridazine_0000000025
CSCC(C)N(C)C(=O)c1cnnc(-c2cccnc2)c1,oxazole2pyridazine_0000000026
Cc1nncc2c1CCN(C(=O)CNc1ccc(C(F)(F)F)cn1)C2,oxazole2pyridazine_0000000027
COC(=O)[C@H](OC(=O)c1c(C)cnnc1C(C)C)C1CCC1,oxazole2pyridazine_0000000028
CCC1(C(=O)NC[C@@H]2CCCN(C(=O)c3cnncc3C3CC3)C2)CC1,oxazole2pyridazine_0000000029
Cc1cc(C(=O)NCC(C)CNC(=O)c2ccnnc2C(C)(C)C)on1,oxazole2pyridazine_0000000030
CCn1ccc(CC(=O)N2[C@@H]3CC[C@H]2[C@@H](NC(=O)c2ccnnc2)C3)n1,oxazole2pyridazine_0000000031
CCCC[C@H](NC(=O)NC(C)c1cccnn1)C(=O)OC,oxazole2pyridazine_0000000032
Cc1cc(C(=O)N2CC(F)(F)C[C@H]2CNC(=O)COC(C)C)cnn1,oxazole2pyridazine_0000000033
COCc1nncc2cc(NC[C@H](O)COC(C)C)ccc12,oxazole2pyridazine_0000000034
CC1CCCN1CC(=O)N1C[C@@H](CCNC(=O)c2ccnnc2)[C@H](C)C1,oxazole2pyridazine_0000000035
CCc1nncc(C)c1C(=O)N1CCC[C@@H](N(C)C(=O)C2CN(C)C2)C1,oxazole2pyridazine_0000000036
Cc1c(CC(=O)N(C)C(C)CC#N)cnnc1-c1ccco1,oxazole2pyridazine_0000000037
COc1ccc(N(C)C(=O)c2ccnnc2C(C)(C)CF)cn1,oxazole2pyridazine_0000000038
CO[C@@H](C)C(=O)N1CC2(CCN(C(=O)CCc3cccnn3)C2)C1,oxazole2pyridazine_0000000039
O=C(c1ccnnc1)N1CCC2C(CCCN2C(=O)c2cnc[nH]2)C1,oxazole2pyridazine_0000000040
CC(c1nnccc1-c1ccccc1)N1CCN([C@H]2CCNC2)CC1,oxazole2pyridazine_0000000041
CCc1cnncc1C(=O)N1CCCN(C(=O)C2CC(C)(C)O2)CC1C,oxazole2pyridazine_0000000042
