SMILES,ID
C[C@@H](NC(=O)c1cn[nH]c1)C1CCN(C(=O)c2ccns2)CC1,pyrazine2pyrazole_0000000001
C[C@@H](NC(=O)c1ccn[nH]1)C1CCN(C(=O)c2ccns2)CC1,pyrazine2pyrazole_0000000002
c1cn[nH]c1,pyrazine2pyrazole_0000000003
C[C@@H](NC(=O)c1cc[nH]n1)C1CCN(C(=O)c2ccns2)CC1,pyrazine2pyrazole_0000000004
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2cn[nH]c2O)C1,pyrazine2pyrazole_0000000005
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2cc[nH]n2)C1,pyrazine2pyrazole_0000000006
Oc1cc[nH]n1,pyrazine2pyrazole_0000000007
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2[nH]ncc2O)C1,pyrazine2pyrazole_0000000008
O=C(CC1CCCOCC1)NC1(CNC(=O)c2ccn[nH]2)CC1,pyrazine2pyrazole_0000000009
Nc1ccn[nH]1,pyrazine2pyrazole_0000000010
Nc1n[nH]cc1C(=O)NCC1(NC(=O)CC2CCCOCC2)CC1,pyrazine2pyrazole_0000000011
Nc1c[nH]nc1C(=O)NCC1(NC(=O)CC2CCCOCC2)CC1,pyrazine2pyrazole_0000000012
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1[nH]ncc1O,pyrazine2pyrazole_0000000013
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1cc[nH]n1,pyrazine2pyrazole_0000000014
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1cn[nH]c1O,pyrazine2pyrazole_0000000015
Cc1c[nH]nc1NC(=O)c1cnc2n(c1=O)CCS2,pyrazine2pyrazole_0000000016
Cc1n[nH]cc1NC(=O)c1cnc2n(c1=O)CCS2,pyrazine2pyrazole_0000000017
O=C(Nc1ccn[nH]1)c1cnc2n(c1=O)CCS2,pyrazine2pyrazole_0000000018
Cc1ccn[nH]1,pyrazine2pyrazole_0000000019
O=C(NCC12CCC(F)(CO1)C2)Nc1cc[nH]n1,pyrazine2pyrazole_0000000020
O=C(NCC12CCC(F)(CO1)C2)Nc1cn[nH]c1O,pyrazine2pyrazole_0000000021
O=C(NCC12CCC(F)(CO1)C2)Nc1[nH]ncc1O,pyrazine2pyrazole_0000000022
CC(C)(CNc1cc(-n2cncn2)n[nH]1)CN1CCCC1,pyrazine2pyrazole_0000000023
c1ncn(-c2cn[nH]c2)n1,pyrazine2pyrazole_0000000024
CC(C)(CNc1cn[nH]c1)CN1CCCC1,pyrazine2pyrazole_0000000025
CC(C)(CNc1cc(-n2cncn2)[nH]n1)CN1CCCC1,pyrazine2pyrazole_0000000026
CC1CC(CN)CC(C)N1C(=O)c1cccc2cn[nH]c12,pyrazine2pyrazole_0000000027
CC1CC(CN)CC(C)N1C(=O)c1cccc2[nH]ncc12,pyrazine2pyrazole_0000000028
COCCN1CCCC12CN(C(=O)Nc1ncc3[nH]ncc3n1)C2,pyrazine2pyrazole_0000000029
COCCN1CCCC12CN(C(=O)Nc1ncc3cn[nH]c3n1)C2,pyrazine2pyrazole_0000000030
CCCCC(=O)NC1CCN(C(=O)c2ccn[nH]2)CC1,pyrazine2pyrazole_0000000031
CCCCC(=O)NC1CCN(C(=O)c2c[nH]nc2OC(C)C)CC1,pyrazine2pyrazole_0000000032
CC(C)Oc1ccn[nH]1,pyrazine2pyrazole_0000000033
CCCCC(=O)NC1CCN(C(=O)c2n[nH]cc2OC(C)C)CC1,pyrazine2pyrazole_0000000034
Cc1c[nH]nc1C(=O)N1CCCC(CNC(=O)[C@H]2CC2(C)C)C1,pyrazine2pyrazole_0000000035
Cc1n[nH]cc1C(=O)N1CCCC(CNC(=O)[C@H]2CC2(C)C)C1,pyrazine2pyrazole_0000000036
CC1(C)C[C@@H]1C(=O)NCC1CCCN(C(=O)c2ccn[nH]2)C1,pyrazine2pyrazole_0000000037
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2cc[nH]n2)CCCC1,pyrazine2pyrazole_0000000038
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2cn[nH]c2)CCCC1,pyrazine2pyrazole_0000000039
CC1(C(=O)NC[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)c2ccn[nH]2)CCCC1,pyrazine2pyrazole_0000000040
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3cc(C)[nH]n3)C2)C1,pyrazine2pyrazole_0000000041
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3cc(C)n[nH]3)C2)C1,pyrazine2pyrazole_0000000042
Cc1cn[nH]c1,pyrazine2pyrazole_0000000043
CO[C@H]1C[C@H](C(=O)N2C[C@@H](O)[C@H](N(C)C(=O)c3cn[nH]c3)C2)C1,pyrazine2pyrazole_0000000044
c1cn(-c2cn[nH]c2)cn1,pyrazine2pyrazole_0000000045
