SMILES,ID
C[C@@H](NC(=O)c1cscn1)C1CCN(C(=O)c2ccns2)CC1,pyrazine2thiazole_0000000001
C[C@@H](NC(=O)c1nccs1)C1CCN(C(=O)c2ccns2)CC1,pyrazine2thiazole_0000000002
C[C@@H](NC(=O)c1cncs1)C1CCN(C(=O)c2ccns2)CC1,pyrazine2thiazole_0000000003
c1cscn1,pyrazine2thiazole_0000000004
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2cscn2)C1,pyrazine2thiazole_0000000005
Oc1cscn1,pyrazine2thiazole_0000000006
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2ncc(O)s2)C1,pyrazine2thiazole_0000000007
C[C@@]1(NC(=O)c2ccc[nH]2)CCN(C(=O)c2cnc(O)s2)C1,pyrazine2thiazole_0000000008
Nc1ncsc1C(=O)NCC1(NC(=O)CC2CCCOCC2)CC1,pyrazine2thiazole_0000000009
Nc1scnc1C(=O)NCC1(NC(=O)CC2CCCOCC2)CC1,pyrazine2thiazole_0000000010
Nc1nccs1,pyrazine2thiazole_0000000011
O=C(CC1CCCOCC1)NC1(CNC(=O)c2nccs2)CC1,pyrazine2thiazole_0000000012
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1cnc(O)s1,pyrazine2thiazole_0000000013
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1ncc(O)s1,pyrazine2thiazole_0000000014
CO[C@@H]1C[C@H]1C(=O)N1CC2CCC(C1)N2C(=O)c1cscn1,pyrazine2thiazole_0000000015
Cc1nccs1,pyrazine2thiazole_0000000016
Cc1scnc1NC(=O)c1cnc2n(c1=O)CCS2,pyrazine2thiazole_0000000017
O=C(Nc1nccs1)c1cnc2n(c1=O)CCS2,pyrazine2thiazole_0000000018
Cc1ncsc1NC(=O)c1cnc2n(c1=O)CCS2,pyrazine2thiazole_0000000019
O=C(NCC12CCC(F)(CO1)C2)Nc1ncc(O)s1,pyrazine2thiazole_0000000020
O=C(NCC12CCC(F)(CO1)C2)Nc1cscn1,pyrazine2thiazole_0000000021
O=C(NCC12CCC(F)(CO1)C2)Nc1cnc(O)s1,pyrazine2thiazole_0000000022
CC(C)(CNc1csc(-n2cncn2)n1)CN1CCCC1,pyrazine2thiazole_0000000023
c1ncn(-c2cncs2)n1,pyrazine2thiazole_0000000024
CC(C)(CNc1cncs1)CN1CCCC1,pyrazine2thiazole_0000000025
CC(C)(CNc1nc(-n2cncn2)cs1)CN1CCCC1,pyrazine2thiazole_0000000026
CC1CC(CN)CC(C)N1C(=O)C1=c2cnc(s2)=CC=C1,pyrazine2thiazole_0000000027
