SMILES,ID
CC1(C)CCCCN1C(=O)Cc1ccnnc1C(F)(F)F,pyrazole2pyridazine_0000000001
O=C(NC1CC(CF)C1)c1cnnc(C(=O)NC2CC(CF)C2)c1,pyrazole2pyridazine_0000000002
Cc1ccc(C(=O)NC[C@H](CO)NC(=O)c2cc(O)cnn2)c(C)c1,pyrazole2pyridazine_0000000003
Cc1cnnc(C)c1,pyrazole2pyridazine_0000000004
Cc1nnccc1-c1noc(CCNC(=O)CC(C)C)n1,pyrazole2pyridazine_0000000005
Cc1ccnnc1,pyrazole2pyridazine_0000000006
COC(c1ccc(Cl)cc1)C(C)NC(=O)c1cc(C(=O)O)cnn1,pyrazole2pyridazine_0000000007
COc1ncc(C)cc1NC(=O)Nc1ccnnc1C,pyrazole2pyridazine_0000000008
CC1=C(C(=O)N(C)C[C@H](C)NC(=O)c2cnnc(C3CC3)c2)CCO1,pyrazole2pyridazine_0000000009
O=C(NC[C@@H]1CCO[C@H]1c1ccnnc1)N1CC(CO)C1,pyrazole2pyridazine_0000000010
Cc1nc(S(=O)(=O)NCCC(=O)OCc2ccnnc2)cn1C,pyrazole2pyridazine_0000000011
O=C(N[C@@H](CO)c1ccccc1)c1cnncc1C1CCC1,pyrazole2pyridazine_0000000012
Clc1cccnc1N1CCC(NCc2ccnnc2)C1,pyrazole2pyridazine_0000000013
CO[C@@H]1C[C@H]1C(=O)N[C@H]1CN(C(=O)c2cnnc(C)c2Cl)C[C@H]1C,pyrazole2pyridazine_0000000014
O=C(Cc1ccnnc1)NCC1(NC(=O)C2COCCO2)CC1,pyrazole2pyridazine_0000000015
Cc1cccc(CC(NC(=O)c2c(C)cnnc2C)C2CCCO2)c1,pyrazole2pyridazine_0000000016
CO[C@@H]1C[C@H](CS(C)(=O)=O)N(C(=O)C(C)Cc2ccnnc2)C1,pyrazole2pyridazine_0000000017
COC(=O)CC[C@@H](C)NC(=O)c1ccc2cnnc(C)c2c1,pyrazole2pyridazine_0000000018
CC(C)(C(=O)N1CCCC2(CC1)CNC(=O)O2)c1cccnn1,pyrazole2pyridazine_0000000019
