SMILES,ID
CCOC1CCN(C(=O)c2ccc(N3CCNCC3)[nH]2)CC1C,pyridazine2pyrrole_0000000001
OCc1ccc(NCC(O)COc2ccc(C(F)(F)F)cc2)[nH]1,pyridazine2pyrrole_0000000002
CNc1c[nH]cc1C(=O)NCCc1nc(C)cs1,pyridazine2pyrrole_0000000003
Cc1cc[nH]c1C(=O)N1C[C@@H](NC(=O)CCC(C)(C)C)C[C@H]1CO,pyridazine2pyrrole_0000000004
Cc1ccccc1N1CCN(C(=O)c2ccc[nH]2)CC1,pyridazine2pyrrole_0000000005
O=C(C[C@H]1CCCO1)N[C@@H]1CCCC[C@H]1NC(=O)c1ccc[nH]1,pyridazine2pyrrole_0000000006
Cc1c[nH]cc1C(=O)NC[C@H]1CN(C(=O)[C@@]23C[C@@H](F)[C@@H]2C3)CCO1,pyridazine2pyrrole_0000000007
O=C(Nc1cc2ccccc2[nH]1)N1CC[C@@H]2OCCO[C@H]2C1,pyridazine2pyrrole_0000000008
COCCN(C(=O)c1ccc[nH]1)C1CCS(=O)(=O)C1,pyridazine2pyrrole_0000000009
FC(F)(F)C1CN(c2cc3c([nH]2)-c2ccccc2OC3)CCO1,pyridazine2pyrrole_0000000010
CNc1c[nH]cc1C(=O)NC[C@@H]1CCN(C(=O)[C@H]2C[C@H]2C)C1,pyridazine2pyrrole_0000000011
CN(Cc1c(F)cccc1Cl)c1ccc(S(C)(=O)=O)[nH]1,pyridazine2pyrrole_0000000012
Cc1c[nH]c(C(=O)N2C[C@H]3C[C@@H](N(C)C(=O)c4ccc[nH]4)[C@@H]2C3)c1,pyridazine2pyrrole_0000000013
COC(=O)c1cc(Cl)[nH]c1N1Cc2c(N)nn(C)c2C1,pyridazine2pyrrole_0000000014
CC1CCC(C(=O)OC(C)(C)C)CN1C(=O)Nc1ccc(F)[nH]1,pyridazine2pyrrole_0000000015
Cc1cc[nH]c1C(=O)N1CC(N(C)C(=O)c2ccc(C#N)o2)C1,pyridazine2pyrrole_0000000016
Cc1cc(C(=O)NC[C@H](C)CNC(=O)c2ccc(N)[nH]2)cn1C,pyridazine2pyrrole_0000000017
CNc1c[nH]cc1C(=O)NC[C@H](C)NC(=O)[C@@]12COC[C@@H]1C2,pyridazine2pyrrole_0000000018
CC1CC(COC(=O)c2ccc(-c3ccccc3)[nH]2)=NO1,pyridazine2pyrrole_0000000019
Cc1cc(C(=O)NC2(CO)CN(C(=O)[C@@H]3CCCN3C)C2)[nH]c1C,pyridazine2pyrrole_0000000020
O=C(NC1CN(C(=O)[C@H]2C[C@H](F)C2)C1)c1c[nH]cc1O,pyridazine2pyrrole_0000000021
O=C(NCC1(O)CCN(C(=O)CCC2CC2)C1)c1ccc[nH]1,pyridazine2pyrrole_0000000022
C[C@H]1C[C@]1(C)C(=O)N1CCC(C)(NC(=O)c2cc3c([nH]2)CCC3)C1,pyridazine2pyrrole_0000000023
CC(C)(C)CC(=O)N1CCC(O)(CCNC(=O)c2ccc[nH]2)CC1,pyridazine2pyrrole_0000000024
OC[C@@H]1CN(c2cc(N3CCCC3)c[nH]2)C[C@H]1c1ccccc1,pyridazine2pyrrole_0000000025
COC(C)(C)CC(=O)N1CCN(C)CC1CNC(=O)c1ccc[nH]1,pyridazine2pyrrole_0000000026
Cc1ccc(F)c(C(=O)NC[C@H](C)N(C)C(=O)c2c[nH]c(C)c2)c1,pyridazine2pyrrole_0000000027
COC(=O)c1ccc(C)c(C(C)NCc2ccc[nH]2)c1,pyridazine2pyrrole_0000000028
CN(C)C(=O)c1ccc(NC(=O)NC2(C)CC(F)C2)[nH]1,pyridazine2pyrrole_0000000029
CNc1ccnc(CNc2ccc(C(F)(F)F)[nH]2)c1,pyridazine2pyrrole_0000000030
NC1(C(=O)N2CCN(c3cc[nH]c3)CC2)CCSCC1,pyridazine2pyrrole_0000000031
CC(=O)NCC(=O)N1CCC(N(C)C(=O)c2cc(C)c(C)[nH]2)CC1,pyridazine2pyrrole_0000000032
CNC(=O)c1ccc(SC2CCCS(=O)(=O)C2)[nH]1,pyridazine2pyrrole_0000000033
NC(=O)C1CCCC(C(=O)N2CC(NC(=O)c3ccc[nH]3)C2)C1,pyridazine2pyrrole_0000000034
CC(=O)Nc1cccc(Sc2ccc(C(=O)N(C)C)[nH]2)c1,pyridazine2pyrrole_0000000035
CCC[C@H](O)C(=O)N1CC2(CCCN(C(=O)c3cc[nH]c3C)C2)C1,pyridazine2pyrrole_0000000036
Cc1[nH]ccc1C(=O)NC1CC(NC(=O)[C@@H]2C[C@H]3C[C@@H]2C[C@H]3O)C1,pyridazine2pyrrole_0000000037
CCc1ccc(NC(=O)NC2CC(=O)N(c3ccccc3)C2)[nH]1,pyridazine2pyrrole_0000000038
Cc1ccc(C(=O)N(C)[C@@H]2CCCN(C(=O)Cc3cn[nH]c3)C2)[nH]1,pyridazine2pyrrole_0000000039
COC(C)(C)CC(=O)N1CCCC1(C)CNC(=O)c1ccc(N)[nH]1,pyridazine2pyrrole_0000000040
O=C(NCC1(O)CN(C(=O)C2CSC2)C1)c1cc(Cl)c[nH]1,pyridazine2pyrrole_0000000041
CCc1ccc(C2=CCN(c3cc(N)c[nH]3)CC2)cc1,pyridazine2pyrrole_0000000042
CC1CC1c1ccc(CNc2ccc(C(N)=O)[nH]2)o1,pyridazine2pyrrole_0000000043
COc1c[nH]c(OC)c1C(=O)NCc1ccc(CO)cc1,pyridazine2pyrrole_0000000044
O=C(N[C@@H]1CN(C(=O)C2(CF)CCC2)C[C@H]1O)c1c[nH]cc1O,pyridazine2pyrrole_0000000045
O=C(N[C@@H]1CN(C(=O)c2c[nH]c3ccccc23)C[C@H]1O)[C@@H]1C[C@@H]1F,pyridazine2pyrrole_0000000046
Cc1c[nH]c(N2CC(C)OC(C3CC3)C2)c1C(F)(F)F,pyridazine2pyrrole_0000000047
CN(CC1CCN1C(=O)OC(C)(C)C)C(=O)Nc1cc(C#N)c[nH]1,pyridazine2pyrrole_0000000048
COC(=O)c1ccc(NCC(O)c2ccc(OC(C)C)cc2)[nH]1,pyridazine2pyrrole_0000000049
CNc1c[nH]cc1C(=O)N[C@@H]1CCN(C(=O)C2C[C@H]3CC[C@H]3C2)C1,pyridazine2pyrrole_0000000050
N#CCC(=O)N1CCCC2(C1)CN(C(=O)c1c[nH]cc1O)C2,pyridazine2pyrrole_0000000051
CN(CC1CN(Cc2noc3c2CCCC3)CCO1)c1ccc[nH]1,pyridazine2pyrrole_0000000052
COc1c[nH]c(C(=O)N2CCC[C@@H](NC(=O)C3CCC(=O)C3)C2)c1,pyridazine2pyrrole_0000000053
Cn1c(C(=O)N[C@@H]2[C@@H]3CC[C@H]2N(C(=O)c2ccc[nH]2)C3)c[nH]c1=O,pyridazine2pyrrole_0000000054
CN1CCN(c2cc(F)cc(CNc3ccc(C(=O)O)[nH]3)c2)CC1,pyridazine2pyrrole_0000000055
O=C1CCC(C(=O)N2CC(CNC(=O)c3cc4c([nH]3)CCC4)C2)O1,pyridazine2pyrrole_0000000056
COc1ccc(C(=O)N2CCC[C@H](N(C)C(=O)CNC(C)=O)C2)[nH]1,pyridazine2pyrrole_0000000057
CN(CCNC(=O)c1ccc(N)[nH]1)C(=O)c1ccncc1F,pyridazine2pyrrole_0000000058
CCOC(=O)c1c(N2CCC(OCC)C(C)C2)[nH]c(C)c1C,pyridazine2pyrrole_0000000059
Cc1nn(C)c2c(N(CCO)CC(C)(C)C)[nH]cc12,pyridazine2pyrrole_0000000060
CC(=O)N(C)CC(=O)N[C@H]1CCC[C@@H]1CNC(=O)c1cc[nH]c1C,pyridazine2pyrrole_0000000061
COc1c[nH]c(C(=O)N2C[C@@H](CC(=O)O)[C@H](O)C2)c1,pyridazine2pyrrole_0000000062
CCC[C@@H]1C[C@H]1C(=O)N1CCC[C@]1(C)CNC(=O)c1c[nH]cc1C,pyridazine2pyrrole_0000000063
CCc1cc(C(=O)N[C@H]2C[C@H](NC(=O)C[C@@H]3CCCO3)C2)c(C)[nH]1,pyridazine2pyrrole_0000000064
CCCCC(=O)N1CC[C@@H](NC(=O)c2c[nH]cc2C)[C@@H]1C(C)(C)C,pyridazine2pyrrole_0000000065
Cc1cc[nH]c1C(=O)N1CC(O)(CN(C)C(=O)CC2CC(C)C2)C1,pyridazine2pyrrole_0000000066
Cc1ccc(C(=O)N[C@H]2C[C@H]2NC(=O)CSc2ccncc2)[nH]1,pyridazine2pyrrole_0000000067
CC(C)c1conc1NC(=O)c1cc2c([nH]1)CCCO2,pyridazine2pyrrole_0000000068
Cc1cc(F)ccc1C(=O)NC1CCN(C(=O)c2ccc[nH]2)C1,pyridazine2pyrrole_0000000069
CC[C@H](Nc1[nH]cc2cc(OC)c(OC)cc12)C(N)=O,pyridazine2pyrrole_0000000070
O=C(Cc1ccc(O)cc1Cl)N1CCC(c2ccc[nH]2)CC1,pyridazine2pyrrole_0000000071
Cc1cc[nH]c1C(=O)N(C)C(C)CN(C)C(=O)c1cnco1,pyridazine2pyrrole_0000000072
COCCC(=O)N1CCCCC1C1(NC(=O)c2ccc[nH]2)CC1,pyridazine2pyrrole_0000000073
Cc1cc[nH]c1C(=O)N1CCCC(NC(=O)C2CC(C)(C)C2)CC1,pyridazine2pyrrole_0000000074
CC(C)(C)OC(=O)N1C[C@H](NC(=O)c2ccc[nH]2)CO1,pyridazine2pyrrole_0000000075
CCN(C)CC1CCN(c2[nH]ccc2C(F)(F)F)CC1,pyridazine2pyrrole_0000000076
COC(=O)c1cc(C)c(OCC2CN(C3CCCCC3)C(=O)O2)[nH]1,pyridazine2pyrrole_0000000077
Cc1cc[nH]c1C(=O)NC1(C)CCC(NC(=O)C(C)CF)CC1,pyridazine2pyrrole_0000000078
CCC(C)(CNC(=O)c1c[nH]cc1C)NC(=O)c1ncoc1C,pyridazine2pyrrole_0000000079
CS(=O)(=O)c1ccc(N2CCC23CCC(F)(F)CC3)[nH]1,pyridazine2pyrrole_0000000080
CCc1cc(C(=O)NC[C@@H]2C[C@H]2NC(=O)c2[nH]ccc2C)ncn1,pyridazine2pyrrole_0000000081
Cc1cc(C(=O)NC[C@H]2C[C@H](NC(=O)c3ccc[nH]3)C2)ccc1O,pyridazine2pyrrole_0000000082
CC[C@@H](C(=O)NC1CC(N(C)C(=O)c2ccc[nH]2)C1)N(C)C,pyridazine2pyrrole_0000000083
Cc1cc(C(=O)N[C@H]2C[C@@H](CNC(=O)CC3CCOC3C)C2)c[nH]1,pyridazine2pyrrole_0000000084
Cc1ccc(-c2noc(C3CNC4(CCCC4)C3)n2)[nH]1,pyridazine2pyrrole_0000000085
CCC1(NC(=O)c2c[nH]cc2C)CCN(C(=O)CO)CC1,pyridazine2pyrrole_0000000086
Cc1oc(C(=O)N(C)Cc2ccc[nH]2)cc1S(=O)(=O)N(C)C,pyridazine2pyrrole_0000000087
CN(CC1CCCC1O)C(=O)c1cc2c([nH]1)CCC2,pyridazine2pyrrole_0000000088
CN(C)c1ccc(C2CCCN2C(=O)NC2CC(C3CCC3)C2)[nH]1,pyridazine2pyrrole_0000000089
CCc1cc(C(=O)OCC(=O)N(CC)c2cccc(C)c2)c(C)[nH]1,pyridazine2pyrrole_0000000090
Cc1c[nH]cc1C(=O)N(C)C(CNC(=O)[C@H]1CNC(=O)N1)C1CC1,pyridazine2pyrrole_0000000091
Cc1cncc(C2CCCN2C(=O)c2cc3c([nH]2)CCC3)c1,pyridazine2pyrrole_0000000092
CN(C)c1cc(C(=O)NCC2N(C)CCCC2(C)C)[nH]c1C1CC1,pyridazine2pyrrole_0000000093
CC(C(=O)N(CCNC(=O)c1c[nH]cc1O)C1CC1)C(C)(C)C,pyridazine2pyrrole_0000000094
O=C(c1ccc(N2CCCC2)[nH]1)N1CCC12COC2,pyridazine2pyrrole_0000000095
COC1(CNC(=O)Nc2ccc(-c3ccccc3)[nH]2)CCC1,pyridazine2pyrrole_0000000096
Cc1c[nH]cc1C(=O)N[C@@H](CNC(=O)CC(C)(C)O)C(C)(C)C,pyridazine2pyrrole_0000000097
CC(C)(C)c1ccc(NC(=O)NCc2ncccc2N)[nH]1,pyridazine2pyrrole_0000000098
Nc1ccc(C(=O)N2CCC(Cc3cc(F)cc(F)c3)CC2)[nH]1,pyridazine2pyrrole_0000000099
CCC(C)CC(=O)N[C@H]1CCN(C(=O)c2ccc(C)[nH]2)[C@@H]1C,pyridazine2pyrrole_0000000100
CC1(C)CN(C(=O)CCc2ccco2)CC1NC(=O)c1ccc[nH]1,pyridazine2pyrrole_0000000101
CCOC(C)(C)C(=O)N[C@@H]1CCC[C@H]1NC(=O)c1c[nH]cc1O,pyridazine2pyrrole_0000000102
COc1c[nH]c(OC)c1C(=O)N1CCC2(CCCCCO2)C1,pyridazine2pyrrole_0000000103
CCCC(=O)N1C[C@H](F)C[C@H](NC(=O)c2cc3c([nH]2)CCCC3)C1,pyridazine2pyrrole_0000000104
CCNC(=O)c1ccc(N(Cc2ccc(C#N)cc2)CC(C)C)[nH]1,pyridazine2pyrrole_0000000105
O=C(CCc1cnccn1)N[C@@H]1CCC[C@H]1NC(=O)c1ccc[nH]1,pyridazine2pyrrole_0000000106
CCN(C(=O)c1c[nH]c(-c2ccccc2)c1)C(C)COC,pyridazine2pyrrole_0000000107
COc1ccc(CC(=O)N2CCCC2(C)C(=O)OC(C)(C)C)[nH]1,pyridazine2pyrrole_0000000108
CC1(C(=O)N2CC(C3CN(C(=O)c4ccc(N)[nH]4)C3)C2)CCCO1,pyridazine2pyrrole_0000000109
CC(CCNC(=O)c1ccc(N)[nH]1)NC(=O)[C@@H]1CCCO1,pyridazine2pyrrole_0000000110
Cc1ccc(C(=O)NC2CC23CCC(NC(=O)[C@H]2C[C@H]2F)CC3)[nH]1,pyridazine2pyrrole_0000000111
CNc1c[nH]cc1C(=O)N1CC2CCC2(CCN)C1,pyridazine2pyrrole_0000000112
CCN1CCC(NC(=O)c2ccc(OC)[nH]2)C(F)(F)C1,pyridazine2pyrrole_0000000113
CN(C)C(=O)c1ccc(NC(=O)[C@@H]2CC2(F)F)[nH]1,pyridazine2pyrrole_0000000114
COc1ccc(NC(=O)N2Cc3cccn3C3(CCOCC3)C2)[nH]1,pyridazine2pyrrole_0000000115
CCC(F)(F)CC(=O)N1C[C@@H]2[C@H](C1)[C@H]2NC(=O)c1c[nH]cc1O,pyridazine2pyrrole_0000000116
O=C(NC1CCCCC1CNC(=O)C12CCC1CC2)c1ccc[nH]1,pyridazine2pyrrole_0000000117
