SMILES,ID
c1cocn1,pyrimidine2oxazole_0000000001
Cn1cccc1C(=O)N1CC[C@@H]2CN(C(=O)c3cnco3)CC[C@@H]21,pyrimidine2oxazole_0000000002
NC(=O)NC(=O)CCNC(=O)C1CCc2ocnc2C1,pyrimidine2oxazole_0000000003
[CH2]CC(Cc1cocn1)C(=O)NCCC(=O)NC(N)=O,pyrimidine2oxazole_0000000004
Cc1ncc(-n2ccc(NC(=O)[C@@H](N)CC3CC3)n2)o1,pyrimidine2oxazole_0000000005
Cc1ncco1,pyrimidine2oxazole_0000000006
CC(=O)N1CC2CCC1(CNC(=O)Cc1ncoc1C)CC2,pyrimidine2oxazole_0000000007
Brc1coc(N[C@H]2C[C@@H](c3ccon3)C2)n1,pyrimidine2oxazole_0000000008
Cc1oc(N[C@H]2C[C@@H](c3ccon3)C2)nc1Br,pyrimidine2oxazole_0000000009
CN1CC[C@H](C(=O)NCC2CCCCN2C(=O)c2nc(F)co2)C1,pyrimidine2oxazole_0000000010
Cn1ccc2ncoc21,pyrimidine2oxazole_0000000011
O=C(c1cocn1)N1CCO[C@@H](CNC(=O)C2(F)CC2)C1,pyrimidine2oxazole_0000000012
Cc1ocnc1C(=O)N1CCO[C@@H](CNC(=O)C2(F)CC2)C1,pyrimidine2oxazole_0000000013
O=C1N[C@@H](C(=O)N2CC[C@@H](NC(=O)c3cnco3)[C@H](F)C2)CO1,pyrimidine2oxazole_0000000014
CC1CCOC1CC(=O)NC1CN(C(=O)c2coc(N(C)C)n2)C1,pyrimidine2oxazole_0000000015
CCOC(=O)c1cccc(NC(C)CC(=O)Nc2ncco2)c1,pyrimidine2oxazole_0000000016
CCOC(=O)c1cccc(NC(C)CC(=O)Nc2ncc(C)o2)c1,pyrimidine2oxazole_0000000017
Cc1nc(C)c(-n2cccn2)o1,pyrimidine2oxazole_0000000018
Cc1nc(C)c(N2CCC(N(C)C)C2)o1,pyrimidine2oxazole_0000000019
[CH2]CC(Cc1cocn1)C(=O)N[C@H](Cc1ccncc1)C(=O)O,pyrimidine2oxazole_0000000020
O=C(N[C@H](Cc1ccncc1)C(=O)O)C1CCc2ocnc2C1,pyrimidine2oxazole_0000000021
COCCN1CCCC12CN(C(=O)Nc1nc3nccnc3o1)C2,pyrimidine2oxazole_0000000022
CCc1ocnc1C(=O)N1CCC[C@H](N(C)C(=O)CC(C)(C)O)C1,pyrimidine2oxazole_0000000023
CN(C(=O)CC(C)(C)O)[C@H]1CCCN(C(=O)c2cocn2)C1,pyrimidine2oxazole_0000000024
CC(C)=C(F)CNc1nc2cnn(C(C)(C)C)c2o1,pyrimidine2oxazole_0000000025
CCN(CC1CC(F)(F)C1)C(=O)c1cocn1,pyrimidine2oxazole_0000000026
CCN(CC1CC(F)(F)C1)C(=O)c1ncoc1N,pyrimidine2oxazole_0000000027
CN1CC2(CCN(C(=O)Cc3ncoc3O)C2)OCC1=O,pyrimidine2oxazole_0000000028
[CH2]CN(Cc1coc(N(C)C)n1)CC1(SC)CCC1,pyrimidine2oxazole_0000000029
CSC1(CN2CCc3oc(N(C)C)nc3C2)CCC1,pyrimidine2oxazole_0000000030
CC1(C)CCCC1C(=O)N1CCN(C(=O)c2cnco2)CC(O)C1,pyrimidine2oxazole_0000000031
N#CCOc1ccccc1C(=O)N[C@@H]1C[C@@H]1NC(=O)c1cocn1,pyrimidine2oxazole_0000000032
C[C@@H]1C[C@H]1[C@@H]1C[C@H]1Nc1ncc(NC2CCNCC2)o1,pyrimidine2oxazole_0000000033
C[C@@H]1C[C@H]1[C@@H]1C[C@H]1Nc1ncco1,pyrimidine2oxazole_0000000034
COc1ncc(NC(=O)NC2C(=O)NCC2(C)C)o1,pyrimidine2oxazole_0000000035
COc1cnc(OC)o1,pyrimidine2oxazole_0000000036
[CH2]CN(Cc1nc(CC2CC2)no1)Cc1ncoc1OC,pyrimidine2oxazole_0000000037
c1nc2c(o1)CCN(Cc1nc(CC3CC3)no1)C2,pyrimidine2oxazole_0000000038
CNc1ncc(C(=O)NCC23CC(C(=O)OC)(C2)C3)o1,pyrimidine2oxazole_0000000039
CNc1ncc(C)o1,pyrimidine2oxazole_0000000040
CN(C)c1nc2ocnc2s1,pyrimidine2oxazole_0000000041
CCN1CCC(C(=O)N[C@]2(C)C[C@@H](NC(=O)c3cnco3)C2)C1,pyrimidine2oxazole_0000000042
CC(CN(C)C(=O)C1CC1(F)F)NC(=O)c1cocn1,pyrimidine2oxazole_0000000043
