SMILES,ID
O=C(c1ccncn1)N1CC[C@H]2[C@H](CCN2C(=O)c2ccccn2)C1,pyrrole2pyridine_0000000001
O=C(c1ccncn1)N1CC[C@H]2[C@H](CCN2C(=O)c2cccnc2)C1,pyrrole2pyridine_0000000002
O=C(NCC1C2CNCC21)c1cc2c(Cl)cc(F)cc2cn1,pyrrole2pyridine_0000000003
O=C(NCC1C2CNCC21)c1cnc2cc(F)cc(Cl)c2c1,pyrrole2pyridine_0000000004
CC(C)(F)C(=O)NCC1CC1NC(=O)c1cncc2ccccc12,pyrrole2pyridine_0000000005
CC(C)(F)C(=O)NCC1CC1NC(=O)c1ccnc2ccccc12,pyrrole2pyridine_0000000006
COc1ccc2cnc(C)c(C(=O)N3C[C@H](OC)C[C@H](OC)C3)c2c1,pyrrole2pyridine_0000000007
COc1ccc2ncc(C)c(C(=O)N3C[C@H](OC)C[C@H](OC)C3)c2c1,pyrrole2pyridine_0000000008
C[C@@]1(NC(=O)c2cccnc2)CCN(C(=O)c2nccnc2O)C1,pyrrole2pyridine_0000000009
C[C@@]1(NC(=O)c2ccccn2)CCN(C(=O)c2nccnc2O)C1,pyrrole2pyridine_0000000010
O=C(c1cccnc1)N1C[C@@H](O)[C@@H](O)CC2(CC2)C1,pyrrole2pyridine_0000000011
O=C(c1ccccn1)N1C[C@@H](O)[C@@H](O)CC2(CC2)C1,pyrrole2pyridine_0000000012
CC(NC(=O)c1cccnc1)C(C)NC(=O)c1ccnn(C)c1=O,pyrrole2pyridine_0000000013
CC(NC(=O)c1ccccn1)C(C)NC(=O)c1ccnn(C)c1=O,pyrrole2pyridine_0000000014
Cc1ncccc1C(=O)N1CCC(C)(NC(=O)CC2CNC(=O)C2)CC1,pyrrole2pyridine_0000000015
Cc1cnccc1C(=O)N1CCC(C)(NC(=O)CC2CNC(=O)C2)CC1,pyrrole2pyridine_0000000016
CO[C@@H]1C[C@H](OC(C)(C)C)CN(C(=O)c2ncnc3cnccc23)C1,pyrrole2pyridine_0000000017
CO[C@@H]1C[C@H](OC(C)(C)C)CN(C(=O)c2ncnc3ncccc23)C1,pyrrole2pyridine_0000000018
O=C(CC1CCCC1)N1CCN(C(=O)c2ccncc2)CC2(CC2)C1,pyrrole2pyridine_0000000019
O=C(CC1CCCC1)N1CCN(C(=O)c2cccnc2)CC2(CC2)C1,pyrrole2pyridine_0000000020
O=C(NC1CNC2(CCC2)C1)c1ccnc2ccc(Br)cc12,pyrrole2pyridine_0000000021
O=C(NC1CNC2(CCC2)C1)c1cncc2ccc(Br)cc12,pyrrole2pyridine_0000000022
O=C(NC[C@@H]1C[C@H]1NC(=O)[C@H]1CC1(F)F)c1nccc2ccncc12,pyrrole2pyridine_0000000023
O=C(NC[C@@H]1C[C@H]1NC(=O)[C@H]1CC1(F)F)c1nccc2cccnc12,pyrrole2pyridine_0000000024
O=C(CCc1cscn1)N[C@@H]1CCN(C(=O)c2cccnc2)C1,pyrrole2pyridine_0000000025
O=C(CCc1cscn1)N[C@@H]1CCN(C(=O)c2ccccn2)C1,pyrrole2pyridine_0000000026
Cc1cc(F)ccc1C(=O)NC[C@@H]1C[C@H]1CNC(=O)c1cccnc1,pyrrole2pyridine_0000000027
Cc1cc(F)ccc1C(=O)NC[C@@H]1C[C@H]1CNC(=O)c1ccncc1,pyrrole2pyridine_0000000028
CN(C(=O)c1cccnc1)[C@H]1CCCN(C(=O)c2ccnn2C)C1,pyrrole2pyridine_0000000029
CN(C(=O)c1ccccn1)[C@H]1CCCN(C(=O)c2ccnn2C)C1,pyrrole2pyridine_0000000030
CC(C)NC(=O)N1CCC(C(=O)NCc2ccnc3ccccc23)CC1,pyrrole2pyridine_0000000031
CC(C)NC(=O)N1CCC(C(=O)NCc2cncc3ccccc23)CC1,pyrrole2pyridine_0000000032
CC1(C(=O)N[C@H]2CC[C@H]2CNC(=O)c2ccc(C#N)cn2)CCOCC1,pyrrole2pyridine_0000000033
CC1(C(=O)N[C@H]2CC[C@H]2CNC(=O)c2ccc(C#N)nc2)CCOCC1,pyrrole2pyridine_0000000034
CCC(CN(C)C(=O)c1cnccc1C)NC(=O)c1cnn(C)c1N,pyrrole2pyridine_0000000035
CCC(CN(C)C(=O)c1ncccc1C)NC(=O)c1cnn(C)c1N,pyrrole2pyridine_0000000036
CN(CC1CCCOC1c1ccccc1)C(=O)c1ccnc(C(N)=O)c1,pyrrole2pyridine_0000000037
CN(CC1CCCOC1c1ccccc1)C(=O)c1cncc(C(N)=O)c1,pyrrole2pyridine_0000000038
CCC(C)(C)c1cn([C@@H]2CCN(C(=O)c3cccnc3)C[C@H]2O)nn1,pyrrole2pyridine_0000000039
CCC(C)(C)c1cn([C@@H]2CCN(C(=O)c3ccccn3)C[C@H]2O)nn1,pyrrole2pyridine_0000000040
CN(CC1(C)COC1)C(=O)c1cc(S(=O)(=O)N(C)C)ccn1,pyrrole2pyridine_0000000041
CN(CC1(C)COC1)C(=O)c1cncc(S(=O)(=O)N(C)C)c1,pyrrole2pyridine_0000000042
