SMILES,ID
CC(C)(O)c1cnc(NC(=O)COCC2CCC2)o1,thiazole2oxazole_0000000001
CCN(CC(C)(C)O)C(=O)C1CCCN(c2ncco2)C1,thiazole2oxazole_0000000002
COCC(=O)N1C[C@H](C)C[C@@H](NC(=O)c2nc(Cl)oc2C)C1,thiazole2oxazole_0000000003
Cc1cc2c(s1)CCN(C(=O)NCc1ncc(C(N)=O)o1)C2,thiazole2oxazole_0000000004
CNc1cnncc1C(=O)NCCc1nc(C)co1,thiazole2oxazole_0000000005
CCn1cccc1C(=O)N1CC[C@@H](NC(=O)CCc2cocn2)C1,thiazole2oxazole_0000000006
CC(=O)c1cc(C(=O)Nc2nc3c(o2)CCC3=O)oc1C,thiazole2oxazole_0000000007
Cc1nc(C(=O)N2CC(F)(CNC(=O)Cc3cnoc3)C2)co1,thiazole2oxazole_0000000008
CCOCc1nc(C(=O)NC(C(=O)NC)C(C)C)co1,thiazole2oxazole_0000000009
CCc1nc(CC(=O)N2CC(NC(=O)CSC)CC2C)co1,thiazole2oxazole_0000000010
CCN(Cc1coc(CC(=O)OC(C)C)n1)C1CNC1,thiazole2oxazole_0000000011
CC(C)(O)c1coc(NC(=O)CC2CNCC23CC3)n1,thiazole2oxazole_0000000012
CCC1CCCN1C(=O)Nc1nc2c(o1)C(=O)NCCC2,thiazole2oxazole_0000000013
CCOC(=O)c1ccc2nc(NC(=O)C3OCC3(C)C)oc2c1,thiazole2oxazole_0000000014
Cc1nc(C(=O)N2CC3CC2CN(C(=O)CC(F)F)C3)c(C)o1,thiazole2oxazole_0000000015
CCc1nc(C(=O)NCC(C)NC(=O)c2c(C)coc2C)co1,thiazole2oxazole_0000000016
CN1C[C@@H](CC(=O)N[C@@H]2CC[C@H]2NC(=O)c2cnco2)[C@H](O)C1,thiazole2oxazole_0000000017
CCc1nc(C(=O)N(C)[C@@H]2CCCN(C(=O)C(O)CC)C2)co1,thiazole2oxazole_0000000018
COCC(=O)N1CC(NC(=O)c2cnc(-c3cccs3)o2)C1,thiazole2oxazole_0000000019
CC(C)(C(=O)N1CC(NC(=O)[C@H]2CC2(C)C)C1)c1cnco1,thiazole2oxazole_0000000020
O=C(NC1CN(C(=O)CCc2cnco2)C1)c1n[nH]cc1F,thiazole2oxazole_0000000021
CCOC(=O)c1oc(CNC(=O)[C@@H]2C[C@H]2COC)nc1C,thiazole2oxazole_0000000022
C[C@@H](CCNC(=O)c1cnc(Cl)o1)NC(=O)C12CC(C1)C2,thiazole2oxazole_0000000023
Cc1nc2ccc(C(=O)NCC3(N)CC(F)(F)C3)cc2o1,thiazole2oxazole_0000000024
Cc1nc(CC(=O)N2CCN(C(=O)Cc3cocn3)CC2C)c[nH]1,thiazole2oxazole_0000000025
COc1ncc(C(=O)N[C@H]2CN(C(=O)C(C)(C)C)C[C@H]2OC)o1,thiazole2oxazole_0000000026
CN(CCn1cncn1)C(=O)Cc1coc(C2CCNCC2)n1,thiazole2oxazole_0000000027
CC(C)C(O)C(C)NC(=O)c1cnc(C2(C)OCCO2)o1,thiazole2oxazole_0000000028
CO[C@@H]1[C@@H](NC(C)c2nc(C)co2)COC1(C)C,thiazole2oxazole_0000000029
