,oxazole,thiazole,pyridazine,imidazole,pyridine,isoxazole,pyrazine,pyrazole,pyrrole,pyrimidine,furan
oxazole,0.0,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031
thiazole,0.000408,0.0,0.000408,0.000408,0.000408,0.000408,0.000408,0.000408,0.000408,0.000408,0.000408
pyridazine,0.00019,0.00019,0.0,0.00019,0.000242,0.00019,0.000121,0.00019,0.000121,0.000242,0.000121
imidazole,0.000511,0.000511,0.000511,0.0,0.000511,0.000511,0.00051,0.000554,0.000554,0.000511,0.00051
pyridine,0.002251,0.00225,0.002882,0.002251,0.0,0.00243,0.001487,0.002431,0.002882,0.002842,0.002882
isoxazole,0.000443,0.000443,0.000443,0.000443,0.000443,0.0,0.000443,0.000443,0.000443,0.000443,0.000443
pyrazine,0.000465,0.000465,0.000288,0.000465,0.000288,0.000465,0.0,0.000465,0.000288,0.000509,0.000395
pyrazole,0.001365,0.001365,0.001363,0.001452,0.001365,0.001365,0.00136,0.0,0.001452,0.001365,0.001452
pyrrole,0.000751,0.000751,0.00052,0.0008,0.001038,0.000721,0.00052,0.000767,0.0,0.001038,0.00052
pyrimidine,0.000628,0.000628,0.000748,0.000628,0.000748,0.000627,0.000672,0.000627,0.000747,0.0,0.000747
furan,0.000861,0.000861,0.000531,0.000861,0.001062,0.000767,0.000531,0.000767,0.000531,0.001062,0.0
