SMILES,ID
C[C@H]1C[C@]1(C)C(=O)N1C2CCC1CN(C(=O)c1ncncc1N)CC2,PV-009413412445
C[C@H]1C[C@]1(C)C(=O)N1C2CCC1CN(C(=O)c1ccncn1)CC2,PV-009413412445
CN(C)c1cc(CNC(=O)C2CCC3(CCOCC3)C2)ncn1,Z7599405083
CN(C)c1nccc(CNC(=O)C2CCC3(CCOCC3)C2)n1,Z7599405083
Cc1ncc(C(=O)N(CCNC(=O)C2CCC23CCC3)C(C)C)cn1,PV-003372265647
Cc1ccncn1,PV-003372265647
CC(=O)NCc1cncnc1CNC(=O)C1CC(C)(C)OC(C)(C)C1,PV-008924773078
CC1(C)CC(C(=O)NCc2ncccn2)CC(C)(C)O1,PV-008924773078
Cc1ccnc(O)n1,PV-002981878182
Cc1ncnc(O)c1C(=O)NCC(C)N(C)C(=O)[C@H]1CCCCN1C,PV-002981878182
C[C@@H](CS(N)(=O)=O)NC(=O)CCc1cncnc1,PV-002426112011
c1cncnc1,PV-002426112011
CCOc1nccc(C(=O)NC(C)C(Cc2ccccc2)C(=O)O)n1,Z2296056839
CCOc1cc(C(=O)NC(C)C(Cc2ccccc2)C(=O)O)ncn1,Z2296056839
CC1(NC(=O)C2CCCC2)CN(C(=O)c2ccc3cncnc3n2)C1,PV-002723218232
CC1(NC(=O)C2CCCC2)CN(C(=O)c2ncc3cccnc3n2)C1,PV-002723218232
COCc1cnc(C(=O)N(C)c2c(C)noc2C)nc1,Z4310670303
Cc1noc(C)c1N(C)C(=O)c1ccncn1,Z4310670303
Oc1ncccn1,PV-009916832982
CC1(C(=O)NC[C@H]2CCCCN2C(=O)Cc2cncnc2O)COC1,PV-009916832982
CCc1ncnc(C)c1NC(=O)NCC1(C2CC2)OCCO1,PV-009950891797
CCc1nccc(C)n1,PV-009950891797
COc1ncncc1NC(=O)Nc1cn(CC(F)F)nc1C,PV-009431587561
COc1ncc(C)cn1,PV-009431587561
COC(=O)c1cnc(C(=O)N2C[C@H](F)[C@H](NC(C)=O)C2)nc1,PV-009518646539
CC(=O)N[C@@H]1CN(C(=O)c2ncncc2N)C[C@@H]1F,PV-009518646539
CCN(C(=O)c1nccc(N)n1)C(C)CS(C)(=O)=O,Z2825177493
CCN(C(=O)c1cc(N)ncn1)C(C)CS(C)(=O)=O,Z2825177493
CCOC(=O)[C@@H]1C[C@H]1CS(=O)(=O)NCC(C)c1ncccn1,"""""""|&1:5"""
CCOC(=O)[C@@H]1C[C@H]1CS(=O)(=O)NCC(C)c1ccncn1,"""""""|&1:5"""
CC(C)n1nccc1CNC1CCN(c2ncncc2Cl)C1,Z1949729604
CC(C)n1nccc1CNC1CCN(c2ncccn2)C1,Z1949729604
COc1ccnc(C(=O)N(C)CC(=O)NCc2ccccc2)n1,Z7591685372
COc1ncc(OC)c(C(=O)N(C)CC(=O)NCc2ccccc2)n1,Z7591685372
COCCN(C)c1cnc(NC(=O)N[C@@H]2C[C@H]3C[C@@H]2[C@@H](O)C3)nc1,"""""""|&1:14"""
O=C(Nc1ccncn1)N[C@@H]1C[C@H]2C[C@@H]1[C@@H](O)C2,"""""""|&1:14"""
CCN(CC)C1CN(C(=O)c2cc3ncncc3cc2F)C1,Z4219965874
CC1(C(=O)N[C@@H]2CCC[C@@H](NC(=O)[C@@H]3C[C@H]3c3cncnc3)C2)CC1,"""""""|&1:5"""
c1cncnc1,"""""""|&1:5"""
O=C([N]CCc1ncc(F)cn1)[C@H]1Cc2ccc(Cl)cc2CN1,Z6405830021
O=C([C@H]1Cc2ccc(Cl)cc2CN1)N1CCc2ncncc21,Z6405830021
CC1(NC(=O)c2ncncc2O)CN(C(=O)c2c(F)cccc2F)C1,PV-003478676474
CC1(NC(=O)c2ncccn2)CN(C(=O)c2c(F)cccc2F)C1,PV-003478676474
COC(=O)[C@H](NCc1ncc2ccc(Cl)cc2n1)[C@@H](C)O,Z6133013720
C[C@@H]1C[C@H]1C(=O)N1CCN(C(=O)c2ncc3ccccc3n2)[C@@H](C)C1,"""""""|&1:1"""
Cc1scc(CNC(=O)c2ncncc2N(C)C)c1C,Z7595288116
Cc1scc(CNC(=O)c2ccncn2)c1C,Z7595288116
Cc1nc(C(=O)NC[C@H](C)CNC(=O)[C@@H]2CC2(F)F)ncc1N,PV-003312972592
Cc1cc(C(=O)NC[C@H](C)CNC(=O)[C@@H]2CC2(F)F)ncn1,PV-003312972592
NS(=O)(=O)c1ccnc(C(=O)N2CCC3(CC2)COC3)n1,PV-008741977765
NS(=O)(=O)c1cc(C(=O)N2CCC3(CC2)COC3)ncn1,PV-008741977765
[CH2]CCCc1ccnc(CN2CCC(C(C#N)C(=O)OC)CC2)n1,Z3533255034
COC(=O)C(C#N)C1CCN(Cc2ncnc3c2CCCC3)CC1,Z3533255034
COc1ncc(Br)cn1,Z5459907553
COc1ncncc1NC(=O)C[C@H]1CCCN1C,Z5459907553
Cc1ncncc1CC(=O)NCC1(C)CCN(C(=O)c2ccoc2)C1,PV-001693247051
Cc1ncccn1,PV-001693247051
O=C(NC[C@@H]1C[C@H]1NC(=O)[C@H]1CC1(F)F)c1ncnc2cc[nH]c12,"""""""|&1:4"""
CCn1nncc1CNC(=O)Nc1nccc(SC)n1,Z3607065065
CCn1nncc1CNC(=O)Nc1cc(SC)ncn1,Z3607065065
CNC(=O)c1ccncn1,Z2722794331
CNC(=O)c1ncc(C(=O)N2CCC(c3ccc(O)cc3)C2)cn1,Z2722794331
Cc1cc(N(C)C(=O)C23CCC(CC2)C(=O)C3)ncn1,Z4295956759
Cc1ccnc(N(C)C(=O)C23CCC(CC2)C(=O)C3)n1,Z4295956759
O=C(O)CC1CSCCN1C(=O)c1ccnc(OCC(F)F)n1,Z2910240208
O=C(O)CC1CSCCN1C(=O)c1nccc(OCC(F)F)n1,Z2910240208
[CH2]CN(Cc1ccnc(OC)n1)C(C(N)=O)c1ccc(F)cc1,Z7465895998
COc1ncnc2c1CCN(C(C(N)=O)c1ccc(F)cc1)C2,Z7465895998
Oc1ccncn1,Z7552244980
CCOc1nnc(CNC(C)c2cncnc2O)s1,Z7552244980
CCN1CCC(N(C)C(=O)c2ncc(OC)cn2)CC1C,Z2771330412
CCN1CCC(N(C)C(=O)c2ncncc2F)CC1C,Z2771330412
CCn1ncnc1N1CCC(Cc2cncnc2)CC1,Z3076569960
c1cncnc1,Z3076569960
COc1cnc(C)nc1C(=O)N1C[C@H](NC(=O)[C@@H]2C[C@@H]2F)CC[C@H]1C,"""""""|&1:13"""
