NAME,SMARTS
pyridazine2pyridine,[n;D2:1]1[n;D2:2][c:3][c:4][c:5][c:6]1>>[n;D2:1]1[c][c:3][c:4][c:5][c:6]1.[n;D2:2]
pyridazine2pyrimidine,[n;D2:1]1[n;D2:2][c:3][c:4][c:5][c:6]1>>[n;D2:1]1[c:3][n;D2:2][c:4][c:5][c:6]1
pyridazine2pyrazine,[n;D2:1]1[n;D2:2][c:3][c:4][c:5][c:6]1>>[n;D2:1]1[c:3][c:4][n;D2:2][c:5][c:6]1
pyridazine2pyrrole,[n;D2:1]1[n;D2:2][c:3][c:4][c:5][c:6]1>>[nH]1[c:3][c:4][c:5][c:6]1.[n;D2:1][n;D2:2]
pyridazine2pyrazole,[n;D2:1]1[n;D2:2][c:3][c:4][c:5][c:6]1>>[n;D2:2]1[nH][c:3][c:4][c:5]1.[n;D2:1][c:6]
pyridazine2imidazole,[n;D2:1]1[n;D2:2][c:3][c:4][c:5][c:6]1>>[n;D2:2]1[c:3][nH][c:4][c:5]1.[n;D2:1][c:6]
pyridazine2thiazole,[n;D2:1]1[n;D2:2][c:3][c:4][c:5][c:6]1>>[n;D2:2]1[c:3][s][c:4][c:5]1.[n;D2:1][c:6]
pyridazine2oxazole,[n;D2:1]1[n;D2:2][c:3][c:4][c:5][c:6]1>>[n;D2:2]1[c:3][o][c:4][c:5]1.[n;D2:1][c:6]
pyridazine2isoxazole,[n;D2:1]1[n;D2:2][c:3][c:4][c:5][c:6]1>>[n;D2:2]1[o][c:3][c:4][c:5]1.[n;D2:1][c:6]
pyridazine2furan,[n;D2:1]1[n;D2:2][c:3][c:4][c:5][c:6]1>>[o]1[c:3][c:4][c:5][c:6]1.[n;D2:1][n;D2:2]
