SMILES,ID
Cc1cc(C(N)=O)ncc1Br,Z3244849649
CNC(=O)c1ncccc1Br,Z1948397963
CCNCc1ncccc1Br,Z3244711994
NC(=O)Cc1ccc(Br)cn1,Z3241252480
Cc1ncc(Br)cc1C(N)=O,Z3244657030
Cc1cnc(C(N)=O)cc1Br,Z3241253496
NCCNc1cncc(Br)c1,Z2368167185
OCCNc1cc(Br)ccn1,Z1730497804
CCNC(=O)c1ccncc1Br,Z1431487001
Cc1cccnc1SCC(C)O,Z2095674556
Cc1ccc(SCC(C)O)nc1,Z1913725321
CC(O)CNc1ccncc1F,Z1590668777
CC(CO)Nc1ccncc1F,Z1590686180
CC(=O)NCc1ccc(Cl)cn1,Z1593804563
c1cc(CNC2CSC2)ccn1,Z1832173531
c1cncc(CNC2CSC2)c1,Z1642189456
c1ccc(CNC2CSC2)nc1,Z1784009740
CNc1nc(C)c(C#N)cc1Cl,Z2185549185
Cc1nccc(NCCO)c1Cl,Z1983335012
Cc1nccc(NCCN)c1Cl,Z2368169107
Cc1cc(NCCN)cnc1C,Z2087721397
CNS(=O)(=O)c1cncc(C)c1,Z3337682405
CNS(=O)(=O)c1cnccc1C,Z2274936721
CNS(=O)(=O)c1cccnc1C,Z2066919089
Cc1cc(NCCO)cc(C)n1,Z2012053150
CS(=O)(=O)Nc1cncc(F)c1,Z1990122063
CNC(=O)Nc1cncc(F)c1,Z1991293098
NC1CN(c2cncc(Br)c2)C1,Z3909757060
CC(C)OC(=O)c1cc[nH]c(=O)c1,Z1452194682
COc1cc(C)c(NC(C)=O)cn1,Z3235020057
Cc1cc(C)nc(NS(C)(=O)=O)c1,Z1729687735
CNC(=O)NCCc1ccccn1,Z177090700
CCC(=O)NCc1cc(Cl)ccn1,Z1574553476
CCOc1cccnc1NC(C)=O,Z3235599238
CCNC(=O)NCc1cccnc1,Z44591927
O=C(NC1CC1)c1cncc(Cl)c1,Z2256697996
COc1nccc(C)c1NC(C)=O,Z1509148453
COC(=O)c1cc(C)c(C)[nH]c1=O,Z3223561135
CCOc1cccc(NC(C)=O)n1,Z1318884403
CCNC(=O)NCc1ccncc1,Z44591891
CCNC(=O)NCc1ccccn1,Z44591855
COc1cccc(CNC(C)=O)n1,Z963734244
CCCNC(=O)Nc1cccnc1,Z44592349
COC(=O)c1c(C)cc(=O)[nH]c1C,Z1334566327
CCOc1ccnc(NC(C)=O)c1,Z1509203107
COC(=O)NCc1cccc(C)n1,Z773498038
CC(=O)N[C@H](C)c1ccc(F)cn1,Z2911510234
CC(C)NC(=O)Nc1ccncc1,Z371876494
O=C(Nc1ccncc1)OCCF,Z1509203609
O=C(Nc1cccnc1)OCCF,Z1509203602
O=C(Nc1ccccn1)OCCF,Z1509203601
COCC(=O)Nc1ccc(Cl)cn1,Z71484955
CCOc1ccc(C(=O)NC)cn1,Z454090380
N#Cc1ccnc(NCC(F)F)c1,Z2091470879
N#Cc1cccc(NCC(F)F)n1,Z1365737605
N#Cc1ccc(NCC(F)F)nc1,Z1365737350
