SMILES,ID
CNC(=O)c1ncccc1Br,Z1948397963
CCNCc1ncccc1Br,Z3244711994
NC(=O)Cc1ccc(Br)cn1,Z3241252480
Cc1ncc(Br)cc1C(N)=O,Z3244657030
NCCNc1cncc(Br)c1,Z2368167185
Cc1cccnc1SCC(C)O,Z2095674556
Cc1ccc(SCC(C)O)nc1,Z1913725321
CC(=O)NCc1ccc(Cl)cn1,Z1593804563
c1cncc(CNC2CSC2)c1,Z1642189456
c1ccc(CNC2CSC2)nc1,Z1784009740
CNc1nc(C)c(C#N)cc1Cl,Z2185549185
Cc1cc(NCCN)cnc1C,Z2087721397
CNS(=O)(=O)c1cncc(C)c1,Z3337682405
CNS(=O)(=O)c1cccnc1C,Z2066919089
CS(=O)(=O)Nc1cncc(F)c1,Z1990122063
CNC(=O)Nc1cncc(F)c1,Z1991293098
NC1CN(c2cncc(Br)c2)C1,Z3909757060
CNC(=O)NCCc1ccccn1,Z177090700
CCOc1cccnc1NC(C)=O,Z3235599238
CCNC(=O)NCc1cccnc1,Z44591927
O=C(NC1CC1)c1cncc(Cl)c1,Z2256697996
COC(=O)c1cc(C)c(C)[nH]c1=O,Z3223561135
CCOc1cccc(NC(C)=O)n1,Z1318884403
CCNC(=O)NCc1ccccn1,Z44591855
COc1cccc(CNC(C)=O)n1,Z963734244
CCCNC(=O)Nc1cccnc1,Z44592349
COC(=O)NCc1cccc(C)n1,Z773498038
CC(=O)N[C@H](C)c1ccc(F)cn1,Z2911510234
O=C(Nc1cccnc1)OCCF,Z1509203602
O=C(Nc1ccccn1)OCCF,Z1509203601
COCC(=O)Nc1ccc(Cl)cn1,Z71484955
CCOc1ccc(C(=O)NC)cn1,Z454090380
N#Cc1cccc(NCC(F)F)n1,Z1365737605
N#Cc1ccc(NCC(F)F)nc1,Z1365737350
N#Cc1cccnc1NCC(F)F,Z1365737113
CCOC(=O)c1c[nH]c(=O)c(C)c1,Z3241253200
CNC(=O)c1ccc(OC)nc1C,Z1486008387
CC(=O)N[C@@H](C)c1ccc(F)cn1,Z2911412113
Cc1cccc(NCC(C)(C)N)n1,Z2368423627
CC(C)(N)CNc1ccc(F)cn1,Z2368423842
CC(C)(C)NCc1ccc(N)cn1,Z3239531494
Cc1ccc(NC2CC(N)C2)cn1,Z3239346979
Cc1ccc(NC2CCNC2)cn1,Z2354910957
CCS(=O)(=O)Nc1ccc(C)nc1,Z1729682866
CCOC(=O)Nc1ccc(C)nc1,Z1467777204
COCC(=O)Nc1ccc(C)nc1,Z1460844609
CNCC(=O)Nc1ccc(C)nc1,Z2452465172
C[C@H](NS(C)(=O)=O)c1ccccn1,Z910041540
C[C@@H](NS(C)(=O)=O)c1cccnc1,Z910045844
C[C@H](NS(C)(=O)=O)c1cccnc1,Z1155956886
CNC1CCCc2[nH]c(=O)ccc21,Z1437174028
