SMILES,ID
COc1nc(C)c(Br)c(C)n1,Z3800278302
Brc1cc(N2CCC2)ncn1,Z2066094070
Brc1cncnc1N1CCC1,Z1439170087
CNC(C)c1ncc(Br)cn1,Z2215808074
CC1CN(c2ncncc2Br)C1,Z1823599418
CC1CN(c2ncc(Br)cn2)C1,Z1702862166
CC(CF)Nc1ncncc1Cl,Z2143593126
CC(CF)Nc1ncc(Cl)cn1,Z2143591678
CC(=O)Nc1nc(Cl)ncc1F,Z2180265380
CCCc1nc2ccsc2c(=O)[nH]1,Z666620200
c1nc(NC2CC2)c2cc[nH]c2n1,Z1039058832
CC(Nc1cc(F)ncn1)C1CC1,Z2610491584
Fc1cc(NCC2CCC2)ncn1,Z2610712772
Fc1cc(NCC(F)(F)F)ncn1,Z2698855218
Fc1cc(NC2CCCC2)ncn1,Z2610295944
CC1(C)CC1Nc1cc(F)ncn1,Z2610905047
Cc1cc(NCC(F)F)nc(C)n1,Z1365737652
Cc1cc(C)nc(NCC(F)F)n1,Z1365737748
CCc1nc2scc(C)c2c(=O)[nH]1,Z666590732
CN(CC(F)F)c1ncncc1Cl,Z1815659211
CN(CC(F)F)c1ncc(Cl)cn1,Z1333164231
CCCNC(=O)c1ncncc1Cl,Z1344918824
CCNC(=O)c1nc(C)ncc1Cl,Z1250591408
CCN(C)C(=O)Nc1ccncn1,Z1833655373
CCCN(C)c1ncc(Cl)c(=O)[nH]1,Z2090175125
OCc1cccc(-c2ccncn2)c1,Z3244924212
O=C(Nc1nccc(Cl)n1)C1CCC1,Z1948037886
Cc1ncnc(NCC(F)(F)F)c1F,Z2698854187
Cc1cc(Cl)nc(NC(=O)C2CC2)n1,Z1948047262
O=C(Nc1cc(Cl)ncn1)C1CCC1,Z1947964432
O=C(Nc1cncnc1)N1CCCC1,Z1701097650
CCN(CC)C(=O)Nc1cncnc1,Z1701104256
CCc1ccc2nc(C)[nH]c(=O)c2c1,Z951212652
CCc1nc2cc(F)ccc2c(=O)[nH]1,Z666705166
CCc1nc2cccc(F)c2c(=O)[nH]1,Z1135599097
Cc1nc2c(C)cc(F)cc2c(=O)[nH]1,Z1741871448
O=C(NC1CCCC1)c1ncccn1,Z1230118273
CN(C)Cc1nc2ccccc2c(=O)[nH]1,Z44507775
NCc1ncc(-c2cccc(F)c2)cn1,Z3237473943
NCc1ncc(-c2ccc(F)cc2)cn1,Z3236276080
Cc1cccc(-c2cnc(CN)nc2)c1,Z3237473574
NCc1ncc(-c2ccccc2F)cn1,Z3237473192
Cc1ccccc1-c1cnc(CN)nc1,Z3237473191
Cc1ccc(-c2cnc(CN)nc2)cc1,Z3237472993
FC(F)(F)C1(NCc2ncccn2)CC1,Z1968140473
FC(F)(F)C1(NCc2cncnc2)CC1,Z1968137706
FC(F)(F)C1(NCc2ccncn2)CC1,Z1968137220
CC(C)NCc1nc2ccccc2c(=O)[nH]1,Z44487659
Cc1ccnc(CN2CCC(C(F)F)C2)n1,Z1535922540
O=C(Nc1cncnc1)c1ccc(F)cc1,Z1698993584
CC1CCN(C(=O)Nc2cncnc2)CC1,Z1701103286
CC1CCCN(C(=O)Nc2cncnc2)C1,Z1701121127
O=C(Nc1cncnc1)N1CCCCCC1,Z1701103226
O=C(Nc1cncnc1)c1ccccc1F,Z1698996765
COc1ccc(-c2cnc(=O)[nH]c2)cc1C,Z3241482962
O=C(Nc1cncnc1)c1cccc(F)c1,Z1698989627
