SMILES,ID
C[C@H]1C[C@]1(C)C(=O)N1C2CCC1CN(C(=O)c1ccoc1N)CC2,PV-009413412445
C[C@H]1C[C@]1(C)C(=O)N1C2CCC1CN(C(=O)c1cocc1N)CC2,PV-009413412445
O=C(NCc1ccoc1)C1CCC2(CCOCC2)C1,Z7599405083
CN(C)c1cc(CNC(=O)C2CCC3(CCOCC3)C2)co1,Z7599405083
CC(C)N(CCNC(=O)C1CCC12CCC2)C(=O)c1ccoc1,PV-003372265647
Cc1ccc(C(=O)N(CCNC(=O)C2CCC23CCC3)C(C)C)o1,PV-003372265647
CC(=O)NCc1ccco1,PV-008924773078
CC(=O)NCc1ccoc1CNC(=O)C1CC(C)(C)OC(C)(C)C1,PV-008924773078
Cc1ccoc1C(=O)NCC(C)N(C)C(=O)[C@H]1CCCCN1C,PV-002981878182
Cc1coc(O)c1C(=O)NCC(C)N(C)C(=O)[C@H]1CCCCN1C,PV-002981878182
C[C@@H](CS(N)(=O)=O)NC(=O)CCc1ccoc1,PV-002426112011
C[C@@H](CS(N)(=O)=O)NC(=O)CCc1ccco1,PV-002426112011
CC(NC(=O)c1ccoc1)C(Cc1ccccc1)C(=O)O,Z2296056839
CCOc1cc(C(=O)NC(C)C(Cc2ccccc2)C(=O)O)co1,Z2296056839
c1cnc2occc2c1,PV-002723218232
CC1(NC(=O)C2CCCC2)CN(C(=O)c2ccc3ccoc3n2)C1,PV-002723218232
COCc1ccoc1,Z4310670303
COCc1ccc(C(=O)N(C)c2c(C)noc2C)o1,Z4310670303
CC1(C(=O)NC[C@H]2CCCCN2C(=O)Cc2ccoc2O)COC1,PV-009916832982
CC1(C(=O)NC[C@H]2CCCCN2C(=O)Cc2ccco2)COC1,PV-009916832982
Cc1ccoc1NC(=O)NCC1(C2CC2)OCCO1,PV-009950891797
CCc1occ(C)c1NC(=O)NCC1(C2CC2)OCCO1,PV-009950891797
COc1oc(C)cc1NC(=O)Nc1cn(CC(F)F)nc1C,PV-009431587561
Cc1coc(NC(=O)Nc2cn(CC(F)F)nc2C)c1,PV-009431587561
COC(=O)c1coc(N)c1,PV-009518646539
COC(=O)c1cc(N)c(C(=O)N2C[C@H](F)[C@H](NC(C)=O)C2)o1,PV-009518646539
CCN(C(=O)c1cc(N)co1)C(C)CS(C)(=O)=O,Z2825177493
Nc1ccoc1,Z2825177493
c1ccoc1,"""""""|&1:5"""
CCOC(=O)[C@@H]1C[C@H]1CS(=O)(=O)NCC(C)c1ccco1,"""""""|&1:5"""
Clc1ccco1,Z1949729604
CC(C)n1nccc1CNC1CCN(c2occc2Cl)C1,Z1949729604
COc1ccc(OC)o1,Z7591685372
COc1ccoc1C(=O)N(C)CC(=O)NCc1ccccc1,Z7591685372
COCCN(C)c1ccc(NC(=O)N[C@@H]2C[C@H]3C[C@@H]2[C@@H](O)C3)o1,"""""""|&1:14"""
COCCN(C)c1ccoc1,"""""""|&1:14"""
CCN(CC)C1CN(C(=O)c2cc3cocc3cc2F)C1,Z4219965874
CCN(CC)C1CN(C(=O)c2cc3ccoc3cc2F)C1,Z4219965874
CC1(C(=O)N[C@@H]2CCC[C@@H](NC(=O)[C@@H]3C[C@H]3c3ccco3)C2)CC1,"""""""|&1:5"""
CC1(C(=O)N[C@@H]2CCC[C@@H](NC(=O)[C@@H]3C[C@H]3c3ccoc3)C2)CC1,"""""""|&1:5"""
O=C([C@H]1Cc2ccc(Cl)cc2CN1)N1CCc2oc(F)cc21,Z6405830021
[CH2]CN(C(=O)[C@H]1Cc2ccc(Cl)cc2CN1)c1cc(F)co1,Z6405830021
CC1(NC(=O)c2occc2O)CN(C(=O)c2c(F)cccc2F)C1,PV-003478676474
Oc1ccco1,PV-003478676474
Clc1ccc2ccoc2c1,Z6133013720
C[C@@H]1C[C@H]1C(=O)N1CCN(C(=O)c2cc3ccccc3o2)[C@@H](C)C1,"""""""|&1:1"""
c1ccc2cocc2c1,"""""""|&1:1"""
Cc1scc(CNC(=O)c2cocc2N(C)C)c1C,Z7595288116
Cc1scc(CNC(=O)c2ccoc2N(C)C)c1C,Z7595288116
Cc1cocc1N,PV-003312972592
Cc1cc(C(=O)NC[C@H](C)CNC(=O)[C@@H]2CC2(F)F)oc1N,PV-003312972592
NS(=O)(=O)c1ccoc1,PV-008741977765
NS(=O)(=O)c1coc(C(=O)N2CCC3(CC2)COC3)c1,PV-008741977765
COC(=O)C(C#N)C1CCN(Cc2occ3c2CCCC3)CC1,Z3533255034
c1cc2c(o1)CCCC2,Z3533255034
CN1CCC[C@@H]1CC(=O)Nc1cc(Br)co1,Z5459907553
COc1oc(Br)cc1NC(=O)C[C@H]1CCCN1C,Z5459907553
Cc1occc1CC(=O)NCC1(C)CCN(C(=O)c2ccoc2)C1,PV-001693247051
CC1(CNC(=O)Cc2ccco2)CCN(C(=O)c2ccoc2)C1,PV-001693247051
c1cc2ccoc2[nH]1,"""""""|&1:4"""
O=C(NC[C@@H]1C[C@H]1NC(=O)[C@H]1CC1(F)F)c1occ2cc[nH]c12,"""""""|&1:4"""
CSc1ccoc1,Z3607065065
CCn1nncc1CNC(=O)Nc1cc(SC)co1,Z3607065065
CNC(=O)c1ccc(C(=O)N2CCC(c3ccc(O)cc3)C2)o1,Z2722794331
O=C(c1ccoc1)N1CCC(c2ccc(O)cc2)C1,Z2722794331
Cc1coc(N(C)C(=O)C23CCC(CC2)C(=O)C3)c1,Z4295956759
Cc1ccoc1,Z4295956759
O=C(O)CC1CSCCN1C(=O)c1ccco1,Z2910240208
FC(F)COc1ccco1,Z2910240208
COc1occ2c1CCN(C(C(N)=O)c1ccc(F)cc1)C2,Z7465895998
NC(=O)C(c1ccc(F)cc1)N1CCc2occc2C1,Z7465895998
CCOc1nnc(CNC(C)c2cocc2O)s1,Z7552244980
CCOc1nnc(CNC(C)c2occc2O)s1,Z7552244980
COc1coc(F)c1,Z2771330412
CCN1CCC(N(C)C(=O)c2oc(OC)cc2F)CC1C,Z2771330412
CCn1ncnc1N1CCC(Cc2ccco2)CC1,Z3076569960
CCn1ncnc1N1CCC(Cc2ccoc2)CC1,Z3076569960
COc1ccoc1C(=O)N1C[C@H](NC(=O)[C@@H]2C[C@@H]2F)CC[C@H]1C,"""""""|&1:13"""
COc1ccc(C)o1,"""""""|&1:13"""
Cn1cc(C(=O)N[C@H]2C[C@H](NC(=O)C(F)(F)c3ccoc3)C2)cn1,PV-002835619698
Cn1cc(C(=O)N[C@H]2C[C@H](NC(=O)C(F)(F)c3ccco3)C2)cn1,PV-002835619698
c1cc2c(o1)CCO2,PV-009842381394
[CH2]COc1ccc(C(=O)NC[C@@H](C)NC(=O)C2CCC(C)(C)O2)o1,PV-009842381394
CN(C)C1(C(=O)N2CCN(CCNC(=O)c3ccoc3)CC2)CC1,PV-002730445209
CN(C)C1(C(=O)N2CCN(CCNC(=O)c3ccco3)CC2)CC1,PV-002730445209
COc1coc(CCC(=O)N2CCC3(CCC3)C(O)C2)c1,Z7683660795
COc1cc(CCC(=O)N2CCC3(CCC3)C(O)C2)co1,Z7683660795
O=C(C1CCSC1)N1CC[C@H]2CCN(C(=O)c3ccoc3)[C@H]2C1,"""""""|&1:10"""
O=C(C1CCSC1)N1CC[C@H]2CCN(C(=O)c3ccco3)[C@H]2C1,"""""""|&1:10"""
C[C@H]1C[C@]1(F)C(=O)N[C@H]1CCCC[C@@H]1NC(=O)CCc1ccco1,PV-009164410112
CS(=O)(=O)Cc1nc(C(=O)NCc2ccoc2)co1,Z7722366767
COc1cc(CNC(=O)c2coc(CS(C)(=O)=O)n2)co1,Z7722366767
Cc1ccoc1C,"""""""|&1:9"""
Cc1ccc(C(=O)NC[C@@H]2CC[C@@H]2NC(=O)CC(C)(C)C)o1,"""""""|&1:9"""
O=C(N[C@H](Cc1ccoc1)C(=O)O)C1CCc2ncncc2C1,PV-008107107825
COCC(=O)N1CC(C)(NC(=O)Nc2cc3ccccc3o2)C1,Z4385761918
c1cc2[nH]ncc2o1,PV-003902851124
Cc1ccco1,Z5260282354
COCC(C)C(=O)NC(Cc1ccco1)C(=O)OC,Z5260282354
COc1ccc(C(=O)NC2CNC3(CCC3)C2)cc1-c1ccco1,Z4317752733
COc1cc(C(=O)NCC2CCCCN2C(=O)[C@H](O)CF)co1,PV-003727392388
O=C(NCC1CCCCN1C(=O)[C@H](O)CF)c1ccoc1,PV-003727392388
CCC1(C(=O)NC2CC(C)N(C(=O)c3cc(C)c(C)o3)C2)CC1,PV-003206349281
CCC1(C(=O)NC2CC(C)N(C(=O)c3cc(C)oc3C)C2)CC1,PV-003206349281
CC(O)C(=O)NCCC1CCN(C(=O)c2ccco2)CC1,PV-003101834453
CC(C)c1ccco1,PV-003101834453
CS(=O)(=O)C1(c2nc(-c3ccoc3)no2)CCC1,Z1959836550
O=C(N[C@@H]1COC[C@H]1CNC(=O)c1cnco1)c1ccoc1,"""""""|&1:3"""
Fc1coc(F)c1,"""""""|&1:5"""
COC(=O)C[C@@H]1CCC[C@H]1NC(=O)c1oc(F)cc1F,"""""""|&1:5"""
O=C(CC1CCOCC1)N[C@H]1CCC[C@@H]1NC(=O)c1occc1O,PV-005519119785
CCc1occc1C(=O)N[C@@H]1CCCN(C(=O)C2(OC)CCC2)C1,PV-003544374975
CCc1cocc1C(=O)N[C@@H]1CCCN(C(=O)C2(OC)CCC2)C1,PV-003544374975
CC(=O)c1ccc(C(=O)N2C3CCC2C(CNC(=O)C2CC2)C3)o1,PV-003581714110
CC(=O)c1ccoc1,PV-003581714110
Cc1cc(C(=O)NCC(C)CNC(=O)[C@H]2CC[C@@H](C)O2)oc1F,"""""""|&1:14"""
Cc1cocc1F,"""""""|&1:14"""
O=C(Nc1cccnc1Oc1ccoc1)C1CC(=O)C12CCC2,Z5118550823
O=C(Nc1ccoc1Oc1cccnc1)C1CC(=O)C12CCC2,Z5118550823
O=C(Nc1ccco1)C1CC(=O)C12CCC2,Z5118550823
O=C(Nc1cccnc1Oc1ccco1)C1CC(=O)C12CCC2,Z5118550823
COCC(=O)NC(C)C1CCN(C(=O)c2cocc2C)CC1,PV-005467907896
COCC(=O)NC(C)C1CCN(C(=O)c2oc(N)cc2C)CC1,PV-005467907896
CCc1conc1C(=O)OCc1coc(Cl)c1,Z4344824557
CCc1conc1C(=O)OCc1cc(Cl)c(OC)o1,Z4344824557
CC(C)(CNC(=O)C(C)(C)C(F)F)NC(=O)c1cocc1F,PV-003297969836
CC(C)(CNC(=O)C(C)(C)C(F)F)NC(=O)c1ccoc1F,PV-003297969836
CC1C(C(=O)NCc2ccoc2)CCN1C(=O)OC(C)(C)C,Z1802163960
CO[C@@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C(C)Oc1ccco1,Z4595330372
C[C@@H](CNC(=O)C1(F)CC1)N(C)C(=O)c1coc(-n2cccc2)c1,PV-005343998584
C[C@@H](CNC(=O)C1(F)CC1)N(C)C(=O)c1cc(-n2cccc2)co1,PV-005343998584
CC1CC(C(=O)N[C@H](C)CNC(=O)c2ccco2)C1,PV-001621942225
CNC(=O)c1ccco1,PV-001621942225
O=C1NC2CCC1CC2C(=O)Nc1ccoc1,Z7607441988
O=C1NC2CCC1CC2C(=O)Nc1ccc(SC(F)(F)F)o1,Z7607441988
CC(CC(=O)N1CCC(c2ccco2)CC1)C1CCCNC1,Z6383805064
CC(O)C(C)(C)C(=O)N[C@H]1C[C@](O)(c2ccoc2)C1,Z5629570675
CCC(CO)NC(C)C(=O)N(C)Cc1ccoc1,Z7279964964
CCC(CO)NC(C)C(=O)N(C)Cc1ccc(OC)o1,Z7279964964
O=C(NCC1COCCO1)Nc1ccc(C2=CCCCC2)o1,Z4590847532
C1=C(c2ccoc2)CCCC1,Z4590847532
O=C(Cc1ccco1)N1CC(CNC(=O)C2(F)CC2)C2(CC2)C1,PV-009868662961
O=C(Cc1ccoc1O)N1CC(CNC(=O)C2(F)CC2)C2(CC2)C1,PV-009868662961
C[C@@H](CN(C)C(=O)c1cc(-c2ccoc2)[nH]n1)NC(=O)C1(C)CC1,PV-004899341289
CSC(C)C(N)C(=O)Nc1cc2ccc(C)cc2o1,Z3522798186
COC[C@@H]1C[C@H](OC)CN1C(=O)Nc1nn(C)c2cocc12,PV-009476577742
COC[C@@H]1C[C@H](OC)CN1C(=O)Nc1nn(C)c2occc12,PV-009476577742
CCOCC(=O)N1CC(NC(=O)c2ccoc2OC)CC12CCC2,PV-003410169437
CCOCC(=O)N1CC(NC(=O)c2ccco2)CC12CCC2,PV-003410169437
CC(C)Oc1coc(S(=O)(=O)N2CC3(CC3C(=O)O)C2)c1,Z5074018985
CC(C)Oc1cc(S(=O)(=O)N2CC3(CC3C(=O)O)C2)co1,Z5074018985
CCn1nccc1C(=O)NC1CN(C(=O)c2ccoc2)C2CC12,PV-003234697357
CCn1nccc1C(=O)NC1CN(C(=O)c2coc(C)c2)C2CC12,PV-003234697357
CC1(NC(=O)C2CCSC2)CN(C(=O)c2coc3c2CCC3)C1,PV-002757469457
[CH2]CCc1occc1C(=O)N1CC(C)(NC(=O)C2CCSC2)C1,PV-002757469457
O=C(NC1CCN(C2CC2)C1)c1cc(Cl)co1,Z5076046687
O=C(NC1CCN(C2CC2)C1)c1cc(Cl)oc1O,Z5076046687
COc1c(C)oc(CNC(=O)[C@]2(N)CC[C@H](C)CC2)c1C,Z5190897865
COc1c(C)coc1C,Z5190897865
C[C@H](N)c1ccc(C(=O)NC(C[O])Cc2ccco2)cc1,Z4448877825
C[C@H](N)c1ccc(C(=O)NC2COc3occc3C2)cc1,Z4448877825
COc1ccoc1CC(=O)N1CCNC(=O)c2c(C)cccc21,Z2812925028
COc1cocc1CC(=O)N1CCNC(=O)c2c(C)cccc21,Z2812925028
NCC1(CC(=O)N2CCCN(C(=O)c3ccoc3)CC2)CC1,Z2435940319
CCC1(C(=O)NC[C@@H](C)NC(=O)c2ccoc2)CC(C)(C)C1,PV-009827841742
CCC1(C(=O)NC[C@@H](C)NC(=O)c2coc(C)c2)CC(C)(C)C1,PV-009827841742
O=C(NC[C@H]1CCN(C(=O)c2ccns2)C1)c1ccoc1,PV-002799069198
COc1ccc(C(=O)NC[C@H]2CCN(C(=O)c3ccns3)C2)o1,PV-002799069198
COc1oc(Cl)cc1-c1ccc(C2CCS(=O)(=O)N2)cc1,Z3347117095
O=S1(=O)CCC(c2ccc(-c3cc(Cl)co3)cc2)N1,Z3347117095
CCc1ccoc1NC(=O)C1CCS(=O)(=O)c2ccccc21,Z2044106068
CCc1ccco1,Z2044106068
COc1ccoc1C(=O)N1C[C@@H]2[C@H](C1)[C@H]2NC(=O)C1(CCO)CC1,PV-003317733937
COc1cocc1C(=O)N1C[C@@H]2[C@H](C1)[C@H]2NC(=O)C1(CCO)CC1,PV-003317733937
O=C(c1ccoc1)N(CC1CCCN1C(=O)C1CCCO1)C1CC1,PV-006254156385
O=C(c1ccco1)N(CC1CCCN1C(=O)C1CCCO1)C1CC1,PV-006254156385
CN(Cc1cc[nH]n1)C(=O)NC1CCN(c2occc2Cl)C1,Z1408552075
O=C(Nc1ccco1)N1CC(F)(F)C1,PV-002869382611
NS(=O)(=O)c1occc1NC(=O)N1CC(F)(F)C1,PV-002869382611
CO[C@H]1C[C@@H](N(C)S(=O)(=O)c2ccoc2)C1,Z2774288062
CO[C@H]1C[C@@H](N(C)S(=O)(=O)c2ccc(OC(C)C)o2)C1,Z2774288062
O=C1COc2cccc(NC(=O)NC(c3ccco3)C3CC3)c2N1,Z2953207495
COc1ccc(C(=O)N2CCCC(CN(C)C(=O)[C@H](C)OC)C2)o1,PV-003749501154
COc1ccoc1,PV-003749501154
CC(C)(C)C(CNC(=O)C1(F)CC1)NC(=O)c1coc2cc[nH]c12,PV-003796677408
COc1ccc(C(=O)N[C@]2(C)CCN(C(=O)c3ccco3)C2)s1,PV-007079387278
COc1ccc(C(=O)N[C@]2(C)CCN(C(=O)c3ccoc3)C2)s1,PV-007079387278
COC[C@H](C)C(=O)N1CCN(C(=O)c2ccc(C(N)=O)o2)[C@@H](C)C1,PV-003171807100
NC(=O)c1ccoc1,PV-003171807100
O[C@@H]1CCCC[C@H]1N1CCN(Cc2ccoc2)CC1,"""""""|&1:12"""
CN(C)c1ccc(CN2CCN([C@@H]3CCCC[C@H]3O)CC2)o1,"""""""|&1:12"""
COC(CN1CCC(C(=O)NCc2ccco2)CC1)C1CCC1,Z7416021439
