SMILES,ID
CC(CC(=O)NC1(C)CCN(C(=O)c2cnccn2)C1)C(F)(F)F,imidazole2pyrazine_0000000001
CC(Cc1cnccn1)NC(C)c1ccc2c(c1)CNC(=O)CC2,imidazole2pyrazine_0000000002
CN(Cc1cnc(Cl)cn1)C(CO)CC(C)(C)C,imidazole2pyrazine_0000000003
COC(C)(C)C1(C(=O)NCC2CCN2C(=O)c2cnccn2)CC1,imidazole2pyrazine_0000000004
Cc1nccnc1S(=O)(=O)NCCC(=O)OCc1ccnn1C,imidazole2pyrazine_0000000005
CC(CNC(=O)c1cccc2c1CCC(=O)N2)NC(=O)c1cnccn1,imidazole2pyrazine_0000000006
Cc1ncc(C(=O)NC2CN(C(=O)CCc3cnccn3)CC2(C)C)o1,imidazole2pyrazine_0000000007
CCc1ncoc1C(=O)N[C@@H]1CCC[C@@H]1NC(=O)Cc1cnccn1,imidazole2pyrazine_0000000008
CO[C@@H](C)C(=O)N1CC[C@H](N2CCN(C(=O)Cc3cnccn3)CC2)C1,imidazole2pyrazine_0000000009
Cc1cncc(C(=O)N2CCC[C@@H]2CCNC(=O)c2ocnc2C)n1,imidazole2pyrazine_0000000010
CC1CN(Cc2ncc3nc2C=C(Br)C=C3)CCN1,imidazole2pyrazine_0000000011
CCC(CNS(=O)(=O)c1nccnc1C(C)C)C(=O)O,imidazole2pyrazine_0000000012
NC(=O)c1cccc(OCC(=O)N2CC(c3cnccn3)C2)c1,imidazole2pyrazine_0000000013
Cc1cnccn1,imidazole2pyrazine_0000000014
CNC(=O)c1cc([C@H](C)NC(=O)Cc2cncc(C)n2)ccc1OC,imidazole2pyrazine_0000000015
Cc1cncc(CC(=O)NC[C@@H](C)NC(=O)[C@@H]2C[C@@H]3CCC[C@@H](C3)C2)n1,imidazole2pyrazine_0000000016
Cc1cnc(NC(=O)CNC(=O)c2cccc(F)c2)c(C)n1,imidazole2pyrazine_0000000017
O=C(Cc1cnccn1)NCC[C@H]1CCCN(C(=O)C2OCCO2)C1,imidazole2pyrazine_0000000018
CCC(C)(O)C(=O)N[C@H]1CN(C(=O)C2=CC=Cc3cncc2n3)C[C@H]1C,imidazole2pyrazine_0000000019
Cn1cc2c(n1)CC(C(=O)N1CC(F)(c3cnccn3)C1)CC2,imidazole2pyrazine_0000000020
Cc1nccnc1CC(=O)N1CC(CCNC(=O)C2CC2(C)C)C1,imidazole2pyrazine_0000000021
N#CC1(C(=O)N2CCCCC(NC(=O)Cc3cnccn3)CC2)CC1,imidazole2pyrazine_0000000022
O=S(=O)(c1cnsc1)N1CC(c2cnccn2)C1,imidazole2pyrazine_0000000023
Cc1nccnc1CC(=O)NCCc1cnn2c1CCCC2,imidazole2pyrazine_0000000024
O=C(Cc1cnccn1)N[C@@H]1CCN(C(=O)C2CC3CC3C2)C[C@H]1CO,imidazole2pyrazine_0000000025
CC(=O)NC(C)C(=O)N1CC[C@H](NC(=O)c2cnccn2)C[C@H]1C,imidazole2pyrazine_0000000026
c1cnc(CN2CCC(OCC3CC3)CC2)cn1,imidazole2pyrazine_0000000027
Cc1nccnc1CC(=O)N1CCN(C(=O)Cc2cscn2)CC1C,imidazole2pyrazine_0000000028
O=C(C1=C(F)C=Cc2cncc1n2)N1CCC(O)C2(CCOCC2)C1,imidazole2pyrazine_0000000029
CC(Cc1cnccn1)C(=O)N1CCC1CNC(=O)c1ccccc1F,imidazole2pyrazine_0000000030
Cc1nc(C(=O)NC[C@]2(C)CN(C(=O)c3cnccn3)C[C@H]2C)n[nH]1,imidazole2pyrazine_0000000031
Cc1cncc(C(=O)N[C@H]2CCN(C(=O)C[C@@H]3C[C@H]3C3CC3)[C@@H]2C)n1,imidazole2pyrazine_0000000032
Cc1ccc(CCNC(=O)NCc2cnccn2)cc1O,imidazole2pyrazine_0000000033
CC(=O)CC1COCCN1Cc1ncc2nc1C(F)=C(F)C=C2,imidazole2pyrazine_0000000034
Cc1ccc(CC(=O)NC(Cc2cnccn2)C(F)F)cc1Cl,imidazole2pyrazine_0000000035
Cc1nccnc1CCC(=O)N[C@H]1CC[C@@H](NC(=O)C2CCC2C)CC1,imidazole2pyrazine_0000000036
O=C(NCC1CCCCN1C(=O)[C@@H]1C[C@H]1c1cnccn1)c1ccon1,imidazole2pyrazine_0000000037
CCc1cnccn1,imidazole2pyrazine_0000000038
c1cnccn1,imidazole2pyrazine_0000000039
Cc1nccnc1C(=O)N[C@H]1CC[C@H]1CNC(=O)CC(C)C,imidazole2pyrazine_0000000040
CCc1cnc(C)c(C(=O)N[C@H]2CCCN(S(C)(=O)=O)C2)n1,imidazole2pyrazine_0000000041
Cn1cc(C(=O)Nc2cnccn2)c(C(F)F)n1,imidazole2pyrazine_0000000042
CSc1ncc2nc1N=C(NCC13CCC(C)(CO1)C3)N=C2,imidazole2pyrazine_0000000043
CC1CCC(NC(=O)CC2(C3CC3)CC2)CN1C(=O)Cc1cnccn1,imidazole2pyrazine_0000000044
Cc1c(C(=O)NC(C)C(C)NC(=O)Cc2cnccn2)nnn1C,imidazole2pyrazine_0000000045
COCC(=O)N1CCC[C@H](N(C)C(=O)Cc2nccnc2C)C1,imidazole2pyrazine_0000000046
CCN1CCCCC1C(=O)N[C@H]1C[C@H](NC(=O)c2cncc(C#N)n2)C1,imidazole2pyrazine_0000000047
O=C(N[C@@H]1C[C@H]1c1cnccn1)C1CCCCN1C(=O)c1ccco1,imidazole2pyrazine_0000000048
Cc1cncc(C(=O)N2C[C@H](CNC(=O)C3(C)CC3(C)C)[C@H](O)C2)n1,imidazole2pyrazine_0000000049
C[C@@H]1C[C@@H]1C(=O)N(C)C[C@H]1CCN(C(=O)c2cnc(Cl)cn2)C1,imidazole2pyrazine_0000000050
O=C(c1cnco1)N1CCC2C(CCCN2C(=O)c2cnccn2)C1,imidazole2pyrazine_0000000051
O=C(NC1CC2CC(C1)N(C(=O)C1(CO)COC1)C2)c1cnccn1,imidazole2pyrazine_0000000052
CCN(CCNC(=O)c1cnccn1)C(=O)C1CCOCC1(C)C,imidazole2pyrazine_0000000053
C[C@@H]1CN(C(=O)CCc2cnccn2)C[C@@H]1NC(=O)C1(C)CC1,imidazole2pyrazine_0000000054
O=C(NC1CCN(Cc2cccnc2)C1)c1cnccn1,imidazole2pyrazine_0000000055
N#CC1(CC(=O)NCC2(NC(=O)c3cnccn3)CCCC2)CCC1,imidazole2pyrazine_0000000056
Cc1cnc(C(=O)N2CC[C@H](NC(=O)Cc3conc3C)C2)cn1,imidazole2pyrazine_0000000057
O=C(N[C@H]1C[C@@H](c2cnccn2)C1)C1(n2cnnn2)CCCCC1,imidazole2pyrazine_0000000058
N#Cc1cncc(C(=O)N[C@H]2CC[C@@H](NC(=O)[C@@H]3C[C@@H]4C[C@@H]4C3)CC2)n1,imidazole2pyrazine_0000000059
COCC(=O)N(C)CC1CCCN(C(=O)Cc2cncc(C)n2)C1,imidazole2pyrazine_0000000060
CCC(C#N)C(=O)N(C)CCCc1cnccn1,imidazole2pyrazine_0000000061
CCn1ncnc1C(=O)N1CCC1CNC(=O)Cc1cncc(C)n1,imidazole2pyrazine_0000000062
O=C(NC1CN(C(=O)c2ccc(-c3cnccn3)cc2)C1)[C@@H]1C[C@H]1F,imidazole2pyrazine_0000000063
O=C(NC[C@@H]1CCCN1C(=O)[C@@H]1C[C@H]2CC[C@@H]1O2)c1cnccn1,imidazole2pyrazine_0000000064
CC(NCC1(CCO)CC1)c1cnc(Br)cn1,imidazole2pyrazine_0000000065
O=C(CCc1cnccn1)N[C@H]1C[C@H](NC(=O)c2ccccn2)C1,imidazole2pyrazine_0000000066
CCC(C(=O)NC1(C)CN(C(=O)c2cnccn2)C1)c1cccnc1,imidazole2pyrazine_0000000067
CC1(C)CC(=O)NCC1C(=O)NCC(NC(=O)c1cnccn1)C1CC1,imidazole2pyrazine_0000000068
CCc1n[nH]c(Cl)c1C(=O)N1[C@@H]2CC[C@H]1C[C@@H](c1cnccn1)C2,imidazole2pyrazine_0000000069
OC[C@@H]1CN(CC(O)C2CCCCC2)C[C@H]1c1cnccn1,imidazole2pyrazine_0000000070
Cc1cccc(CC(C)(O)C(C)NC(=O)c2cncc(N)n2)c1,imidazole2pyrazine_0000000071
CN(C)C[C@@H]1COC[C@H]1NC(=O)c1cnc(Br)cn1,imidazole2pyrazine_0000000072
CN(C(=O)[C@@H](N)Cc1cnccn1)C(c1ccc(Cl)cc1)C1CC1,imidazole2pyrazine_0000000073
C[C@H](CNC(=O)c1cnccn1)CNC(=O)c1cccc(=O)o1,imidazole2pyrazine_0000000074
NC(=O)C1(N2CCN(Cc3nccnc3Br)CC2)CC1,imidazole2pyrazine_0000000075
Cc1cncc(C(=O)NC23CCC(C2)N(C(=O)c2cnccn2)C3)c1,imidazole2pyrazine_0000000076
Cc1nccnc1C(NC(=O)c1cnn(C)c1C(F)(F)F)C1CC1,imidazole2pyrazine_0000000077
O=C(NC[C@]1(CO)C[C@H]1c1ccccc1)c1cncc(C(F)(F)F)n1,imidazole2pyrazine_0000000078
CN(C)C1(CNC(=O)CN2CCCC2c2cnccn2)CCCCC1,imidazole2pyrazine_0000000079
COC(=O)CC1(NC(=O)CSc2ncc3nc2C=CC=C3)CCC1,imidazole2pyrazine_0000000080
CO[C@@H](C)C(=O)N[C@H]1CCCN(C(=O)c2cnccn2)C1,imidazole2pyrazine_0000000081
CCCCC(=O)NC1CCC2CC1CN2C(=O)c1nc(C)cnc1C,imidazole2pyrazine_0000000082
c1cncc(-c2cnccn2)c1,imidazole2pyrazine_0000000083
Cc1ccc(C(C)CC(=O)N[C@@H]2C[C@H]2NC(=O)c2cnccn2)cc1,imidazole2pyrazine_0000000084
CCc1nc(C(=O)Nc2cncnc2OC)cnc1C,imidazole2pyrazine_0000000085
CC(C)C(C)(C)C(=O)N1CCC(CNC(=O)[C@@H]2C[C@H]2c2cnccn2)C1,imidazole2pyrazine_0000000086
C[C@H]1CN(C(=O)C2(C)CC3(CCC3)C2)CCN1C(=O)Cc1cnccn1,imidazole2pyrazine_0000000087
COc1cc(Cl)c(C)cc1NC(=O)Cc1cnccn1,imidazole2pyrazine_0000000088
CNC(C)C(=O)NC1CCc2cnc(C)c(n2)C1,imidazole2pyrazine_0000000089
Cn1nccc1C1c2cncc(n2)CCN1C(=O)C1CNC(=O)C1,imidazole2pyrazine_0000000090
CC(C)c1ccoc1C(=O)NC1CCN(C(=O)CCc2cnccn2)C1,imidazole2pyrazine_0000000091
COC1(CCNC(=O)c2cnccn2)CN(C(=O)C2CC(C)C2(C)C)C1,imidazole2pyrazine_0000000092
O=C(NCC1(F)CCN(C(=O)c2cnccn2)C1)C1CCC12CCC2,imidazole2pyrazine_0000000093
O=C(CCc1cnccn1)N[C@H]1CC[C@H]1NC(=O)c1ccc(F)cc1,imidazole2pyrazine_0000000094
Cc1cncc(C(=O)N2CCC(C)(NC(=O)[C@H]3CCOC(=O)N3)CC2)n1,imidazole2pyrazine_0000000095
CCCN1CCC(N(C)C(=O)c2nccnc2-c2ccncc2)CC1,imidazole2pyrazine_0000000096
CCN(C)CC1CCN(C(=O)C2=Cc3cncc(n3)C=C2)CC1,imidazole2pyrazine_0000000097
CC(C)Cc1nccnc1C(=O)NCc1nncn1C(C)C,imidazole2pyrazine_0000000098
CC(CN(C)C(=O)C1(C(C)C)CC1)NC(=O)C1=CN=Cc2cncc1n2,imidazole2pyrazine_0000000099
CC(=O)N1CC(C(=O)N2CCN(C(=O)c3nccnc3C)[C@@H](C)C2)C1,imidazole2pyrazine_0000000100
CC(C)(C)OC(=O)C1CN(C(=O)Nc2cnccn2)C1,imidazole2pyrazine_0000000101
O=C(N[C@@]12C[C@@H]1CN(C(=O)c1cnccn1)C2)c1c[nH]c(=O)o1,imidazole2pyrazine_0000000102
CO[C@H](C)C(=O)NC1(CO)CN(C(=O)c2nc(C)cnc2C)C1,imidazole2pyrazine_0000000103
CC(C)c1cnccn1,imidazole2pyrazine_0000000104
Cc1nccnc1C(=O)NC[C@H](C)NC(=O)CN1CCOCC1=O,imidazole2pyrazine_0000000105
CN(Cc1cnccn1)C(=O)Nc1ccc(CCC(N)=O)cc1,imidazole2pyrazine_0000000106
Cc1ccc(C(=O)N2CCc3nc(cnc3C)C2)cc1F,imidazole2pyrazine_0000000107
O=C(C1=CC=Nc2cncc1n2)N1CC[C@@]2(O)CCCC[C@@]2(O)C1,imidazole2pyrazine_0000000108
CC(NC(=O)C12CCC(CF)(C1)OC2)c1cnccn1,imidazole2pyrazine_0000000109
Cc1cncc(C(=O)N[C@H]2CCC[C@@H]2CNC(=O)CN2CCCCC2)n1,imidazole2pyrazine_0000000110
CC(C#N)C(=O)NC1CN(C(=O)C(C)Cc2cnccn2)C1,imidazole2pyrazine_0000000111
O=S(=O)(c1cnccn1)N1C[C@H]2C[C@@H](O)C[C@H]2C1,imidazole2pyrazine_0000000112
Cc1[nH]ncc1C(=O)N1C2CCCC1CN(C(=O)c1cnccn1)CC2,imidazole2pyrazine_0000000113
CC(C)c1nccnc1C(=O)N1CC[C@@H](NC(=O)C[C@H](C)O)C1,imidazole2pyrazine_0000000114
O=C(CSc1cnccn1)NCC[C@@H](O)c1ccccc1,imidazole2pyrazine_0000000115
CCc1cncc(C(=O)N2CC(NC(=O)C3CCOC(C)(C)C3)C2)n1,imidazole2pyrazine_0000000116
C[C@H](CN(C)C(=O)c1cnccn1)NC(=O)Cc1cnco1,imidazole2pyrazine_0000000117
CCc1cc(C)nc(NC(=O)c2cnccn2)n1,imidazole2pyrazine_0000000118
O=C(N[C@]12C[C@H]1CN(C(=O)c1cnccn1)C2)C1CCCOC1,imidazole2pyrazine_0000000119
CC(CNC(=O)c1cncc(C#N)n1)(NC(=O)[C@@]12CCC[C@@H]1C2)C1CC1,imidazole2pyrazine_0000000120
Cc1cocc1C(=O)N1CC[C@H](NC(=O)CCc2cnccn2)[C@@H](O)C1,imidazole2pyrazine_0000000121
O=C(Cc1cnccn1)NC1CCN(C(=O)C2CC3(CCO3)C2)CC1,imidazole2pyrazine_0000000122
CC(C#N)C(=O)N1[C@@H]2CC[C@H]1C[C@H](CNC(=O)c1cnccn1)C2,imidazole2pyrazine_0000000123
CCC(O)C(=O)N1CC(C2(NC(=O)c3cnccn3)CC2)C1,imidazole2pyrazine_0000000124
CC1CN(S(=O)(=O)c2cnccn2)CC(C(N)=O)O1,imidazole2pyrazine_0000000125
Cc1cncc(CC(=O)NC23CCC(CN(C(=O)c4cc[nH]c4)C2)C3)n1,imidazole2pyrazine_0000000126
CCCC1CCCC1C(=O)N[C@H]1C[C@@](C)(NC(=O)c2cncc(C)n2)C1,imidazole2pyrazine_0000000127
CC(NC(=O)c1cccc2c1OCCNC2)c1cnccn1,imidazole2pyrazine_0000000128
CC1(C(=O)NCC2CCN2C(=O)c2ncc3nc2C=CC=C3)CSC1,imidazole2pyrazine_0000000129
COCCc1ccnc(NC(=O)C2CCCc3cnc(C)c2n3)c1,imidazole2pyrazine_0000000130
CN1C(=O)NC(=O)c2cnc(Br)c1n2,imidazole2pyrazine_0000000131
CCC(CNC(=O)[C@H]1C[C@H]1C)NC(=O)c1cncc(C)n1,imidazole2pyrazine_0000000132
COCc1nccnc1CNC(=O)c1cc(F)c(C)cc1F,imidazole2pyrazine_0000000133
O=C(Cc1cnccn1)N1CC[C@H](n2cc(CCO)nn2)C1,imidazole2pyrazine_0000000134
O=C(c1cnccn1)N1CC2(CCC2)CC1CNC(=O)C1(F)CCC1,imidazole2pyrazine_0000000135
CC(C1CCCCC1)N(CCO)C(=O)[C@@H](O)Cc1cnccn1,imidazole2pyrazine_0000000136
Cc1nccnc1C(=O)NCC1CCN(C(=O)[C@@H]2CNC(=O)C2)C1,imidazole2pyrazine_0000000137
COC(=O)N[C@@H](C)C(=O)N1CC2CC(C1)N(C(=O)c1cnccn1)C2,imidazole2pyrazine_0000000138
COC(=O)[C@@H]1C[C@@]1(C(=O)Nc1nccnc1C(F)(F)F)C(C)C,imidazole2pyrazine_0000000139
CC(C)OCC(=O)NC1CCN(C(=O)c2nccnc2C2CC2)CC1C,imidazole2pyrazine_0000000140
CS(=O)(=O)NC1CCN(c2ncc3nc2C=CC=C3F)C1,imidazole2pyrazine_0000000141
CC1(C)COC(C)(C(=O)N2CCC(c3cnccn3)CC2)CO1,imidazole2pyrazine_0000000142
Cc1cncc(C(=O)NC2(CN(C)C(=O)c3ocnc3C)CC2)n1,imidazole2pyrazine_0000000143
COC(=O)CN(CC(=O)OC)C(=O)CCc1cnccn1,imidazole2pyrazine_0000000144
C[C@H](NC(=O)C1=CC=Cc2cnc(CO)c1n2)C(=O)OC1CCCC1,imidazole2pyrazine_0000000145
CCC(=O)NCC1(CNC(=O)C2=Cc3cncc(n3)C=N2)CCCC1,imidazole2pyrazine_0000000146
C1=Cc2cncc(n2)C=C1,imidazole2pyrazine_0000000147
N#Cc1cc(NC(=O)NCc2cnccn2)ncc1Cl,imidazole2pyrazine_0000000148
Cc1cnc(C)c(C)n1,imidazole2pyrazine_0000000149
Cc1cncc(CC(=O)N2CC(N(C)C(=O)[C@@H]3C[C@H](F)CN3C)C2)n1,imidazole2pyrazine_0000000150
CC(C#N)C(=O)N1CCC(O)(CNC(=O)CCc2cnccn2)C1,imidazole2pyrazine_0000000151
CN(C)CC(F)(F)C(=O)N[C@H]1CCC[C@H]1NC(=O)c1cnccn1,imidazole2pyrazine_0000000152
CN(C(=O)COC1CCOC1)[C@@H]1CN(C(=O)c2cnccn2)C[C@H]1O,imidazole2pyrazine_0000000153
CC(C)(C(=O)N1CC2C(CNC(=O)Cc3cnccn3)C2C1)C1CC1,imidazole2pyrazine_0000000154
O=c1[nH]c(=O)n(CC(F)(F)F)cc1CNCc1cnccn1,imidazole2pyrazine_0000000155
O=C1CC2CCCC(CN1)N2C(=O)CSc1cnccn1,imidazole2pyrazine_0000000156
Cc1cnc(C)c(C(=O)NC[C@H](O)CNC(=O)c2cccc(F)c2)n1,imidazole2pyrazine_0000000157
CSCc1ncc2nc1C=CC=C2,imidazole2pyrazine_0000000158
O=C(NCCc1ccccn1)c1cnccn1,imidazole2pyrazine_0000000159
O=C(NC[C@H]1CCC[C@@H](NC(=O)[C@@H]2C[C@H]2c2cnccn2)C1)C1CC1,imidazole2pyrazine_0000000160
CCc1ncoc1C(=O)N[C@H]1CN(C(=O)c2cnccn2)CC[C@H]1F,imidazole2pyrazine_0000000161
Cc1cncc(CC(=O)N(C)Cc2cn([C@@H]3CCCCC[C@H]3O)nn2)n1,imidazole2pyrazine_0000000162
CN(C)CC1(C(=O)N2CC(NC(=O)Cc3cnccn3)C2)CCCC1,imidazole2pyrazine_0000000163
O=C(NCC(=O)N1CCCO1)c1cnccn1,imidazole2pyrazine_0000000164
CC(=O)N(C)CC(=O)N1C[C@@H](CCNC(=O)c2cnccn2)[C@H](C)C1,imidazole2pyrazine_0000000165
Cc1cncc(CC(=O)N[C@@H]2C[C@@H]3CC[C@@]2(NC(=O)[C@H]2C[C@@H](O)C2)C3)n1,imidazole2pyrazine_0000000166
CC(C)C1(C(=O)NC[C@H]2C[C@H]2NC(=O)C2=Nc3cncc(n3)C=C2)CC1,imidazole2pyrazine_0000000167
Cn1nc(C2CC2)cc1C(=O)N1CCC(C(O)c2cnccn2)CC1,imidazole2pyrazine_0000000168
Cc1cncc(CC(=O)N2C[C@@H]3CN(C(=O)COCC4CC4)CC[C@@H]32)n1,imidazole2pyrazine_0000000169
C[C@H](CNC(=O)c1cnccn1)NC(=O)c1ccnc2c1CCC2,imidazole2pyrazine_0000000170
CC(=O)NCC1CC1NC(=O)c1cnc(C)cn1,imidazole2pyrazine_0000000171
Cc1cncc(C(=O)N[C@@H]2C[C@H]2CNC(=O)c2cnn(C(C)C)c2C)n1,imidazole2pyrazine_0000000172
O=C(NS(=O)(=O)Nc1ccc(F)cc1)c1cnccn1,imidazole2pyrazine_0000000173
Nc1cc(C(=O)N2CC[C@H]3[C@@H](C2)CN3C(=O)c2cnccn2)ncc1F,imidazole2pyrazine_0000000174
CC1c2ncn(C)c2CCN1C(=O)c1cnc(CCC[NH])cn1,imidazole2pyrazine_0000000175
CC1c2cncc(n2)CCN1C(=O)c1cnc2n1NCCC2,imidazole2pyrazine_0000000176
CC(C)COC(C)C(=O)N1CCC2(CN(C(=O)c3cnccn3)C2)C1,imidazole2pyrazine_0000000177
Cc1nccnc1C(=O)N1C[C@H](NC(=O)Cc2ccnn2C)CC[C@H]1C,imidazole2pyrazine_0000000178
Cc1nccnc1C(=O)N1CC(C)(NC(=O)CC2CCC23CCC3)C1,imidazole2pyrazine_0000000179
N[C@@H]1CN(Cc2cc(C3CCC3)[nH]n2)C[C@H]1c1cnccn1,imidazole2pyrazine_0000000180
CN(CCNC(=O)C1=Cc2cncc(n2)C=N1)C(=O)CC1(O)CCC1,imidazole2pyrazine_0000000181
CCOC(=O)c1cncc(CNC(=O)C2CC3(CC(=O)C3(C)C)C2)n1,imidazole2pyrazine_0000000182
Cc1cncc(C(=O)N[C@@H]2CC[C@@H]2NC(=O)[C@H]2OCC[C@H]2C(C)C)n1,imidazole2pyrazine_0000000183
CC(=O)NCCC(=O)N1CC[C@H](NC(=O)c2cnccn2)[C@@H]1C,imidazole2pyrazine_0000000184
CC(CNC(=O)C1CC(C)(C)C1)CN(C)C(=O)c1cncc(C#N)n1,imidazole2pyrazine_0000000185
